source_record_id,function_code,function_name,tool_product,vendor,classification,canonical_capability_pattern,deep_anchor_products,architecture_treatment,status,verified_date
MTR-0018,F03,Enterprise Performance Management,Oracle EPM,Oracle,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Oracle EPM,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0019,F03,Enterprise Performance Management,SAP Analytics Cloud,SAP,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0020,F03,Enterprise Performance Management,Workday Adaptive Planning,Workday,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Workday Adaptive Planning,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0021,F03,Enterprise Performance Management,Anaplan,Anaplan,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0022,F03,Enterprise Performance Management,Board,Board,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0023,F03,Enterprise Performance Management,IBM Planning Analytics,IBM,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0024,F03,Enterprise Performance Management,OneStream,OneStream,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0025,F03,Enterprise Performance Management,CCH Tagetik,Wolters Kluwer,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0026,F03,Enterprise Performance Management,Planful,Planful,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0027,F03,Enterprise Performance Management,Prophix,Prophix,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0028,F03,Enterprise Performance Management,Jedox,Jedox,ALTERNATIVE_PRODUCT_PATTERN,Enterprise performance planning / reporting / consolidation / analytics,Oracle EPM; Workday Adaptive Planning,Use as alternative EPM evidence; preserve material semantic differences without vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0029,F04,Corporate Development & M&A,Datasite,Datasite,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Datasite,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0030,F04,Corporate Development & M&A,Intralinks,Intralinks,ALTERNATIVE_PRODUCT_PATTERN,M&A virtual data room / due diligence / secure deal execution,Datasite,Use as alternative due-diligence/VDR evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0031,F04,Corporate Development & M&A,Midaxo,Midaxo,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Midaxo,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0032,F04,Corporate Development & M&A,DealRoom,DealRoom,ALTERNATIVE_PRODUCT_PATTERN,M&A virtual data room / due diligence / secure deal execution,Datasite,Use as alternative due-diligence/VDR evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0033,F04,Corporate Development & M&A,Ansarada,Ansarada,ALTERNATIVE_PRODUCT_PATTERN,M&A virtual data room / due diligence / secure deal execution,Datasite,Use as alternative due-diligence/VDR evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0034,F04,Corporate Development & M&A,DealCloud,DealCloud,ALTERNATIVE_PRODUCT_PATTERN,M&A opportunity pipeline / deal CRM / relationship intelligence,Midaxo,Use as alternative corporate-development pipeline evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0035,F04,Corporate Development & M&A,FirmRoom,FirmRoom,ALTERNATIVE_PRODUCT_PATTERN,M&A virtual data room / due diligence / secure deal execution,Datasite,Use as alternative due-diligence/VDR evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0036,F04,Corporate Development & M&A,SS&C Intralinks DealCentre AI,Intralinks,ALTERNATIVE_PRODUCT_PATTERN,M&A virtual data room / due diligence / secure deal execution,Datasite,Use as alternative due-diligence/VDR evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0037,F05,"Product, Service & Innovation Management",PTC Windchill,PTC,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,PTC Windchill,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0038,F05,"Product, Service & Innovation Management",Siemens Teamcenter,Siemens,ALTERNATIVE_PRODUCT_PATTERN,PLM / product data / BOM / change / configuration / lifecycle,PTC Windchill,Use as alternative PLM evidence; do not mirror vendor object models.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0039,F05,"Product, Service & Innovation Management",Dassault Systèmes ENOVIA / 3DEXPERIENCE,Dassault Systèmes,ALTERNATIVE_PRODUCT_PATTERN,PLM / product data / BOM / change / configuration / lifecycle,PTC Windchill,Use as alternative PLM evidence; do not mirror vendor object models.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0040,F05,"Product, Service & Innovation Management",Aras Innovator,Aras,ALTERNATIVE_PRODUCT_PATTERN,PLM / product data / BOM / change / configuration / lifecycle,PTC Windchill,Use as alternative PLM evidence; do not mirror vendor object models.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0041,F05,"Product, Service & Innovation Management",Autodesk Fusion Manage,Autodesk,ALTERNATIVE_PRODUCT_PATTERN,PLM / product data / BOM / change / configuration / lifecycle,PTC Windchill,Use as alternative PLM evidence; do not mirror vendor object models.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0042,F05,"Product, Service & Innovation Management",Oracle Fusion Cloud PLM,Oracle,ALTERNATIVE_PRODUCT_PATTERN,PLM / product data / BOM / change / configuration / lifecycle,PTC Windchill,Use as alternative PLM evidence; do not mirror vendor object models.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0043,F05,"Product, Service & Innovation Management",SAP Integrated Product Development,SAP,ALTERNATIVE_PRODUCT_PATTERN,PLM / product data / BOM / change / configuration / lifecycle,PTC Windchill,Use as alternative PLM evidence; do not mirror vendor object models.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0044,F05,"Product, Service & Innovation Management",Aha!,Aha!,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Aha!,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0045,F05,"Product, Service & Innovation Management",Productboard,Productboard,ALTERNATIVE_PRODUCT_PATTERN,Product discovery / feedback / prioritization / roadmap,Aha!; Jira Product Discovery,Use as alternative product-management evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0046,F05,"Product, Service & Innovation Management",Jira Product Discovery,Atlassian,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Jira Product Discovery,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0047,F06,Marketing & Brand,Salesforce Marketing Cloud,Salesforce,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Salesforce Marketing Cloud,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0048,F06,Marketing & Brand,Adobe Experience Cloud / Marketo Engage,Adobe,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Adobe Experience Cloud / Marketo Engage,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0049,F06,Marketing & Brand,HubSpot Marketing Hub,HubSpot,ALTERNATIVE_PRODUCT_PATTERN,Marketing automation / lead generation / campaign orchestration,Adobe Experience Cloud / Marketo Engage; Salesforce Marketing Cloud,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0050,F06,Marketing & Brand,Sprinklr,Sprinklr,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Sprinklr,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0051,F06,Marketing & Brand,Hootsuite,Hootsuite,ALTERNATIVE_PRODUCT_PATTERN,Enterprise social publishing / engagement / monitoring,Sprinklr,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0052,F06,Marketing & Brand,Sprout Social,Sprout Social,ALTERNATIVE_PRODUCT_PATTERN,Enterprise social publishing / engagement / monitoring,Sprinklr,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0053,F06,Marketing & Brand,Semrush,Semrush,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Semrush,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0054,F06,Marketing & Brand,Brandwatch,Brandwatch,ALTERNATIVE_PRODUCT_PATTERN,Social listening / consumer intelligence / brand monitoring,Sprinklr,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0055,F06,Marketing & Brand,Mailchimp,Mailchimp,ALTERNATIVE_PRODUCT_PATTERN,Email marketing / campaign automation / audience management,Salesforce Marketing Cloud; Adobe Experience Cloud / Marketo Engage,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0056,F06,Marketing & Brand,Canva,Canva,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Canva,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0057,F07,Sales & Commercial Management,Salesforce Sales Cloud,Salesforce,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Salesforce Sales Cloud,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0058,F07,Sales & Commercial Management,Microsoft Dynamics 365 Sales,Microsoft,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Microsoft Dynamics 365 Sales,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0059,F07,Sales & Commercial Management,HubSpot Sales Hub,HubSpot,ALTERNATIVE_PRODUCT_PATTERN,CRM lead / account / opportunity / pipeline / sales activity,Salesforce Sales Cloud; Microsoft Dynamics 365 Sales,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0060,F07,Sales & Commercial Management,SAP Sales Cloud,SAP,ALTERNATIVE_PRODUCT_PATTERN,CRM lead / account / opportunity / pipeline / sales activity,Salesforce Sales Cloud; Microsoft Dynamics 365 Sales,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0061,F07,Sales & Commercial Management,Oracle Sales,Oracle,ALTERNATIVE_PRODUCT_PATTERN,CRM lead / account / opportunity / pipeline / sales activity,Salesforce Sales Cloud; Microsoft Dynamics 365 Sales,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0062,F07,Sales & Commercial Management,Zoho CRM,Zoho,ALTERNATIVE_PRODUCT_PATTERN,CRM lead / account / opportunity / pipeline / sales activity,Salesforce Sales Cloud; Microsoft Dynamics 365 Sales,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0063,F07,Sales & Commercial Management,Pipedrive,Pipedrive,ALTERNATIVE_PRODUCT_PATTERN,CRM opportunity / pipeline / activity management,Salesforce Sales Cloud; Microsoft Dynamics 365 Sales,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0064,F07,Sales & Commercial Management,Procore Preconstruction,Procore,ALTERNATIVE_PRODUCT_PATTERN,Construction preconstruction / bid management / tender pipeline,Autodesk BuildingConnected,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0065,F07,Sales & Commercial Management,Autodesk BuildingConnected,Autodesk,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Autodesk BuildingConnected,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0066,F07,Sales & Commercial Management,RIB bid / estimating products,RIB,ALTERNATIVE_PRODUCT_PATTERN,Construction estimating / tender / bid management,Autodesk BuildingConnected; RIB CostX; RIB Candy,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0067,F08,"Customer Service, Experience & Success",Salesforce Service Cloud,Salesforce,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Salesforce Service Cloud,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0068,F08,"Customer Service, Experience & Success",Microsoft Dynamics 365 Customer Service,Microsoft,ALTERNATIVE_PRODUCT_PATTERN,Customer case / omnichannel / knowledge / SLA service management,Salesforce Service Cloud; ServiceNow Customer Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0069,F08,"Customer Service, Experience & Success",ServiceNow Customer Service Management,ServiceNow,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,ServiceNow Customer Service Management,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0070,F08,"Customer Service, Experience & Success",Zendesk,Zendesk,ALTERNATIVE_PRODUCT_PATTERN,Customer case / omnichannel / knowledge service management,Salesforce Service Cloud; ServiceNow Customer Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0071,F08,"Customer Service, Experience & Success",Freshworks,Freshworks,ALTERNATIVE_PRODUCT_PATTERN,Customer case / omnichannel / knowledge service management,Salesforce Service Cloud; ServiceNow Customer Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0072,F08,"Customer Service, Experience & Success",Intercom,Intercom,ALTERNATIVE_PRODUCT_PATTERN,Digital customer messaging / support / self-service,Salesforce Service Cloud; Genesys Cloud CX,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0073,F08,"Customer Service, Experience & Success",Genesys Cloud CX,Genesys,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Genesys Cloud CX,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0074,F08,"Customer Service, Experience & Success",NICE CXone,NICE,ALTERNATIVE_PRODUCT_PATTERN,Cloud contact centre / routing / workforce / quality management,Genesys Cloud CX,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0075,F08,"Customer Service, Experience & Success",SAP Service Cloud,SAP,ALTERNATIVE_PRODUCT_PATTERN,Customer case / service / omnichannel management,Salesforce Service Cloud; ServiceNow Customer Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0076,F08,"Customer Service, Experience & Success",Oracle B2B Service,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Customer case / service / knowledge / entitlement management,Salesforce Service Cloud; ServiceNow Customer Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0077,F09,Procurement & Supplier Management,SAP Ariba,SAP,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,SAP Ariba,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0078,F09,Procurement & Supplier Management,Coupa,Coupa,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Coupa,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0079,F09,Procurement & Supplier Management,Oracle Procurement,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Source-to-pay / sourcing / purchasing / supplier management,SAP Ariba; Coupa,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0080,F09,Procurement & Supplier Management,Ivalua,Ivalua,ALTERNATIVE_PRODUCT_PATTERN,Source-to-pay / sourcing / purchasing / supplier management,SAP Ariba; Coupa,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0081,F09,Procurement & Supplier Management,JAGGAER,JAGGAER,ALTERNATIVE_PRODUCT_PATTERN,Source-to-pay / sourcing / purchasing / supplier management,SAP Ariba; Coupa,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0082,F09,Procurement & Supplier Management,GEP SMART,GEP,ALTERNATIVE_PRODUCT_PATTERN,Source-to-pay / sourcing / purchasing / supplier management,SAP Ariba; Coupa,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0083,F09,Procurement & Supplier Management,Proactis,Proactis,ALTERNATIVE_PRODUCT_PATTERN,Source-to-pay / sourcing / purchasing / supplier management,SAP Ariba; Coupa,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0084,F09,Procurement & Supplier Management,Zycus,Zycus,ALTERNATIVE_PRODUCT_PATTERN,Source-to-pay / sourcing / purchasing / supplier management,SAP Ariba; Coupa,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0085,F09,Procurement & Supplier Management,Basware,Basware,ALTERNATIVE_PRODUCT_PATTERN,Purchase-to-pay / invoicing / supplier transaction management,Coupa; SAP Ariba,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0086,F09,Procurement & Supplier Management,Autodesk BuildingConnected,Autodesk,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Autodesk BuildingConnected,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0087,F10,"Demand, Supply Chain & Logistics",SAP Integrated Business Planning / EWM / TM,SAP,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,SAP Integrated Business Planning / EWM / TM,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0088,F10,"Demand, Supply Chain & Logistics",Oracle SCM,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Demand / supply / inventory / warehouse / transport supply-chain management,SAP Integrated Business Planning / EWM / TM; Kinaxis RapidResponse / Maestro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0089,F10,"Demand, Supply Chain & Logistics",Microsoft Dynamics 365 Supply Chain Management,Microsoft,ALTERNATIVE_PRODUCT_PATTERN,Demand / supply / inventory / warehouse / transport supply-chain management,SAP Integrated Business Planning / EWM / TM; Kinaxis RapidResponse / Maestro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0090,F10,"Demand, Supply Chain & Logistics",Blue Yonder,Blue Yonder,ALTERNATIVE_PRODUCT_PATTERN,Supply-chain planning / warehouse / fulfillment / transport,SAP Integrated Business Planning / EWM / TM; Kinaxis RapidResponse / Maestro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0091,F10,"Demand, Supply Chain & Logistics",Kinaxis RapidResponse / Maestro,Kinaxis,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Kinaxis RapidResponse / Maestro,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0092,F10,"Demand, Supply Chain & Logistics",Manhattan Associates,Manhattan Associates,ALTERNATIVE_PRODUCT_PATTERN,Warehouse / inventory / fulfillment / transportation,SAP Integrated Business Planning / EWM / TM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0093,F10,"Demand, Supply Chain & Logistics",Infor Supply Chain,Infor,ALTERNATIVE_PRODUCT_PATTERN,Supply-chain planning / warehouse / logistics,SAP Integrated Business Planning / EWM / TM; Kinaxis RapidResponse / Maestro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
