record_id,function_code,function_name,market_layer,market_category,vendor,product_or_suite,job_profile_ids,job_tasks,work_products,module_or_tool,source_url,verified_date,research_status
MTR-0011,F02,Corporate Governance,ENTERPRISE_FUNCTION,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Diligent,Diligent Boards / Diligent One,,,,,https://www.diligent.com/platform/diligent-one,2026-09-21,DISCOVERY_SEED
MTR-0012,F02,Corporate Governance,ENTERPRISE_FUNCTION,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Board Intelligence,Board Intelligence,,,,,https://www.boardintelligence.com/,2026-09-21,DISCOVERY_SEED
MTR-0013,F02,Corporate Governance,ENTERPRISE_FUNCTION,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",OnBoard,OnBoard,,,,,https://www.onboardmeetings.com/,2026-09-21,DISCOVERY_SEED
MTR-0014,F02,Corporate Governance,ENTERPRISE_FUNCTION,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Admincontrol,Admincontrol,,,,,https://admincontrol.com/,2026-09-21,DISCOVERY_SEED
MTR-0015,F02,Corporate Governance,ENTERPRISE_FUNCTION,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Convene,Convene,,,,,https://www.azeusconvene.com/,2026-09-21,DISCOVERY_SEED
MTR-0016,F02,Corporate Governance,ENTERPRISE_FUNCTION,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Govenda,Govenda,,,,,https://www.govenda.com/,2026-09-21,DISCOVERY_SEED
MTR-0017,F02,Corporate Governance,ENTERPRISE_FUNCTION,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Workiva,Workiva,,,,,https://www.workiva.com/,2026-09-21,DISCOVERY_SEED
MTR-0018,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Oracle,Oracle EPM,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0019,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",SAP,SAP Analytics Cloud,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0020,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Workday,Workday Adaptive Planning,,,,,https://www.workday.com/,2026-09-21,DISCOVERY_SEED
MTR-0021,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Anaplan,Anaplan,,,,,https://www.anaplan.com/,2026-09-21,DISCOVERY_SEED
MTR-0022,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Board,Board,,,,,https://www.board.com/,2026-09-21,DISCOVERY_SEED
MTR-0023,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",IBM,IBM Planning Analytics,,,,,https://www.ibm.com/,2026-09-21,DISCOVERY_SEED
MTR-0024,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",OneStream,OneStream,,,,,https://www.onestream.com/,2026-09-21,DISCOVERY_SEED
MTR-0025,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Wolters Kluwer,CCH Tagetik,,,,,https://www.wolterskluwer.com/,2026-09-21,DISCOVERY_SEED
MTR-0026,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Planful,Planful,,,,,https://planful.com/,2026-09-21,DISCOVERY_SEED
MTR-0027,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Prophix,Prophix,,,,,https://www.prophix.com/,2026-09-21,DISCOVERY_SEED
MTR-0028,F03,Enterprise Performance Management,ENTERPRISE_FUNCTION,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Jedox,Jedox,,,,,https://www.jedox.com/,2026-09-21,DISCOVERY_SEED
MTR-0029,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Datasite,Datasite,,,,,https://www.datasite.com/,2026-09-21,DISCOVERY_SEED
MTR-0030,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Intralinks,Intralinks,,,,,https://www.intralinks.com/,2026-09-21,DISCOVERY_SEED
MTR-0031,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Midaxo,Midaxo,,,,,https://www.midaxo.com/,2026-09-21,DISCOVERY_SEED
MTR-0032,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",DealRoom,DealRoom,,,,,https://dealroom.net/,2026-09-21,DISCOVERY_SEED
MTR-0033,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Ansarada,Ansarada,,,,,https://www.ansarada.com/,2026-09-21,DISCOVERY_SEED
MTR-0034,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",DealCloud,DealCloud,,,,,https://dealcloud.com/,2026-09-21,DISCOVERY_SEED
MTR-0035,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",FirmRoom,FirmRoom,,,,,https://firmroom.com/,2026-09-21,DISCOVERY_SEED
MTR-0036,F04,Corporate Development & M&A,ENTERPRISE_FUNCTION,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Intralinks,SS&C Intralinks DealCentre AI,,,,,https://www.intralinks.com/,2026-09-21,DISCOVERY_SEED
MTR-0037,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",PTC,PTC Windchill,,,,,https://www.ptc.com/en/products/windchill,2026-09-21,DISCOVERY_SEED
MTR-0038,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Siemens,Siemens Teamcenter,,,,,https://www.siemens.com/,2026-09-21,DISCOVERY_SEED
MTR-0039,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Dassault Systèmes,Dassault Systèmes ENOVIA / 3DEXPERIENCE,,,,,https://www.3ds.com/,2026-09-21,DISCOVERY_SEED
MTR-0040,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Aras,Aras Innovator,,,,,https://www.aras.com/,2026-09-21,DISCOVERY_SEED
MTR-0041,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Autodesk,Autodesk Fusion Manage,,,,,https://www.autodesk.com/,2026-09-21,DISCOVERY_SEED
MTR-0042,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Oracle,Oracle Fusion Cloud PLM,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0043,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",SAP,SAP Integrated Product Development,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0044,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Aha!,Aha!,,,,,https://www.aha.io/,2026-09-21,DISCOVERY_SEED
MTR-0045,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Productboard,Productboard,,,,,https://www.productboard.com/,2026-09-21,DISCOVERY_SEED
MTR-0046,F05,"Product, Service & Innovation Management",ENTERPRISE_FUNCTION,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Atlassian,Jira Product Discovery,,,,,https://www.atlassian.com/,2026-09-21,DISCOVERY_SEED
MTR-0047,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Salesforce,Salesforce Marketing Cloud,,,,,https://www.salesforce.com/,2026-09-21,DISCOVERY_SEED
MTR-0048,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Adobe,Adobe Experience Cloud / Marketo Engage,,,,,https://www.adobe.com/,2026-09-21,DISCOVERY_SEED
MTR-0049,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",HubSpot,HubSpot Marketing Hub,,,,,https://www.hubspot.com/,2026-09-21,DISCOVERY_SEED
MTR-0050,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Sprinklr,Sprinklr,,,,,https://www.sprinklr.com/,2026-09-21,DISCOVERY_SEED
MTR-0051,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Hootsuite,Hootsuite,,,,,https://www.hootsuite.com/,2026-09-21,DISCOVERY_SEED
MTR-0052,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Sprout Social,Sprout Social,,,,,https://sproutsocial.com/,2026-09-21,DISCOVERY_SEED
MTR-0053,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Semrush,Semrush,,,,,https://www.semrush.com/,2026-09-21,DISCOVERY_SEED
MTR-0054,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Brandwatch,Brandwatch,,,,,https://www.brandwatch.com/,2026-09-21,DISCOVERY_SEED
MTR-0055,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Mailchimp,Mailchimp,,,,,https://mailchimp.com/,2026-09-21,DISCOVERY_SEED
MTR-0056,F06,Marketing & Brand,ENTERPRISE_FUNCTION,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Canva,Canva,,,,,https://www.canva.com/,2026-09-21,DISCOVERY_SEED
MTR-0057,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Salesforce,Salesforce Sales Cloud,,,,,https://www.salesforce.com/,2026-09-21,DISCOVERY_SEED
MTR-0058,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Microsoft,Microsoft Dynamics 365 Sales,,,,,https://www.microsoft.com/en-us/dynamics-365,2026-09-21,DISCOVERY_SEED
MTR-0059,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",HubSpot,HubSpot Sales Hub,,,,,https://www.hubspot.com/,2026-09-21,DISCOVERY_SEED
MTR-0060,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",SAP,SAP Sales Cloud,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0061,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Oracle,Oracle Sales,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0062,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Zoho,Zoho CRM,,,,,https://www.zoho.com/crm/,2026-09-21,DISCOVERY_SEED
MTR-0063,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Pipedrive,Pipedrive,,,,,https://www.pipedrive.com/,2026-09-21,DISCOVERY_SEED
MTR-0064,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Procore,Procore Preconstruction,,,,,https://www.procore.com/,2026-09-21,DISCOVERY_SEED
MTR-0065,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Autodesk,Autodesk BuildingConnected,,,,,https://www.autodesk.com/,2026-09-21,DISCOVERY_SEED
MTR-0066,F07,Sales & Commercial Management,ENTERPRISE_FUNCTION,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",RIB,RIB bid / estimating products,,,,,https://www.rib-software.com/,2026-09-21,DISCOVERY_SEED
MTR-0067,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Salesforce,Salesforce Service Cloud,,,,,https://www.salesforce.com/,2026-09-21,DISCOVERY_SEED
MTR-0068,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Microsoft,Microsoft Dynamics 365 Customer Service,,,,,https://www.microsoft.com/en-us/dynamics-365,2026-09-21,DISCOVERY_SEED
MTR-0069,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",ServiceNow,ServiceNow Customer Service Management,,,,,https://www.servicenow.com/,2026-09-21,DISCOVERY_SEED
MTR-0070,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Zendesk,Zendesk,,,,,https://www.zendesk.com/,2026-09-21,DISCOVERY_SEED
MTR-0071,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Freshworks,Freshworks,,,,,https://www.freshworks.com/,2026-09-21,DISCOVERY_SEED
MTR-0072,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Intercom,Intercom,,,,,https://www.intercom.com/,2026-09-21,DISCOVERY_SEED
MTR-0073,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Genesys,Genesys Cloud CX,,,,,https://www.genesys.com/,2026-09-21,DISCOVERY_SEED
MTR-0074,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",NICE,NICE CXone,,,,,https://www.nice.com/,2026-09-21,DISCOVERY_SEED
MTR-0075,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",SAP,SAP Service Cloud,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0076,F08,"Customer Service, Experience & Success",ENTERPRISE_FUNCTION,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Oracle,Oracle B2B Service,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0077,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",SAP,SAP Ariba,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0078,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Coupa,Coupa,,,,,https://www.coupa.com/,2026-09-21,DISCOVERY_SEED
MTR-0079,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Oracle,Oracle Procurement,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0080,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Ivalua,Ivalua,,,,,https://www.ivalua.com/,2026-09-21,DISCOVERY_SEED
MTR-0081,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",JAGGAER,JAGGAER,,,,,https://www.jaggaer.com/,2026-09-21,DISCOVERY_SEED
MTR-0082,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",GEP,GEP SMART,,,,,https://www.gep.com/,2026-09-21,DISCOVERY_SEED
MTR-0083,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Proactis,Proactis,,,,,https://www.proactis.com/,2026-09-21,DISCOVERY_SEED
MTR-0084,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Zycus,Zycus,,,,,https://www.zycus.com/,2026-09-21,DISCOVERY_SEED
MTR-0085,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Basware,Basware,,,,,https://www.basware.com/,2026-09-21,DISCOVERY_SEED
MTR-0086,F09,Procurement & Supplier Management,ENTERPRISE_FUNCTION,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Autodesk,Autodesk BuildingConnected,,,,,https://www.autodesk.com/,2026-09-21,DISCOVERY_SEED
MTR-0087,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",SAP,SAP Integrated Business Planning / EWM / TM,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0088,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Oracle,Oracle SCM,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0089,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Microsoft,Microsoft Dynamics 365 Supply Chain Management,,,,,https://www.microsoft.com/en-us/dynamics-365,2026-09-21,DISCOVERY_SEED
MTR-0090,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Blue Yonder,Blue Yonder,,,,,https://blueyonder.com/,2026-09-21,DISCOVERY_SEED
MTR-0091,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Kinaxis,Kinaxis RapidResponse / Maestro,,,,,https://www.kinaxis.com/,2026-09-21,DISCOVERY_SEED
MTR-0092,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Manhattan Associates,Manhattan Associates,,,,,https://www.manh.com/,2026-09-21,DISCOVERY_SEED
MTR-0093,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Infor,Infor Supply Chain,,,,,https://www.infor.com/,2026-09-21,DISCOVERY_SEED
MTR-0094,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Körber,Körber,,,,,https://www.koerber-supplychain.com/,2026-09-21,DISCOVERY_SEED
MTR-0095,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",Descartes,Descartes,,,,,https://www.descartes.com/,2026-09-21,DISCOVERY_SEED
MTR-0096,F10,"Demand, Supply Chain & Logistics",ENTERPRISE_FUNCTION,"Demand and supply planning, inventory, warehouse, transport, distribution and supply-chain risk",e2open,e2open,,,,,https://www.e2open.com/,2026-09-21,DISCOVERY_SEED
MTR-0097,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",SAP,SAP Digital Manufacturing,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0098,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Siemens,Siemens Opcenter,,,,,https://www.siemens.com/,2026-09-21,DISCOVERY_SEED
MTR-0099,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Oracle,Oracle Manufacturing,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0100,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Microsoft,Microsoft Dynamics 365 Supply Chain Management,,,,,https://www.microsoft.com/en-us/dynamics-365,2026-09-21,DISCOVERY_SEED
MTR-0101,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Dassault Systèmes,Dassault Systèmes DELMIA,,,,,https://www.3ds.com/,2026-09-21,DISCOVERY_SEED
MTR-0102,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Rockwell Automation,Rockwell Automation Plex / FactoryTalk,,,,,https://www.rockwellautomation.com/,2026-09-21,DISCOVERY_SEED
MTR-0103,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Epicor,Epicor,,,,,https://www.epicor.com/,2026-09-21,DISCOVERY_SEED
MTR-0104,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Infor,Infor,,,,,https://www.infor.com/,2026-09-21,DISCOVERY_SEED
MTR-0105,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Tulip,Tulip,,,,,https://tulip.co/,2026-09-21,DISCOVERY_SEED
MTR-0106,F11,Manufacturing / Production Operations,ENTERPRISE_FUNCTION,"Production planning, scheduling, MES, execution, WIP, capacity, quality and reporting",Trimble,Tekla PowerFab,,,,,https://www.trimble.com/,2026-09-21,DISCOVERY_SEED
MTR-0107,F12,Service Delivery & Field Operations,ENTERPRISE_FUNCTION,"Service planning, scheduling, dispatch, work orders, mobile field execution, acceptance and service performance",IFS,IFS Cloud,,,,,https://www.ifs.com/,2026-09-21,DISCOVERY_SEED
MTR-0108,F12,Service Delivery & Field Operations,ENTERPRISE_FUNCTION,"Service planning, scheduling, dispatch, work orders, mobile field execution, acceptance and service performance",Salesforce,Salesforce Field Service,,,,,https://www.salesforce.com/,2026-09-21,DISCOVERY_SEED
MTR-0109,F12,Service Delivery & Field Operations,ENTERPRISE_FUNCTION,"Service planning, scheduling, dispatch, work orders, mobile field execution, acceptance and service performance",Microsoft,Microsoft Dynamics 365 Field Service,,,,,https://www.microsoft.com/en-us/dynamics-365,2026-09-21,DISCOVERY_SEED
MTR-0110,F12,Service Delivery & Field Operations,ENTERPRISE_FUNCTION,"Service planning, scheduling, dispatch, work orders, mobile field execution, acceptance and service performance",ServiceNow,ServiceNow Field Service Management,,,,,https://www.servicenow.com/,2026-09-21,DISCOVERY_SEED
MTR-0111,F12,Service Delivery & Field Operations,ENTERPRISE_FUNCTION,"Service planning, scheduling, dispatch, work orders, mobile field execution, acceptance and service performance",Oracle,Oracle Field Service,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0112,F12,Service Delivery & Field Operations,ENTERPRISE_FUNCTION,"Service planning, scheduling, dispatch, work orders, mobile field execution, acceptance and service performance",PTC,PTC ServiceMax,,,,,https://www.ptc.com/en/products/windchill,2026-09-21,DISCOVERY_SEED
MTR-0113,F12,Service Delivery & Field Operations,ENTERPRISE_FUNCTION,"Service planning, scheduling, dispatch, work orders, mobile field execution, acceptance and service performance",IBM,IBM Maximo,,,,,https://www.ibm.com/,2026-09-21,DISCOVERY_SEED
