master_record_id,scope_type,scope_code,scope_name,function_code,delivery_domain_id,job_profile_id,job_profile_name,market_category,vendor,tool_product,capability_or_job_work,work_products_or_records,lifecycle_stages,source_url,verification_status,verified_date,source_record_id,source_register
MMTR-0011,ENTERPRISE_FUNCTION,F02,Corporate Governance,F02,,,,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Diligent,Diligent Boards / Diligent One,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",,,https://www.diligent.com/platform/diligent-one,DISCOVERY_SEED,2026-09-21,MTR-0011,market-tool-register.csv
MMTR-0012,ENTERPRISE_FUNCTION,F02,Corporate Governance,F02,,,,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Board Intelligence,Board Intelligence,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",,,https://www.boardintelligence.com/,DISCOVERY_SEED,2026-09-21,MTR-0012,market-tool-register.csv
MMTR-0013,ENTERPRISE_FUNCTION,F02,Corporate Governance,F02,,,,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",OnBoard,OnBoard,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",,,https://www.onboardmeetings.com/,DISCOVERY_SEED,2026-09-21,MTR-0013,market-tool-register.csv
MMTR-0014,ENTERPRISE_FUNCTION,F02,Corporate Governance,F02,,,,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Admincontrol,Admincontrol,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",,,https://admincontrol.com/,DISCOVERY_SEED,2026-09-21,MTR-0014,market-tool-register.csv
MMTR-0015,ENTERPRISE_FUNCTION,F02,Corporate Governance,F02,,,,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Convene,Convene,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",,,https://www.azeusconvene.com/,DISCOVERY_SEED,2026-09-21,MTR-0015,market-tool-register.csv
MMTR-0016,ENTERPRISE_FUNCTION,F02,Corporate Governance,F02,,,,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Govenda,Govenda,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",,,https://www.govenda.com/,DISCOVERY_SEED,2026-09-21,MTR-0016,market-tool-register.csv
MMTR-0017,ENTERPRISE_FUNCTION,F02,Corporate Governance,F02,,,,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Workiva,Workiva,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",,,https://www.workiva.com/,DISCOVERY_SEED,2026-09-21,MTR-0017,market-tool-register.csv
MMTR-0018,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Oracle,Oracle EPM,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.oracle.com/,DISCOVERY_SEED,2026-09-21,MTR-0018,market-tool-register.csv
MMTR-0019,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",SAP,SAP Analytics Cloud,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.sap.com/products.html,DISCOVERY_SEED,2026-09-21,MTR-0019,market-tool-register.csv
MMTR-0020,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Workday,Workday Adaptive Planning,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.workday.com/,DISCOVERY_SEED,2026-09-21,MTR-0020,market-tool-register.csv
MMTR-0021,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Anaplan,Anaplan,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.anaplan.com/,DISCOVERY_SEED,2026-09-21,MTR-0021,market-tool-register.csv
MMTR-0022,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Board,Board,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.board.com/,DISCOVERY_SEED,2026-09-21,MTR-0022,market-tool-register.csv
MMTR-0023,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",IBM,IBM Planning Analytics,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.ibm.com/,DISCOVERY_SEED,2026-09-21,MTR-0023,market-tool-register.csv
MMTR-0024,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",OneStream,OneStream,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.onestream.com/,DISCOVERY_SEED,2026-09-21,MTR-0024,market-tool-register.csv
MMTR-0025,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Wolters Kluwer,CCH Tagetik,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.wolterskluwer.com/,DISCOVERY_SEED,2026-09-21,MTR-0025,market-tool-register.csv
MMTR-0026,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Planful,Planful,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://planful.com/,DISCOVERY_SEED,2026-09-21,MTR-0026,market-tool-register.csv
MMTR-0027,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Prophix,Prophix,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.prophix.com/,DISCOVERY_SEED,2026-09-21,MTR-0027,market-tool-register.csv
MMTR-0028,ENTERPRISE_FUNCTION,F03,Enterprise Performance Management,F03,,,,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Jedox,Jedox,"Planning, budgeting, forecasting, consolidation, management reporting and performance",,,https://www.jedox.com/,DISCOVERY_SEED,2026-09-21,MTR-0028,market-tool-register.csv
MMTR-0029,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Datasite,Datasite,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://www.datasite.com/,DISCOVERY_SEED,2026-09-21,MTR-0029,market-tool-register.csv
MMTR-0030,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Intralinks,Intralinks,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://www.intralinks.com/,DISCOVERY_SEED,2026-09-21,MTR-0030,market-tool-register.csv
MMTR-0031,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Midaxo,Midaxo,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://www.midaxo.com/,DISCOVERY_SEED,2026-09-21,MTR-0031,market-tool-register.csv
MMTR-0032,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",DealRoom,DealRoom,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://dealroom.net/,DISCOVERY_SEED,2026-09-21,MTR-0032,market-tool-register.csv
MMTR-0033,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Ansarada,Ansarada,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://www.ansarada.com/,DISCOVERY_SEED,2026-09-21,MTR-0033,market-tool-register.csv
MMTR-0034,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",DealCloud,DealCloud,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://dealcloud.com/,DISCOVERY_SEED,2026-09-21,MTR-0034,market-tool-register.csv
MMTR-0035,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",FirmRoom,FirmRoom,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://firmroom.com/,DISCOVERY_SEED,2026-09-21,MTR-0035,market-tool-register.csv
MMTR-0036,ENTERPRISE_FUNCTION,F04,Corporate Development & M&A,F04,,,,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Intralinks,SS&C Intralinks DealCentre AI,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",,,https://www.intralinks.com/,DISCOVERY_SEED,2026-09-21,MTR-0036,market-tool-register.csv
MMTR-0037,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",PTC,PTC Windchill,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.ptc.com/en/products/windchill,DISCOVERY_SEED,2026-09-21,MTR-0037,market-tool-register.csv
MMTR-0038,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Siemens,Siemens Teamcenter,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.siemens.com/,DISCOVERY_SEED,2026-09-21,MTR-0038,market-tool-register.csv
MMTR-0039,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Dassault Systèmes,Dassault Systèmes ENOVIA / 3DEXPERIENCE,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.3ds.com/,DISCOVERY_SEED,2026-09-21,MTR-0039,market-tool-register.csv
MMTR-0040,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Aras,Aras Innovator,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.aras.com/,DISCOVERY_SEED,2026-09-21,MTR-0040,market-tool-register.csv
MMTR-0041,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Autodesk,Autodesk Fusion Manage,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.autodesk.com/,DISCOVERY_SEED,2026-09-21,MTR-0041,market-tool-register.csv
MMTR-0042,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Oracle,Oracle Fusion Cloud PLM,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.oracle.com/,DISCOVERY_SEED,2026-09-21,MTR-0042,market-tool-register.csv
MMTR-0043,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",SAP,SAP Integrated Product Development,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.sap.com/products.html,DISCOVERY_SEED,2026-09-21,MTR-0043,market-tool-register.csv
MMTR-0044,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Aha!,Aha!,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.aha.io/,DISCOVERY_SEED,2026-09-21,MTR-0044,market-tool-register.csv
MMTR-0045,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Productboard,Productboard,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.productboard.com/,DISCOVERY_SEED,2026-09-21,MTR-0045,market-tool-register.csv
MMTR-0046,ENTERPRISE_FUNCTION,F05,"Product, Service & Innovation Management",F05,,,,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Atlassian,Jira Product Discovery,"PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",,,https://www.atlassian.com/,DISCOVERY_SEED,2026-09-21,MTR-0046,market-tool-register.csv
MMTR-0047,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Salesforce,Salesforce Marketing Cloud,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.salesforce.com/,DISCOVERY_SEED,2026-09-21,MTR-0047,market-tool-register.csv
MMTR-0048,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Adobe,Adobe Experience Cloud / Marketo Engage,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.adobe.com/,DISCOVERY_SEED,2026-09-21,MTR-0048,market-tool-register.csv
MMTR-0049,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",HubSpot,HubSpot Marketing Hub,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.hubspot.com/,DISCOVERY_SEED,2026-09-21,MTR-0049,market-tool-register.csv
MMTR-0050,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Sprinklr,Sprinklr,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.sprinklr.com/,DISCOVERY_SEED,2026-09-21,MTR-0050,market-tool-register.csv
MMTR-0051,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Hootsuite,Hootsuite,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.hootsuite.com/,DISCOVERY_SEED,2026-09-21,MTR-0051,market-tool-register.csv
MMTR-0052,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Sprout Social,Sprout Social,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://sproutsocial.com/,DISCOVERY_SEED,2026-09-21,MTR-0052,market-tool-register.csv
MMTR-0053,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Semrush,Semrush,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.semrush.com/,DISCOVERY_SEED,2026-09-21,MTR-0053,market-tool-register.csv
MMTR-0054,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Brandwatch,Brandwatch,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.brandwatch.com/,DISCOVERY_SEED,2026-09-21,MTR-0054,market-tool-register.csv
MMTR-0055,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Mailchimp,Mailchimp,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://mailchimp.com/,DISCOVERY_SEED,2026-09-21,MTR-0055,market-tool-register.csv
MMTR-0056,ENTERPRISE_FUNCTION,F06,Marketing & Brand,F06,,,,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",Canva,Canva,"Market intelligence, brand, campaigns, digital marketing, content, social, events and analytics",,,https://www.canva.com/,DISCOVERY_SEED,2026-09-21,MTR-0056,market-tool-register.csv
MMTR-0057,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Salesforce,Salesforce Sales Cloud,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.salesforce.com/,DISCOVERY_SEED,2026-09-21,MTR-0057,market-tool-register.csv
MMTR-0058,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Microsoft,Microsoft Dynamics 365 Sales,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.microsoft.com/en-us/dynamics-365,DISCOVERY_SEED,2026-09-21,MTR-0058,market-tool-register.csv
MMTR-0059,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",HubSpot,HubSpot Sales Hub,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.hubspot.com/,DISCOVERY_SEED,2026-09-21,MTR-0059,market-tool-register.csv
MMTR-0060,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",SAP,SAP Sales Cloud,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.sap.com/products.html,DISCOVERY_SEED,2026-09-21,MTR-0060,market-tool-register.csv
MMTR-0061,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Oracle,Oracle Sales,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.oracle.com/,DISCOVERY_SEED,2026-09-21,MTR-0061,market-tool-register.csv
MMTR-0062,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Zoho,Zoho CRM,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.zoho.com/crm/,DISCOVERY_SEED,2026-09-21,MTR-0062,market-tool-register.csv
MMTR-0063,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Pipedrive,Pipedrive,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.pipedrive.com/,DISCOVERY_SEED,2026-09-21,MTR-0063,market-tool-register.csv
MMTR-0064,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Procore,Procore Preconstruction,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.procore.com/,DISCOVERY_SEED,2026-09-21,MTR-0064,market-tool-register.csv
MMTR-0065,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",Autodesk,Autodesk BuildingConnected,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.autodesk.com/,DISCOVERY_SEED,2026-09-21,MTR-0065,market-tool-register.csv
MMTR-0066,ENTERPRISE_FUNCTION,F07,Sales & Commercial Management,F07,,,,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",RIB,RIB bid / estimating products,"Accounts, opportunities, pipeline, pricing, quotation, bids, proposals, contracts and forecasting",,,https://www.rib-software.com/,DISCOVERY_SEED,2026-09-21,MTR-0066,market-tool-register.csv
MMTR-0067,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Salesforce,Salesforce Service Cloud,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.salesforce.com/,DISCOVERY_SEED,2026-09-21,MTR-0067,market-tool-register.csv
MMTR-0068,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Microsoft,Microsoft Dynamics 365 Customer Service,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.microsoft.com/en-us/dynamics-365,DISCOVERY_SEED,2026-09-21,MTR-0068,market-tool-register.csv
MMTR-0069,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",ServiceNow,ServiceNow Customer Service Management,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.servicenow.com/,DISCOVERY_SEED,2026-09-21,MTR-0069,market-tool-register.csv
MMTR-0070,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Zendesk,Zendesk,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.zendesk.com/,DISCOVERY_SEED,2026-09-21,MTR-0070,market-tool-register.csv
MMTR-0071,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Freshworks,Freshworks,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.freshworks.com/,DISCOVERY_SEED,2026-09-21,MTR-0071,market-tool-register.csv
MMTR-0072,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Intercom,Intercom,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.intercom.com/,DISCOVERY_SEED,2026-09-21,MTR-0072,market-tool-register.csv
MMTR-0073,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Genesys,Genesys Cloud CX,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.genesys.com/,DISCOVERY_SEED,2026-09-21,MTR-0073,market-tool-register.csv
MMTR-0074,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",NICE,NICE CXone,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.nice.com/,DISCOVERY_SEED,2026-09-21,MTR-0074,market-tool-register.csv
MMTR-0075,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",SAP,SAP Service Cloud,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.sap.com/products.html,DISCOVERY_SEED,2026-09-21,MTR-0075,market-tool-register.csv
MMTR-0076,ENTERPRISE_FUNCTION,F08,"Customer Service, Experience & Success",F08,,,,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",Oracle,Oracle B2B Service,"Onboarding, enquiries, cases, complaints, support, warranty, success and service levels",,,https://www.oracle.com/,DISCOVERY_SEED,2026-09-21,MTR-0076,market-tool-register.csv
MMTR-0077,ENTERPRISE_FUNCTION,F09,Procurement & Supplier Management,F09,,,,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",SAP,SAP Ariba,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",,,https://www.sap.com/products.html,DISCOVERY_SEED,2026-09-21,MTR-0077,market-tool-register.csv
MMTR-0078,ENTERPRISE_FUNCTION,F09,Procurement & Supplier Management,F09,,,,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",Coupa,Coupa,"Category management, sourcing, supplier onboarding, RFx, contracting, requisitioning, purchasing and supplier performance",,,https://www.coupa.com/,DISCOVERY_SEED,2026-09-21,MTR-0078,market-tool-register.csv
