priority_id,source_translation_ids,capability_family,current_kernel_evidence,current_state,required_next_boundary,priority,rationale
WTR-016,"NTR-040","Publication rule / job","Representation exists; no publication-rule/job aggregate located",PARTIAL,"Publication Definition/Rule + Job + output provenance",P1,"Needed for reproducible derived outputs and automated publishing"
WTR-017,"NTR-041","Report definition / view / instance","No report-definition/report-instance canonical family located",ABSENT,"Report Definition + Saved View + immutable Report Instance + Schedule",P2,"Separates live analytics definition from retained evidence snapshot"
WTR-018,"NTR-044","Integration endpoint / publication transaction","Integration Endpoint, Source Authority Rule, Publication Transaction/Activity/Attempt/Acknowledgement/Result kernel identities and invariants; migration 0034; separate read/manage/execute/result-record/source-authority permissions; exact outbound DataEnvelope binding with deterministic SHA-256 checksum; endpoint×subject active-publication concurrency guard; transient transport retry as numbered Attempts; acknowledgement retained separately from downstream business Result; exact result→acknowledgement→attempt→activity correlation; explicit object/attribute-family source authority; transaction idempotency and business resubmission linkage; tenant-bound audit/outbox persistence; MySQL journey proof; /app/integration closed-loop workspace","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Automate real transport adapters, callback/webhook correlation, credential/signature handling and endpoint-specific mapping orchestration without collapsing transport, acknowledgement, business-result or source-authority boundaries; controlled migration remains WTR-019",P0,"Transport plumbing is now governed closed-loop publication evidence; delivery acknowledgement does not imply downstream business success or source-master transfer"
WTR-019,"NTR-045","Migration run / mapping / conflict","Migration Plan, immutable Mapping Version, Migration Run, exact source-envelope Item Result, Migration Conflict/Decision-backed Disposition, Migration Reconciliation Run and Cutover Decision implemented; deterministic mapping/source hashes; source→canonical External Identity provenance; production concurrency guard; conflict-blocked reconciliation; verified production reconciliation gate; Decision-backed cutover; explicit NuBlox Source Authority Rule establishment; migration 0035; kernel/MySQL journey proof; /app/migration workspace","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Extend with high-volume connector workers, resumable batch orchestration and source-specific migration packs without bypassing frozen mapping, per-item evidence, reconciliation, conflict disposition or cutover authority controls",P0,"Controlled migration is now an auditable Plan→Mapping→Run→Item→Conflict→Reconciliation→Cutover process rather than an ad-hoc loader"
WTR-020,"NTR-047","Extension definition/package","Governed Extension Definition, immutable checksum-backed Package Version, typed Component, explicit Compatibility Assessment and component-level Reconciliation Run/Item evidence implemented; migration 0036; separate read/manage/assess/reconcile permissions; tenant-bound audit/outbox persistence; MySQL journey proof; /app/extensions workspace","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Extend with signed package provenance, dependency graph resolution and automated compatibility scanners without bypassing immutable package/version or reconciliation evidence; environment promotion remains WTR-021",P1,"Industry/tenant/platform extension is now governed as versioned configuration rather than uncontrolled customization"
WTR-021,"NTR-049","Administrative configuration promotion","Configuration Environment, draft/frozen Configuration Baseline + exact Item snapshots, draft/frozen/Decision-approved Configuration Change Set + exact Change Items, Configuration Promotion Run + per-item Result + Conflict/Decision-backed Disposition implemented; deterministic baseline/change-set/mapping/rollback hashes; exact checksum-bound approval Decision; latest-target-baseline validation; pre-start and in-flight target-drift guards; one-active-promotion-per-target concurrency control; successful promotion requires a newly frozen resulting target Baseline; migration 0037; separate read/manage/approve/execute/conflict-disposition permissions; tenant audit/outbox; MySQL journey proof; /app/configuration-promotion workspace","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Extend with automated administrative-object apply/rollback adapters and environment connector execution without bypassing frozen baselines, exact approved change sets, mapping/rollback evidence, conflict authority or before/after target baselines",P1,"Administrative configuration promotion is now a governed Environment→Baseline→Change Set→Promotion→Result/Conflict→Target Baseline process distinct from business Change, data migration and code deployment"
WTR-022,"NTR-050","Retention / hold / disposition / archive / restore","Versioned Retention Policy + immutable Rule set; deterministic frozen-policy checksum; exact Decision-backed activation with atomic supersession of prior active version; Legal/Regulatory/Records/Investigation Hold with explicit archive/destruction blocking and Decision-backed release; Disposition Schedule; ad-hoc/scheduled Disposition Run with deterministic selection checksum and one-active-run-per-rule guard; hold-aware Item Result; Archive Record; Decision-backed Restore Run; Decision-backed Destruction Evidence with separate metadata/content outcomes, durable evidence hash and requirement that destruction approval postdate the latest released blocking Hold; migration 0038; separate read/manage/hold/execute/destroy/restore permissions; tenant audit/outbox; MySQL journey proof; /app/records-retention workspace","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Extend with automated retention-trigger evaluation, candidate collection, scheduled worker execution and physical archive/delete/restore storage adapters without bypassing frozen policy versions, active holds, per-item evidence, destruction authority or independent evidence retention",P0,"Records disposition is now a governed Policy→Rule→Schedule/Run→Item Evidence→Archive/Destroy/Restore process; retention expiry never implies delete authority and backup retention remains separate"
WTR-023,"NTR-029","Supplier sourcing context & approval","Canonical Supplier Relationship with own lifecycle/Decision authority; Sourcing Context with optional canonical scope and governed criteria; contextual Source Approval linking internal item, supplier item, released Supplier Relationship and Sourcing Context with Preferred/Approved/Do Not Use status, effective-from/to, deterministic sha256 Decision fingerprint, Decision-backed approval, serialized supersession history and current-state projection; configurable Sourcing Rule with context/supplier/item-type criteria, assigned status, priority and enable/disable state; migrations 0039-0042; separate read/manage/approve/rule-manage permissions; tenant audit/outbox; MySQL journey proof; /app/supplier-sourcing workspace","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Extend NTE-020 with supplier qualification/assessment/compliance/performance, category management, sourcing events/RFx, responses/evaluation/negotiation, requisitions, Purchase Orders and automated sourcing-rule execution without collapsing contextual source approval into supplier lifecycle",P1,"Supplier relationship release is now explicitly separate from internal-item↔supplier-item source approval; source status is contextual, effective-dated and Decision-backed rather than a global supplier flag"
WTR-024,"NTR-030;NTR-031;NTR-032","Manufacturing process/resource/control-characteristic model","Manufacturing engine remains TO_BUILD/foundation only",DOMAIN_GAP,"Process Plan + Operation + Sequence + Resource + Control Characteristic",P2,"Useful enterprise pattern but lower than shared control-plane gaps"
WTR-025,"NTR-033;NTR-034;NTR-035","Quality process family","Quality engine remains TO_BUILD",DOMAIN_GAP,"Nonconformance + CAPA + Quality Audit/Complaint/Regulatory specialisations",P1,"Required for F13 and CBE assurance"
WTR-026,"NTR-036","Controlled training assignment/record","Competence evidence exists; controlled-document training semantics not explicit",PARTIAL,"Training Requirement + Assignment + Completion/Validity linked to exact document revision",P1,"Needed for competence and controlled-procedure compliance"
WTR-027,"NTR-038","Typed external trace / suspect state","Canonical relationships/external identity exist; no typed trace/suspect carry-forward semantics located",PARTIAL,"Trace Relationship + source authority + suspect/impact state + copy-forward rule",P2,"Useful for requirements/design/compliance traceability"
WTR-028,"NTR-051","Commissioning / system completion / handover","Foundation only; Windchill is explicit evidence gap",EXTERNAL_RESEARCH_REQUIRED,"CBE commissioning canonical model from specialist tools/standards",P0,"Critical NuBlox CBE differentiation; cannot be derived from PTC alone"
WTR-029,"NTR-052","Construction commercial / contract administration","Partial commercial domain exists; Windchill is explicit evidence gap",EXTERNAL_RESEARCH_REQUIRED,"Instructions + valuations + variations + claims + payment + final-account model benchmark",P0,"Existing partial code must be reconciled against construction contract semantics"
WTR-030,"NTR-053","Site production / field execution","Foundation only; Windchill is explicit evidence gap",EXTERNAL_RESEARCH_REQUIRED,"Daily record + workface + permit + RAMS + inspection + progress + crew/equipment model",P0,"Critical CBE execution gap requiring specialist benchmark"

WTR-031,"NTR-055","Business validation / rule sets / relationship constraints / mapping policy","Kernel identities/factories/registry; migration 0029 canonical rule/evaluation/conflict schema; migration 0030 execution/disposition permissions; deterministic built-in handler registry; Evaluation Run/Result persistence; material Conflict creation; resolve/waive/cancel disposition with audit/outbox; permission-gated manual execution; command-integrated execution on Information Release and Change Close; /app/validation-policy surfaces evaluation/conflict evidence and permitted disposition; kernel/MySQL/end-to-end integration tests","USER_EXECUTABLE_EXECUTION_FOUNDATION_IMPLEMENTED","Propagate rule-set gates into generic Lifecycle transitions and remaining release/domain commands; expand governed handler catalogue only through typed deterministic handlers rather than arbitrary scripts",P0,"Shared validation runtime now exists and is already enforcing release/change commands; remaining work is systematic adoption across the control plane"
WTR-032,"NTR-054","Collaboration / discussion / subscription / cross-context references","Formal Meeting/Agenda concepts exist only in NTE-012 target architecture; no generic Discussion Thread/Contribution/Subscription/Reference Collection/Cross-Context Reference implementation located",ABSENT,"Shared collaboration/reference primitives that link governed contexts/objects without becoming Work, Decision, Permission or containment",P1,"Required for contextual collaboration while preserving authoritative work/state boundaries"
WTR-033,"NTR-056","Contractual data-delivery requirements / deferred incorporation","Exchange Package and Change foundations exist; CBE deliverable/commercial engine remains partial","PARTIAL","Contract delivery requirement/schedule metadata + package fulfilment + deferred-incorporation evidence mapped onto generic deliverable/change controls",P1,"Useful for governed contractual submittals but must be generalised beyond defence-specific CDRL/SDRL terminology"
WTR-034,"NTR-057","Configuration Item / Design Solution / generated change-action fulfilment","Configuration/change/effectivity foundations exist; explicit design-solution/change-action fulfilment aggregate not located","PARTIAL","Configuration Item + candidate Design Solution + optional placement relationship + generated Change Action + effectivity/fulfilment evidence",P1,"Strong pattern for solution alternatives and configuration-level technical change"
WTR-035,"NTR-058","Software artefact/build/configuration provenance","Product/information/integration foundations exist; no software-specific build/configuration aggregate located","DOMAIN_GAP","Software build identity + exact source/configuration provenance + external SCM/defect links as product/information specialisation",P2,"Relevant to enterprise software delivery without forcing software semantics into every product type"
WTR-036,"NTR-061","Product compliance/cost/lifecycle analytic facts","Reporting/analytics engine target exists; no explicit product-analytics fact family located","DOMAIN_GAP","Governed analytic fact/projection model with source/version/currency/provenance and refresh evidence",P2,"Useful cross-domain analytics pattern; source authority remains with operational masters"\n
