backlog_id,source_record_id,function_code,function_name,market_category,vendor,product_or_suite,product_module_or_workspace,exact_operation_or_task,input_objects_or_data,output_work_product,lifecycle_or_status_model,review_approval_authority,audit_evidence,integration_formats,nublox_native_requirement,verification_status,source_url,verified_date
ENT-MTB-0011,MTR-0011,F02,Corporate Governance,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Diligent,Diligent Boards / Diligent One,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F02 Corporate Governance.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.diligent.com/platform/diligent-one,2026-09-21
ENT-MTB-0012,MTR-0012,F02,Corporate Governance,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Board Intelligence,Board Intelligence,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F02 Corporate Governance.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.boardintelligence.com/,2026-09-21
ENT-MTB-0013,MTR-0013,F02,Corporate Governance,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",OnBoard,OnBoard,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F02 Corporate Governance.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.onboardmeetings.com/,2026-09-21
ENT-MTB-0014,MTR-0014,F02,Corporate Governance,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Admincontrol,Admincontrol,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F02 Corporate Governance.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://admincontrol.com/,2026-09-21
ENT-MTB-0015,MTR-0015,F02,Corporate Governance,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Convene,Convene,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F02 Corporate Governance.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.azeusconvene.com/,2026-09-21
ENT-MTB-0016,MTR-0016,F02,Corporate Governance,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Govenda,Govenda,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F02 Corporate Governance.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.govenda.com/,2026-09-21
ENT-MTB-0017,MTR-0017,F02,Corporate Governance,"Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight",Workiva,Workiva,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Boards, committees, agendas, board packs, minutes, actions, policy and governance oversight, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F02 Corporate Governance.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.workiva.com/,2026-09-21
ENT-MTB-0018,MTR-0018,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Oracle,Oracle EPM,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.oracle.com/,2026-09-21
ENT-MTB-0019,MTR-0019,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",SAP,SAP Analytics Cloud,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.sap.com/products.html,2026-09-21
ENT-MTB-0020,MTR-0020,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Workday,Workday Adaptive Planning,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.workday.com/,2026-09-21
ENT-MTB-0021,MTR-0021,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Anaplan,Anaplan,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.anaplan.com/,2026-09-21
ENT-MTB-0022,MTR-0022,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Board,Board,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.board.com/,2026-09-21
ENT-MTB-0023,MTR-0023,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",IBM,IBM Planning Analytics,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.ibm.com/,2026-09-21
ENT-MTB-0024,MTR-0024,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",OneStream,OneStream,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.onestream.com/,2026-09-21
ENT-MTB-0025,MTR-0025,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Wolters Kluwer,CCH Tagetik,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.wolterskluwer.com/,2026-09-21
ENT-MTB-0026,MTR-0026,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Planful,Planful,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://planful.com/,2026-09-21
ENT-MTB-0027,MTR-0027,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Prophix,Prophix,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.prophix.com/,2026-09-21
ENT-MTB-0028,MTR-0028,F03,Enterprise Performance Management,"Planning, budgeting, forecasting, consolidation, management reporting and performance",Jedox,Jedox,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Planning, budgeting, forecasting, consolidation, management reporting and performance, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F03 Enterprise Performance Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.jedox.com/,2026-09-21
ENT-MTB-0029,MTR-0029,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Datasite,Datasite,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.datasite.com/,2026-09-21
ENT-MTB-0030,MTR-0030,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Intralinks,Intralinks,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.intralinks.com/,2026-09-21
ENT-MTB-0031,MTR-0031,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Midaxo,Midaxo,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.midaxo.com/,2026-09-21
ENT-MTB-0032,MTR-0032,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",DealRoom,DealRoom,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://dealroom.net/,2026-09-21
ENT-MTB-0033,MTR-0033,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Ansarada,Ansarada,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.ansarada.com/,2026-09-21
ENT-MTB-0034,MTR-0034,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",DealCloud,DealCloud,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://dealcloud.com/,2026-09-21
ENT-MTB-0035,MTR-0035,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",FirmRoom,FirmRoom,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://firmroom.com/,2026-09-21
ENT-MTB-0036,MTR-0036,F04,Corporate Development & M&A,"Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management",Intralinks,SS&C Intralinks DealCentre AI,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Deal sourcing, valuation, due diligence, virtual data rooms, transaction and integration management, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F04 Corporate Development & M&A.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.intralinks.com/,2026-09-21
ENT-MTB-0037,MTR-0037,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",PTC,PTC Windchill,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.ptc.com/en/products/windchill,2026-09-21
ENT-MTB-0038,MTR-0038,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Siemens,Siemens Teamcenter,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.siemens.com/,2026-09-21
ENT-MTB-0039,MTR-0039,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Dassault Systèmes,Dassault Systèmes ENOVIA / 3DEXPERIENCE,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.3ds.com/,2026-09-21
ENT-MTB-0040,MTR-0040,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Aras,Aras Innovator,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.aras.com/,2026-09-21
ENT-MTB-0041,MTR-0041,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Autodesk,Autodesk Fusion Manage,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.autodesk.com/,2026-09-21
ENT-MTB-0042,MTR-0042,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Oracle,Oracle Fusion Cloud PLM,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.oracle.com/,2026-09-21
ENT-MTB-0043,MTR-0043,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",SAP,SAP Integrated Product Development,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.sap.com/products.html,2026-09-21
ENT-MTB-0044,MTR-0044,F05,"Product, Service & Innovation Management","PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle",Aha!,Aha!,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for PLM, requirements, portfolio, ideation, product definition, configuration, change and lifecycle, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F05 Product, Service & Innovation Management.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.aha.io/,2026-09-21
