tool_product,job_mapping_count,classification,canonical_capability_pattern,existing_anchor_products,deep_verification_status,architecture_treatment,verified_date
Trimble ProDesign,2,ALTERNATIVE_PRODUCT_PATTERN,Electrical design / calculation,MagiCAD; DIALux evo,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Vectorworks Landmark,2,ALTERNATIVE_PRODUCT_PATTERN,Landscape design / planting / site documentation,Vectorworks Architect; ArcGIS Pro,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
WeldEye,2,NEW_CAPABILITY_PATTERN,Welding procedure / traceability / quality records,Tekla PowerFab,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Wenco,2,ALTERNATIVE_PRODUCT_PATTERN,Quarry/mine production / fleet / planning,Hexagon MinePlan; Tenna,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
12d Model,1,ALTERNATIVE_PRODUCT_PATTERN,Civil / infrastructure design and modelling,Autodesk Civil 3D; Bentley OpenRoads Designer,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
2020 Design Live,1,ALTERNATIVE_PRODUCT_PATTERN,Kitchen/bathroom design / product configuration / quotation,Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
3D Lift Plan,1,NEW_CAPABILITY_PATTERN,Temporary works / lifting / access planning,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Adobe Illustrator,1,RESEARCH_CANDIDATE,Unclassified specialist capability,,DISCOVERY_REQUIRES_REVIEW,Complete evidence review before architecture treatment.,2026-09-21
AggFlow DM,1,ALTERNATIVE_PRODUCT_PATTERN,Quarry/mine production / fleet / planning,Hexagon MinePlan; Tenna,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Aimsun Next 26,1,ALTERNATIVE_PRODUCT_PATTERN,Transport demand/network simulation,ArcGIS Urban,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
ALPHACAM,1,ALTERNATIVE_PRODUCT_PATTERN,Furniture/cabinet design-to-manufacturing / CNC,Hexagon Cabinet Vision; Autodesk Fusion; Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
ArcGIS Online,1,ALTERNATIVE_PRODUCT_PATTERN,Geospatial data transformation / GIS authoring,QGIS; ArcGIS Pro,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
ArtiCAD,1,ALTERNATIVE_PRODUCT_PATTERN,Kitchen/bathroom design / product configuration / quotation,Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Asta Powerproject,1,ALTERNATIVE_PRODUCT_PATTERN,Construction planning / scheduling,Oracle Primavera P6,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
AutoCAD Plant 3D,1,NEW_CAPABILITY_PATTERN,Process/piping plant design / isometrics,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Autodesk InfraWorks,1,ALTERNATIVE_PRODUCT_PATTERN,Civil / infrastructure design and modelling,Autodesk Civil 3D; Bentley OpenRoads Designer,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Autodesk Robot Structural Analysis,1,ALTERNATIVE_PRODUCT_PATTERN,Structural analysis / design calculation,Tekla Structural Designer 2026,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
AVEVA E3D Design,1,NEW_CAPABILITY_PATTERN,Process/piping plant design / isometrics,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Avontus Quantify,1,NEW_CAPABILITY_PATTERN,Scaffold design / quantification / inspection planning,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Avontus Scaffold Designer,1,NEW_CAPABILITY_PATTERN,Temporary works / lifting / access planning,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Bentley CUBE,1,ALTERNATIVE_PRODUCT_PATTERN,Civil / infrastructure design and modelling,Autodesk Civil 3D; Bentley OpenRoads Designer,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Bentley EnergySimulator,1,ALTERNATIVE_PRODUCT_PATTERN,Energy / HVAC / building-performance calculation,IES VE 2026; DesignBuilder; Elmhurst Design SAP 10,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Bentley ProjectWise,1,ALTERNATIVE_PRODUCT_PATTERN,Engineering CDE / controlled technical information,Autodesk Docs; Oracle Aconex; Asite,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Capture,1,NEW_CAPABILITY_PATTERN,Entertainment/event lighting design and operation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
CAST WYSIWYG,1,NEW_CAPABILITY_PATTERN,Entertainment/event lighting design and operation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Cityworks,1,ALTERNATIVE_PRODUCT_PATTERN,GIS-centric public asset / work management,ArcGIS Utility Network; IBM Maximo Application Suite,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Cyncly EQ Flex,1,ALTERNATIVE_PRODUCT_PATTERN,Kitchen/bathroom design / product configuration / quotation,Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Cyncly Innoplus,1,ALTERNATIVE_PRODUCT_PATTERN,Kitchen/bathroom design / product configuration / quotation,Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Cyncly Soft Tech,1,NEW_CAPABILITY_PATTERN,Window/glazing system configuration and fabrication,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Cyncly Winner Flex,1,ALTERNATIVE_PRODUCT_PATTERN,Kitchen/bathroom design / product configuration / quotation,Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Dalux,1,ALTERNATIVE_PRODUCT_PATTERN,Field quality / inspection / evidence,SafetyCulture; PlanRadar; Dalux Field,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
DataKustik CadnaA,1,NEW_CAPABILITY_PATTERN,Acoustic / noise / room-acoustics analysis,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Dlubal RFEM,1,ALTERNATIVE_PRODUCT_PATTERN,Structural analysis / design calculation,Tekla Structural Designer 2026,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Doka Tipos / planning tools,1,NEW_CAPABILITY_PATTERN,Temporary works / lifting / access planning,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
ElectricalOM,1,ALTERNATIVE_PRODUCT_PATTERN,Electrical design / calculation,MagiCAD; DIALux evo,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Elmhurst RdSAP Go,1,ALTERNATIVE_PRODUCT_PATTERN,Energy / HVAC / building-performance calculation,IES VE 2026; DesignBuilder; Elmhurst Design SAP 10,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Elmhurst RdSAP Online,1,ALTERNATIVE_PRODUCT_PATTERN,Energy / HVAC / building-performance calculation,IES VE 2026; DesignBuilder; Elmhurst Design SAP 10,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Elmhurst SBEM Online,1,ALTERNATIVE_PRODUCT_PATTERN,Energy / HVAC / building-performance calculation,IES VE 2026; DesignBuilder; Elmhurst Design SAP 10,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Epicor BisTrack,1,ALTERNATIVE_PRODUCT_PATTERN,Merchant/ERP sales-stock-order operations,,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
ETABS,1,ALTERNATIVE_PRODUCT_PATTERN,Structural analysis / design calculation,Tekla Structural Designer 2026,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
EWM Xnet,1,NEW_CAPABILITY_PATTERN,Welding procedure / traceability / quality records,Tekla PowerFab,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Fiix CMMS,1,ALTERNATIVE_PRODUCT_PATTERN,Enterprise asset maintenance / field service,IBM Maximo Application Suite; Planon IWMS,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Fronius WeldCube,1,NEW_CAPABILITY_PATTERN,Welding procedure / traceability / quality records,Tekla PowerFab,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
GoReport,1,ALTERNATIVE_PRODUCT_PATTERN,Building survey / inspection reporting,PlanRadar; SafetyCulture,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
grandMA3 onPC,1,NEW_CAPABILITY_PATTERN,Entertainment/event lighting design and operation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Grasshopper,1,NEW_CAPABILITY_PATTERN,Freeform NURBS/SubD and computational design,Rhino,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Heat Engineer Software,1,NEW_CAPABILITY_PATTERN,Domestic heat-loss / heat-pump sizing and retrofit design,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Hexagon Isogen,1,NEW_CAPABILITY_PATTERN,Process/piping plant design / isometrics,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Hexagon Smart 3D,1,NEW_CAPABILITY_PATTERN,Process/piping plant design / isometrics,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
HOMAG productionManager,1,ALTERNATIVE_PRODUCT_PATTERN,Furniture/cabinet design-to-manufacturing / CNC,Hexagon Cabinet Vision; Autodesk Fusion; Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
HOMAG woodWOP,1,ALTERNATIVE_PRODUCT_PATTERN,Furniture/cabinet design-to-manufacturing / CNC,Hexagon Cabinet Vision; Autodesk Fusion; Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
HxGN EAM,1,ALTERNATIVE_PRODUCT_PATTERN,Enterprise asset maintenance / field service,IBM Maximo Application Suite; Planon IWMS,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Icertis Contract Intelligence,1,ALTERNATIVE_PRODUCT_PATTERN,Capital project controls / contract / change administration,Oracle Primavera Unifier; Procore,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
IFS Cloud EAM,1,ALTERNATIVE_PRODUCT_PATTERN,Enterprise asset maintenance / field service,IBM Maximo Application Suite; Planon IWMS,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
iSBEM,1,ALTERNATIVE_PRODUCT_PATTERN,Energy / HVAC / building-performance calculation,IES VE 2026; DesignBuilder; Elmhurst Design SAP 10,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
John Deere Operations Center,1,NEW_CAPABILITY_PATTERN,Agricultural field operations / machine/task records,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
JVSG IP Video System Design Tool,1,ALTERNATIVE_PRODUCT_PATTERN,Physical security / access control / security-system design,Genetec Security Center,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Kerridge Commercial Systems K8,1,ALTERNATIVE_PRODUCT_PATTERN,Merchant/ERP sales-stock-order operations,,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
KeySCAPE,1,ALTERNATIVE_PRODUCT_PATTERN,Landscape design / planting / site documentation,Vectorworks Architect; ArcGIS Pro,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Land F/X,1,ALTERNATIVE_PRODUCT_PATTERN,Landscape design / planting / site documentation,Vectorworks Architect; ArcGIS Pro,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Leica Captivate,1,ALTERNATIVE_PRODUCT_PATTERN,Survey field capture / setout / as-built,Trimble Access; Trimble Siteworks,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Liebherr Crane Planner 2.0,1,NEW_CAPABILITY_PATTERN,Temporary works / lifting / access planning,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Lightwright,1,NEW_CAPABILITY_PATTERN,Entertainment/event lighting design and operation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Marshall Day Acoustics INSUL,1,NEW_CAPABILITY_PATTERN,Acoustic / noise / room-acoustics analysis,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Microsoft Dynamics 365 Business Central,1,ALTERNATIVE_PRODUCT_PATTERN,Merchant/ERP sales-stock-order operations,,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
MRI Facilities Management,1,ALTERNATIVE_PRODUCT_PATTERN,Property / lease / facilities / IWMS operations,Planon IWMS; Eptura / Archibus,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
MRI Software,1,ALTERNATIVE_PRODUCT_PATTERN,Property / lease / facilities / IWMS operations,Planon IWMS; Eptura / Archibus,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
NIST CFAST,1,NEW_CAPABILITY_PATTERN,Fire / evacuation / life-safety simulation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
NIST Fire Dynamics Simulator (FDS),1,NEW_CAPABILITY_PATTERN,Fire / evacuation / life-safety simulation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Oasys MassMotion,1,NEW_CAPABILITY_PATTERN,Fire / evacuation / life-safety simulation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
ODEON Room Acoustics Software,1,NEW_CAPABILITY_PATTERN,Acoustic / noise / room-acoustics analysis,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
OpenSolar,1,NEW_CAPABILITY_PATTERN,Solar PV sizing / layout / yield design,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Oracle NetSuite,1,ALTERNATIVE_PRODUCT_PATTERN,Merchant/ERP sales-stock-order operations,,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Orgadata Logikal,1,NEW_CAPABILITY_PATTERN,Window/glazing system configuration and fabrication,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
PERI CAD / planning tools,1,NEW_CAPABILITY_PATTERN,Temporary works / lifting / access planning,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Phocas,1,ALTERNATIVE_PRODUCT_PATTERN,Business analytics / distribution reporting,Microsoft Power BI,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
PlanX,1,RESEARCH_CANDIDATE,Unclassified specialist capability,,DISCOVERY_REQUIRES_REVIEW,Complete evidence review before architecture treatment.,2026-09-21
Precisely MapInfo Pro,1,ALTERNATIVE_PRODUCT_PATTERN,Geospatial data transformation / GIS authoring,QGIS; ArcGIS Pro,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
PTV Vissim,1,ALTERNATIVE_PRODUCT_PATTERN,Transport demand/network simulation,ArcGIS Urban,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
PTV Visum,1,ALTERNATIVE_PRODUCT_PATTERN,Transport demand/network simulation,ArcGIS Urban,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
PVcase,1,NEW_CAPABILITY_PATTERN,Solar PV sizing / layout / yield design,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Quidos iQ-Energy,1,ALTERNATIVE_PRODUCT_PATTERN,Energy / HVAC / building-performance calculation,IES VE 2026; DesignBuilder; Elmhurst Design SAP 10,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
RebarCAD,1,ALTERNATIVE_PRODUCT_PATTERN,Reinforcement detailing / bar scheduling,Tekla Structures; ALLPLAN,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
RFMS MeasureMobile,1,NEW_CAPABILITY_PATTERN,Trade-specific flooring takeoff / layout / waste optimisation,RIB CostX; Autodesk Takeoff,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Sage 200,1,ALTERNATIVE_PRODUCT_PATTERN,Merchant/ERP sales-stock-order operations,,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Sage Estimating,1,ALTERNATIVE_PRODUCT_PATTERN,Construction takeoff / estimating / project controls,RIB CostX; RIB Candy; Causeway Estimating; ConQuest Estimating,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
SAP Asset Management,1,ALTERNATIVE_PRODUCT_PATTERN,Enterprise asset maintenance / field service,IBM Maximo Application Suite; Planon IWMS,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
SAP Field Service Management,1,RESEARCH_CANDIDATE,Unclassified specialist capability,,DISCOVERY_REQUIRES_REVIEW,Complete evidence review before architecture treatment.,2026-09-21
SAP2000,1,ALTERNATIVE_PRODUCT_PATTERN,Structural analysis / design calculation,Tekla Structural Designer 2026,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
SATURN,1,ALTERNATIVE_PRODUCT_PATTERN,Transport demand/network simulation,ArcGIS Urban,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
SCIA Engineer,1,ALTERNATIVE_PRODUCT_PATTERN,Structural analysis / design calculation,Tekla Structural Designer 2026,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
ServiceNow Field Service Management,1,ALTERNATIVE_PRODUCT_PATTERN,Enterprise asset maintenance / field service,IBM Maximo Application Suite; Planon IWMS,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
SMART Scaffolder,1,NEW_CAPABILITY_PATTERN,Temporary works / lifting / access planning,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
SolarEdge Designer,1,NEW_CAPABILITY_PATTERN,Solar PV sizing / layout / yield design,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
SOLIDWORKS,1,ALTERNATIVE_PRODUCT_PATTERN,Mechanical/product CAD and manufacturing definition,Autodesk Fusion,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
SoundPLANnoise,1,NEW_CAPABILITY_PATTERN,Acoustic / noise / room-acoustics analysis,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Spacewell,1,ALTERNATIVE_PRODUCT_PATTERN,Property / lease / facilities / IWMS operations,Planon IWMS; Eptura / Archibus,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
STAAD.Pro,1,ALTERNATIVE_PRODUCT_PATTERN,Structural analysis / design calculation,Tekla Structural Designer 2026,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
System Surveyor,1,ALTERNATIVE_PRODUCT_PATTERN,Physical security / access control / security-system design,Genetec Security Center,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Tekla PowerFab,1,RESEARCH_CANDIDATE,Unclassified specialist capability,,DISCOVERY_REQUIRES_REVIEW,Complete evidence review before architecture treatment.,2026-09-21
Tekla Structural Designer 2026,1,ALTERNATIVE_PRODUCT_PATTERN,Structural analysis / design calculation,Tekla Structural Designer 2026,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Tekla Tedds,1,RESEARCH_CANDIDATE,Unclassified specialist capability,,DISCOVERY_REQUIRES_REVIEW,Complete evidence review before architecture treatment.,2026-09-21
