job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,lifecycle_stages,specialist_capabilities,primary_structured_records,market_tool_category,representative_current_tools,current_market_work_pattern,nublox_native_requirement,function_mapping_status,tool_research_status,verified_date
CBE-JP-011,Building technician,D02,F05;F13;F19;F23;F26;F27,Design; Construction,Technical support; drawings; surveys; records; project coordination,Drawings; survey data; schedules; reports,Engineering analysis / design / technical information,AutoCAD; Autodesk Revit; Bluebeam Revu; Autodesk Docs; Autodesk Navisworks; PlanRadar,"Perform Technical support; drawings; surveys; records; project coordination using specialist authoring, calculation, field or business systems; create and exchange Drawings; survey data; schedules; reports.","Provide native job workspace for Technical support; drawings; surveys; records; project coordination; create/control Drawings; survey data; schedules; reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-012,Caretaker,D10,F08;F09;F12;F13;F14;F22;F23;F26;F27,Operations,Inspections; reactive tasks; access; cleaning/maintenance coordination; incident reporting,Work orders; checks; logs; incident records,Facilities / asset / maintenance operations,Planon IWMS; IBM Maximo Application Suite; Eptura / Archibus; MRI Facilities Management; ServiceNow Field Service Management; SafetyCulture,"Perform Inspections; reactive tasks; access; cleaning/maintenance coordination; incident reporting using specialist authoring, calculation, field or business systems; create and exchange Work orders; checks; logs; incident records.","Provide native job workspace for Inspections; reactive tasks; access; cleaning/maintenance coordination; incident reporting; create/control Work orders; checks; logs; incident records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-013,Carpenter,D07,F09;F10;F12;F13;F23;F26;F27,Construction,Job planning; setting out; fabrication; installation; materials; quality,Work orders; cut lists; material usage; photos,Trade field execution / estimating / evidence,Tradify; Fergus; ServiceM8; BigChange; SketchUp; AutoCAD; Procore; Autodesk Build,"Perform Job planning; setting out; fabrication; installation; materials; quality using specialist authoring, calculation, field or business systems; create and exchange Work orders; cut lists; material usage; photos.","Provide native job workspace for Job planning; setting out; fabrication; installation; materials; quality; create/control Work orders; cut lists; material usage; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-014,Carpet fitter and floor layer,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out,Site measure; product selection; preparation; installation; snagging,Measurements; material schedules; work orders; completion records,Trade field execution / estimating / evidence,MeasureSquare; RFMS MeasureMobile; Tradify; ServiceM8; Jobber; BigChange,"Perform Site measure; product selection; preparation; installation; snagging using specialist authoring, calculation, field or business systems; create and exchange Measurements; material schedules; work orders; completion records.","Provide native job workspace for Site measure; product selection; preparation; installation; snagging; create/control Measurements; material schedules; work orders; completion records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-015,Cartographer,D05,F05;F17;F19;F22;F26;F27,Survey; Planning; Design,Spatial data management; map production; revisions; exports,Maps; datasets; layers; metadata,GIS / planning / modelling / case management,Esri ArcGIS Pro; QGIS; Precisely MapInfo Pro; Safe Software FME; Adobe Illustrator,"Perform Spatial data management; map production; revisions; exports using specialist authoring, calculation, field or business systems; create and exchange Maps; datasets; layers; metadata.","Provide native job workspace for Spatial data management; map production; revisions; exports; create/control Maps; datasets; layers; metadata as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-016,Cavity insulation installer,D09,F05;F12;F13;F22;F23;F26;F27,Retrofit; Completion,Survey; suitability checks; installation; materials; photos; completion evidence,Survey records; installation records; certificates; photos,Energy assessment / retrofit / field execution,Joblogic; simPRO; BigChange; Tradify; SafetyCulture; PlanRadar,"Perform Survey; suitability checks; installation; materials; photos; completion evidence using specialist authoring, calculation, field or business systems; create and exchange Survey records; installation records; certificates; photos.","Provide native job workspace for Survey; suitability checks; installation; materials; photos; completion evidence; create/control Survey records; installation records; certificates; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-017,Ceiling fixer,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out,Take-off; layout; installation; materials; progress; snagging,Work orders; material usage; photos; defects,Trade field execution / estimating / evidence,Procore; Autodesk Build; Dalux Field; SafetyCulture; Tradify; Fergus; Bluebeam Revu,"Perform Take-off; layout; installation; materials; progress; snagging using specialist authoring, calculation, field or business systems; create and exchange Work orders; material usage; photos; defects.","Provide native job workspace for Take-off; layout; installation; materials; progress; snagging; create/control Work orders; material usage; photos; defects as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-018,Civil engineer,D02,F05;F13;F19;F23;F26;F27,Feasibility; Design; Construction,Civil design; calculations; specifications; coordination; site queries; inspections,Designs; calculations; specifications; RFIs; inspection records,Engineering analysis / design / technical information,Autodesk Civil 3D; Bentley OpenRoads Designer; 12d Model; Bentley MicroStation; Autodesk InfraWorks; Tekla Tedds; Autodesk Navisworks; Bentley ProjectWise; Bluebeam Revu,"Perform Civil design; calculations; specifications; coordination; site queries; inspections using specialist authoring, calculation, field or business systems; create and exchange Designs; calculations; specifications; RFIs; inspection records.","Provide native job workspace for Civil design; calculations; specifications; coordination; site queries; inspections; create/control Designs; calculations; specifications; RFIs; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-019,Civil engineering technician,D02,F05;F13;F19;F23;F26;F27,Design; Construction,CAD/BIM support; surveys; calculations; drawings; records,Drawings; models; survey data; schedules,Engineering analysis / design / technical information,Autodesk Civil 3D; Bentley OpenRoads Designer; AutoCAD; Bentley MicroStation; Trimble Business Center; Autodesk Navisworks; Bluebeam Revu,"Perform CAD/BIM support; surveys; calculations; drawings; records using specialist authoring, calculation, field or business systems; create and exchange Drawings; models; survey data; schedules.","Provide native job workspace for CAD/BIM support; surveys; calculations; drawings; records; create/control Drawings; models; survey data; schedules as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-020,Commercial energy assessor,D09,F05;F12;F13;F22;F23;F26;F27,Survey; Assessment; Certification,Property data capture; energy assessment; evidence; certificate workflow,Assessment records; evidence; EPC-related outputs,Energy assessment / retrofit / field execution,IES VE 2026; DesignBuilder; Elmhurst SBEM Online; iSBEM; Bentley EnergySimulator,"Perform Property data capture; energy assessment; evidence; certificate workflow using specialist authoring, calculation, field or business systems; create and exchange Assessment records; evidence; EPC-related outputs.","Provide native job workspace for Property data capture; energy assessment; evidence; certificate workflow; create/control Assessment records; evidence; EPC-related outputs as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-021,Conservator,D13,F05;F12;F13;F19;F22;F23;F26;F27,Survey; Conservation; Maintenance,Condition assessment; conservation plan; treatment records; provenance/evidence,Condition reports; treatment plans; photos; conservation records,Heritage / landscape / conservation information,Arches; Axiell Collections; Esri ArcGIS Pro; QGIS; Bluebeam Revu; Autodesk ReCap Pro; Agisoft Metashape,"Perform Condition assessment; conservation plan; treatment records; provenance/evidence using specialist authoring, calculation, field or business systems; create and exchange Condition reports; treatment plans; photos; conservation records.","Provide native job workspace for Condition assessment; conservation plan; treatment records; provenance/evidence; create/control Condition reports; treatment plans; photos; conservation records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-022,Construction contracts manager,D04,F07;F09;F14;F19;F20;F26;F27,Pre-contract; Construction; Closeout,Contract register; obligations; notices; change; payment; claims; correspondence,Contracts; notices; instructions; variations; payment records,Estimating / commercial / contract administration,Thinkproject CEMAR; Oracle Primavera Unifier; Oracle Aconex; Asite; Procore; Icertis Contract Intelligence,"Perform Contract register; obligations; notices; change; payment; claims; correspondence using specialist authoring, calculation, field or business systems; create and exchange Contracts; notices; instructions; variations; payment records.","Provide native job workspace for Contract register; obligations; notices; change; payment; claims; correspondence; create/control Contracts; notices; instructions; variations; payment records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-023,Construction labourer,D06,F09;F10;F12;F13;F23;F26;F27,Construction,Task allocation; attendance; inductions; daily work; equipment; safety records,Timesheets; task records; inductions; site diary entries,Construction management / field execution,Procore; Autodesk Build; Dalux Field; SafetyCulture; BigChange; Samsara,"Perform Task allocation; attendance; inductions; daily work; equipment; safety records using specialist authoring, calculation, field or business systems; create and exchange Timesheets; task records; inductions; site diary entries.","Provide native job workspace for Task allocation; attendance; inductions; daily work; equipment; safety records; create/control Timesheets; task records; inductions; site diary entries as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-024,Construction manager,D06,F09;F10;F12;F13;F23;F26;F27,Pre-construction; Construction; Handover,Programme; packages; coordination; site diary; labour; plant; quality; safety; progress,Programme; diaries; RFIs; reports; inspections; progress records,Construction management / field execution,Oracle Primavera P6; Asta Powerproject; Procore; Autodesk Build; Oracle Aconex; Asite; Dalux; Trimble Field View; Bluebeam Revu; SafetyCulture,"Perform Programme; packages; coordination; site diary; labour; plant; quality; safety; progress using specialist authoring, calculation, field or business systems; create and exchange Programme; diaries; RFIs; reports; inspections; progress records.","Provide native job workspace for Programme; packages; coordination; site diary; labour; plant; quality; safety; progress; create/control Programme; diaries; RFIs; reports; inspections; progress records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-025,Construction plant mechanic,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Construction; Maintenance,Asset register; servicing; defects; inspections; parts; breakdowns,Asset records; service history; defect reports; work orders,Plant / specialist operations / production,HCSS Equipment360; Tenna; Samsara; IBM Maximo Application Suite; Fiix CMMS; SafetyCulture,"Perform Asset register; servicing; defects; inspections; parts; breakdowns using specialist authoring, calculation, field or business systems; create and exchange Asset records; service history; defect reports; work orders.","Provide native job workspace for Asset register; servicing; defects; inspections; parts; breakdowns; create/control Asset records; service history; defect reports; work orders as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-026,Construction plant operator,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Construction,Plant allocation; pre-use checks; hours; tasks; defects; competencies,Plant checks; utilisation; task logs; defect records,Plant / specialist operations / production,Tenna; Samsara; HCSS Equipment360; Procore; Autodesk Build; SafetyCulture,"Perform Plant allocation; pre-use checks; hours; tasks; defects; competencies using specialist authoring, calculation, field or business systems; create and exchange Plant checks; utilisation; task logs; defect records.","Provide native job workspace for Plant allocation; pre-use checks; hours; tasks; defects; competencies; create/control Plant checks; utilisation; task logs; defect records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-027,Construction site supervisor,D06,F09;F10;F12;F13;F23;F26;F27,Construction,Daily supervision; labour; inspections; permits; quality; progress; safety,Site diary; inspections; permits; progress records,Construction management / field execution,Procore; Autodesk Build; Dalux Field; Trimble Field View; PlanRadar; SafetyCulture; Bluebeam Revu,"Perform Daily supervision; labour; inspections; permits; quality; progress; safety using specialist authoring, calculation, field or business systems; create and exchange Site diary; inspections; permits; progress records.","Provide native job workspace for Daily supervision; labour; inspections; permits; quality; progress; safety; create/control Site diary; inspections; permits; progress records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-028,Crane driver,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Construction,Lift allocation; pre-use checks; plant hours; competency; lift records; defects,Checks; lift logs; utilisation; defect records,Plant / specialist operations / production,3D Lift Plan; Liebherr Crane Planner 2.0; Procore; Autodesk Build; SafetyCulture; Tenna,"Perform Lift allocation; pre-use checks; plant hours; competency; lift records; defects using specialist authoring, calculation, field or business systems; create and exchange Checks; lift logs; utilisation; defect records.","Provide native job workspace for Lift allocation; pre-use checks; plant hours; competency; lift records; defects; create/control Checks; lift logs; utilisation; defect records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-029,Demolition operative,D06,F09;F10;F12;F13;F23;F26;F27,Enabling; Demolition,Method/task planning; permits; hazardous materials records; waste; progress,RAMS references; permits; waste records; photos; task logs,Construction management / field execution,Procore; Autodesk Build; Dalux Field; PlanRadar; SafetyCulture; BigChange,"Perform Method/task planning; permits; hazardous materials records; waste; progress using specialist authoring, calculation, field or business systems; create and exchange RAMS references; permits; waste records; photos; task logs.","Provide native job workspace for Method/task planning; permits; hazardous materials records; waste; progress; create/control RAMS references; permits; waste records; photos; task logs as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-030,Domestic energy assessor,D09,F05;F12;F13;F22;F23;F26;F27,Survey; Assessment; Certification,Dwelling data capture; energy assessment; evidence; certificate workflow,Assessment records; evidence; EPC-related outputs,Energy assessment / retrofit / field execution,Elmhurst RdSAP Go; Elmhurst RdSAP Online; Quidos iQ-Energy; Elmhurst Design SAP 10,"Perform Dwelling data capture; energy assessment; evidence; certificate workflow using specialist authoring, calculation, field or business systems; create and exchange Assessment records; evidence; EPC-related outputs.","Provide native job workspace for Dwelling data capture; energy assessment; evidence; certificate workflow; create/control Assessment records; evidence; EPC-related outputs as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-031,Dryliner,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out,Take-off; layout; installation; materials; progress; defects,Work orders; material usage; photos; snagging,Trade field execution / estimating / evidence,Procore; Autodesk Build; Dalux Field; SafetyCulture; Tradify; Fergus; Bluebeam Revu,"Perform Take-off; layout; installation; materials; progress; defects using specialist authoring, calculation, field or business systems; create and exchange Work orders; material usage; photos; snagging.","Provide native job workspace for Take-off; layout; installation; materials; progress; defects; create/control Work orders; material usage; photos; snagging as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-032,Electrician,D08,F09;F10;F12;F13;F22;F23;F26;F27,Design support; Installation; Testing; Maintenance,Survey; estimate; schedule; installation; circuits; testing; defects; certification; maintenance,Quotes; job sheets; circuit/test records; certificates; invoices,Building-services design / field service / certification,Trimble ProDesign; ElectricalOM; DIALux evo; simPRO; Joblogic; Commusoft; ServiceM8; Tradify,"Perform Survey; estimate; schedule; installation; circuits; testing; defects; certification; maintenance using specialist authoring, calculation, field or business systems; create and exchange Quotes; job sheets; circuit/test records; certificates; invoices.","Provide native job workspace for Survey; estimate; schedule; installation; circuits; testing; defects; certification; maintenance; create/control Quotes; job sheets; circuit/test records; certificates; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-033,Engineering construction technician,D02,F05;F13;F19;F23;F26;F27,Design; Installation; Commissioning,Technical support; installation records; commissioning/decommissioning support; drawings,Drawings; technical records; test sheets; schedules,Engineering analysis / design / technical information,AutoCAD; Autodesk Revit; Autodesk Navisworks; Bluebeam Revu; Autodesk Docs; Trimble Connect,"Perform Technical support; installation records; commissioning/decommissioning support; drawings using specialist authoring, calculation, field or business systems; create and exchange Drawings; technical records; test sheets; schedules.","Provide native job workspace for Technical support; installation records; commissioning/decommissioning support; drawings; create/control Drawings; technical records; test sheets; schedules as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-034,Estimator,D04,F07;F09;F14;F19;F20;F26;F27,Pre-contract,Take-off; resource build-ups; supplier enquiries; estimates; tender submissions; revisions,Estimates; take-offs; RFQs; tender returns; bid documents,Estimating / commercial / contract administration,RIB CostX; RIB Candy; Causeway Estimating; ConQuest Estimating; Autodesk Takeoff; Bluebeam Revu; Trimble WinEst; Sage Estimating,"Perform Take-off; resource build-ups; supplier enquiries; estimates; tender submissions; revisions using specialist authoring, calculation, field or business systems; create and exchange Estimates; take-offs; RFQs; tender returns; bid documents.","Provide native job workspace for Take-off; resource build-ups; supplier enquiries; estimates; tender submissions; revisions; create/control Estimates; take-offs; RFQs; tender returns; bid documents as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
