backlog_id,source_mapping_id,job_profile_id,canonical_name,tool_product,vendor,candidate_job_capabilities,candidate_work_products,product_module_or_workspace,exact_operation_or_task,input_objects_or_data,output_work_product,lifecycle_or_status_model,review_approval_authority,audit_evidence,integration_formats,nublox_native_requirement,verification_status,source_url,verified_date
CBE-MTB-0011,CBE-JTM-0011,CBE-JP-002,Agricultural contractor,ServiceM8,ServiceM8,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0012,CBE-JTM-0012,CBE-JP-002,Agricultural contractor,SafetyCulture,SafetyCulture,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0013,CBE-JTM-0013,CBE-JP-003,Architect,Autodesk Revit,Autodesk,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.autodesk.com/products/revit/overview,2026-09-21
CBE-MTB-0014,CBE-JTM-0014,CBE-JP-003,Architect,Graphisoft Archicad,Graphisoft,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0015,CBE-JTM-0015,CBE-JP-003,Architect,Vectorworks Architect,Vectorworks,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0016,CBE-JTM-0016,CBE-JP-003,Architect,ALLPLAN,ALLPLAN,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.allplan.com/products/allplan/,2026-09-21
CBE-MTB-0017,CBE-JTM-0017,CBE-JP-003,Architect,AutoCAD,Autodesk,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0018,CBE-JTM-0018,CBE-JP-003,Architect,Rhino,Robert McNeel & Associates,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,,2026-09-21
CBE-MTB-0019,CBE-JTM-0019,CBE-JP-003,Architect,Grasshopper,Robert McNeel & Associates,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,,2026-09-21
CBE-MTB-0020,CBE-JTM-0020,CBE-JP-003,Architect,SketchUp,Trimble,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0021,CBE-JTM-0021,CBE-JP-003,Architect,Autodesk Navisworks,Autodesk,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0022,CBE-JTM-0022,CBE-JP-003,Architect,Solibri,Solibri,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0023,CBE-JTM-0023,CBE-JP-003,Architect,Bluebeam Revu,Bluebeam,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.bluebeam.com/revu/,2026-09-21
CBE-MTB-0024,CBE-JTM-0024,CBE-JP-003,Architect,Autodesk Docs,Autodesk,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0025,CBE-JTM-0025,CBE-JP-003,Architect,Oracle Aconex,Oracle,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.oracle.com/construction-engineering/aconex/,2026-09-21
CBE-MTB-0026,CBE-JTM-0026,CBE-JP-003,Architect,NBS Chorus,NBS,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0027,CBE-JTM-0027,CBE-JP-004,Architectural technician,Autodesk Revit,Autodesk,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.autodesk.com/products/revit/overview,2026-09-21
CBE-MTB-0028,CBE-JTM-0028,CBE-JP-004,Architectural technician,Graphisoft Archicad,Graphisoft,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0029,CBE-JTM-0029,CBE-JP-004,Architectural technician,Vectorworks Architect,Vectorworks,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0030,CBE-JTM-0030,CBE-JP-004,Architectural technician,ALLPLAN,ALLPLAN,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.allplan.com/products/allplan/,2026-09-21
CBE-MTB-0031,CBE-JTM-0031,CBE-JP-004,Architectural technician,AutoCAD,Autodesk,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0032,CBE-JTM-0032,CBE-JP-004,Architectural technician,Autodesk Navisworks,Autodesk,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0033,CBE-JTM-0033,CBE-JP-004,Architectural technician,Solibri,Solibri,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0034,CBE-JTM-0034,CBE-JP-004,Architectural technician,Bluebeam Revu,Bluebeam,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.bluebeam.com/revu/,2026-09-21
CBE-MTB-0035,CBE-JTM-0035,CBE-JP-004,Architectural technician,Autodesk Docs,Autodesk,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0036,CBE-JTM-0036,CBE-JP-004,Architectural technician,NBS Chorus,NBS,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0037,CBE-JTM-0037,CBE-JP-005,Architectural technologist,Autodesk Revit,Autodesk,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.autodesk.com/products/revit/overview,2026-09-21
CBE-MTB-0038,CBE-JTM-0038,CBE-JP-005,Architectural technologist,Graphisoft Archicad,Graphisoft,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
