mapping_id,job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,market_tool_category,vendor,tool_product,specialist_capabilities,primary_structured_records,lifecycle_stages,source_url,verification_status,verified_date,nublox_native_requirement
CBE-JTM-0011,CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Agricultural field operations / plant / service,ServiceM8,ServiceM8,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Planning; Delivery; Maintenance,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0012,CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Agricultural field operations / plant / service,SafetyCulture,SafetyCulture,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Planning; Delivery; Maintenance,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0013,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Revit,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,https://www.autodesk.com/products/revit/overview,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0014,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Graphisoft,Graphisoft Archicad,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0015,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Vectorworks,Vectorworks Architect,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0016,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,ALLPLAN,ALLPLAN,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,https://www.allplan.com/products/allplan/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0017,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,AutoCAD,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0018,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Robert McNeel & Associates,Rhino,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0019,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Robert McNeel & Associates,Grasshopper,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0020,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Trimble,SketchUp,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0021,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Navisworks,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0022,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Solibri,Solibri,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0023,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Bluebeam,Bluebeam Revu,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,https://www.bluebeam.com/revu/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0024,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Docs,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0025,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Oracle,Oracle Aconex,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,https://www.oracle.com/construction-engineering/aconex/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0026,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,NBS,NBS Chorus,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief; Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0027,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Revit,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,https://www.autodesk.com/products/revit/overview,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0028,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Graphisoft,Graphisoft Archicad,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0029,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Vectorworks,Vectorworks Architect,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0030,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,ALLPLAN,ALLPLAN,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,https://www.allplan.com/products/allplan/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0031,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,AutoCAD,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0032,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Navisworks,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0033,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Solibri,Solibri,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0034,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Bluebeam,Bluebeam Revu,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,https://www.bluebeam.com/revu/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0035,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Docs,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0036,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,NBS,NBS Chorus,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design; Construction,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0037,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Revit,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,https://www.autodesk.com/products/revit/overview,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0038,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Graphisoft,Graphisoft Archicad,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0039,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Vectorworks,Vectorworks Architect,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0040,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,ALLPLAN,ALLPLAN,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,https://www.allplan.com/products/allplan/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0041,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,AutoCAD,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0042,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Navisworks,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0043,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Solibri,Solibri,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0044,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Bluebeam,Bluebeam Revu,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,https://www.bluebeam.com/revu/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0045,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design authoring / BIM / technical information,Autodesk,Autodesk Docs,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design; Construction; Handover,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
