recon_id,windchill_help_branch,coverage_ids,canonical_significance,residual_status
TOC-018,Digital Product Traceability,"WHC-034","External requirement/architecture traces suspect status and impact",COVERED
TOC-019,Search and Indexing,"WHC-035","Database/index/content search saved searches and facets",COVERED
TOC-020,Visualization and Publishing,"WHC-036","Representations annotations publish rules jobs workers and derived output",COVERED
TOC-021,Reporting and Query Builder,"WHC-037","Report definitions execution views snapshots schedules and security",COVERED
TOC-022,Auditing Subscriptions Events and Notifications,"WHC-038","Audit/event history subscriptions notification and retention",COVERED
TOC-023,Windchill REST Services,"WHC-039","OData domains entities navigation commands metadata transactions and error model",COVERED
TOC-024,Windchill ESI ERP MES Integration,"WHC-040","Distribution targets publication transaction acknowledgement retry and source authority",COVERED
TOC-025,Windchill Import Export Data Loading and Migration,"WHC-041","Spreadsheet/object import loaders mappings conflicts and semantic preservation",COVERED
TOC-026,System Administration Operations,"WHC-042","Queues workers vaulting replication JMX logging backup and recovery",COVERED
TOC-027,Customization and Extension,"WHC-043","Configuration metadata models services events business rules REST UI and upgrade reconciliation",COVERED
TOC-028,Business Administrative Change Promotion,"WHC-048","Administrative configuration baselines deltas packages promotion mappings conflicts and deployment evidence",COVERED
TOC-029,Purge Archive Restore and Retention,"WHC-038; WHC-049","Object/iteration disposition schedules conflicts archive restore and audit retention",COVERED
TOC-030,License and entitlement administration,"WHC-007; WHC-038","License profiles/entitlement visibility and license-usage audit",COVERED_AS_ADMIN_DETAIL
TOC-031,Calendars and resource availability,"WHC-025; WHC-013","Planning/resource calendars plus inherited preferences",COVERED_AS_PLANNING_DETAIL
TOC-032,Properties command-line utilities diagnostics and maintenance,"WHC-042; WHC-043","Operational control/configuration mechanics rather than new business-object family",COVERED_AS_IMPLEMENTATION_DETAIL
TOC-033,Desktop/CAD authoring integrations and Workgroup Manager,"WHC-018; WHC-020; WHC-042","Authoring integration workspace conflict/cache and worker operations",COVERED_AS_INTEGRATION_DETAIL
TOC-034,Construction commissioning test packs and handover,"WHC-044","No first-class Windchill branch/object family sufficient for CBE commissioning semantics",EXPLICIT_CBE_GAP
TOC-035,Construction commercial and contract administration,"WHC-045","Outside Windchill core capability boundary",EXPLICIT_CBE_GAP
TOC-036,Construction site production and field execution,"WHC-046","Outside Windchill core capability boundary; MPMLink patterns are not field execution",EXPLICIT_CBE_GAP
TOC-037,Collaboration Meetings Discussions Notebooks and Networks,"WHC-050; WHC-038","Contextual collaboration conversation references and notification interests separated from governed workflow and authority",COVERED
TOC-038,Business Rules Validation and Association Policy,"WHC-051; WHC-024","Reusable validation rule sets execution conflicts association constraints and mapping policy",COVERED
TOC-039,Aerospace and Defense CDRL SDRL CAGE and Unincorporated Change,"WHC-052; WHC-027; WHC-024; WHC-003","Contractual data-delivery packages organisation identifiers and deferred approved-change incorporation",COVERED
TOC-040,Aerospace and Defense Configuration Items and Design Solutions,"WHC-053; WHC-021; WHC-024","Configuration-level definition/solution/change-action/effectivity semantics",COVERED
TOC-041,Integrated Software Management,"WHC-054; WHC-017; WHC-039","Software parts builds documents configuration data defects and external SCM/build integration",COVERED
TOC-042,STEP and PLM standards exchange,"WHC-055; WHC-041; WHC-027","EXPRESS/AP214/AP242/PLCS product-data mapping and governed exchange",COVERED_AS_INTEGRATION_DETAIL
TOC-043,Office Online and Desktop Integration,"WHC-056; WHC-017; WHC-018","External authoring-client access to governed document/content/version/work-state operations",COVERED_AS_INTEGRATION_DETAIL
TOC-044,Product Analytics integration,"WHC-057; WHC-037; WHC-029","Part environmental compliance cost and life-cycle analytic projections/integration",COVERED_AS_INTEGRATION_DETAIL
TOC-045,Ship Building industry template,"WHC-058; WHC-010","Industry classification/template content layered on PartsLink and existing product semantics",COVERED_AS_TEMPLATE_DETAIL\n
