coverage_id,help_center_family,scope,status,primary_evidence,notes
WHC-030,Manufacturing Process Management,"eBOM/mBOM; equivalence; discrepancy; process plans; operations; plants; resources; control characteristics",DEEP_PASS,"Manufacturing Process Management","Plant/department data, made-from history and co-produce detail pending"
WHC-031,Quality Management,"Quality context; NC; CAPA; Audit; Customer Experience; Document Control; Design Control; Regulatory Master",DEEP_PASS,"Quality Management Solutions","Individual submodules still being deepened"
WHC-032,Document Control & training,"controlled documents; training assignment; training records; validity",DEEP_PASS,"Document Control / Training Tracking","12.0.2 English indexing incomplete; official PTC later-version English used as labelled corroboration where needed"
WHC-033,Design Control,"DHF; DMR; design review; review objects; participant assignment; e-signature; summary evidence",DEEP_PASS,"Design Control / DHF-DMR / Design Review","Core review/history/approved-record/signature model mapped; medical-device-specific regulatory edge cases remain"
WHC-034,Digital Product Traceability,"OSLC remote requirements/architecture; typed Allocate/Satisfy/Implement traces; remote affected objects; suspect status; copy-forward/version semantics",DEEP_PASS,"Digital Product Traceability / Remote Affected Objects","Core authority/trace/version/impact model mapped; provider-specific authentication/configuration details remain"
WHC-035,Search & indexing,"database search; indexed metadata/content search; type/context/attribute/related-object criteria; versions; saved/group searches; search history/facets",DEEP_PASS,"Windchill Search / Index Search","Core query/index/version/reuse model mapped; physical search-engine deployment topology is system-operations detail"
WHC-036,Visualization & publishing,"representations; defaults; annotations; publish rules; derived outputs; publish jobs; WVS/VCS; queues/workers; incremental publishing; copy-forward",DEEP_PASS,"Visualization Services / Service Publishing","Core source/representation/rule/job/output model mapped; CAD-format-specific worker configuration remains implementation detail"
WHC-037,Reporting,"Report; ReportTemplate/query definition; runtime parameters; saved Report Views; retained Report Instances; scheduling; delivery; authoring engines; security boundary",DEEP_PASS,"Reporting / Query Builder / Windchill Business Reporting","Core definition/execution/snapshot/scheduling/security model mapped; vendor-specific BI authoring details remain implementation concerns"
WHC-038,Audit / subscriptions / events,"service/summary events; configAudit; audit records; security-audit querying; retention/purge; subscriptions; notification events; plan events",DEEP_PASS,"Auditing Event Framework / Subscriptions / Notification Configuration","Core event/audit/subscription/notification/retention model mapped; site-specific event-enablement policy remains configurable"
WHC-039,REST Services / APIs,"OData domains; entity sets; entities; navigation; actions/functions; metadata; versioning; batch/change-set transactions; HTTP errors",PARTIAL,"Windchill REST Services; windchill-rest-services-domain-transaction-model.md; windchill-rest-domain-entity-operation-matrix.csv","Framework plus high-value domain/entity/operation coverage now mapped across Product, Document, Data Admin, Change, Workflow, CAD, Effectivity, Supplier, MPMLink, Factory and Quality families; remaining lower-value domains/actions/functions still to enumerate"
WHC-040,ERP / ESI integration,"distribution targets; transactions; ReleaseActivity subtransactions; publication history; result/acknowledgement; retry/resubmission; source authority; BOM/process/resource/control-characteristic publishing",DEEP_PASS,"Windchill ESI; windchill-esi-transaction-source-authority-model.md; windchill-esi-transaction-matrix.csv","Core endpoint/transaction/subtransaction/status/result/resubmission/delta/source-authority model closed; adapter-specific SAP/Oracle/MES transport details remain implementation detail"
WHC-041,Import / export / migration,"Excel; XML; generic Import/Export; LoadFromFile/LoadFileSet; package import; mapping; context mapping; version/iteration records; lifecycle references; participants; security; conflicts; rollback; preservation gaps",DEEP_PASS,"Import/Export supported-object matrix; spreadsheet import; loaders; Packages; windchill-migration-preservation-model.md; windchill-migration-preservation-matrix.csv","Core migration-mechanism and semantic-preservation matrix closed: multiple version records are distinct from version/lifecycle/change history; source context may be remapped; identity/security/admin prerequisites require separate migration waves; product-specific extraction/cutover implementation remains"
WHC-042,System operations,"background queues; queue entries/groups; background Method Servers; master/replica/cache vaults; vaulting rules; replication/caching; publication queues; JMX/MBeans; backup/recovery",DEEP_PASS,"windchill-system-operations-model.md; windchill-system-operations-matrix.csv","Core operational execution/storage/locality/control-plane/recovery semantics mapped; product-specific tuning and deployment topology remain implementation concerns"
WHC-043,Customization framework,"modelled business objects; business logic; UI/actions; extension points",PENDING,"Basic/Advanced Customization","Will examine after canonical product semantics"
WHC-044,Construction commissioning / test packs,"ITP; test execution; punch/snag; system completion; commissioning; turnover; handover",GAP,"No first-class Windchill 12.0.2 object family identified","Requires CBE-specific market/standards research; Windchill primitives are insufficient evidence"
WHC-045,Construction commercial / contract administration,"contract instructions; applications; valuation; variations; claims; payment; final account",GAP,"Outside Windchill core scope","Must be benchmarked against construction commercial systems and ERP tools"
WHC-046,Site production / field execution,"daily records; permits; RAMS; inspections; progress quantities; crews; equipment; workfaces",GAP,"Outside Windchill core scope","MPMLink gives useful process/resource patterns but is not construction field execution"
WHC-047,Configurations & physical instances,"Part Configuration; version assignment; occurrence override; Part Instance; serial/lot identity; allocation; incorporation dates; instance configuration specification; as-maintained state",DEEP_PASS,"Configurations and Instances; windchill-part-instance-as-maintained-model.md","Core definition/configuration/physical-instance separation and temporal as-maintained configuration mapped; comprehensive maintenance work-order/failure/inspection semantics are a genuine CBE/EAM gap"
