source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F01.01-PROFESSIONAL,Strategy & Purpose Specialist,professional,JF-F01,F01,F01.01,5,"Vision & Purpose plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F04.02-PROFESSIONAL,Valuation Specialist,professional,JF-F04,F04,F04.02,4,"Valuation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-development role. Retain as a reusable Job Profile candidate with opportunity, valuation, due-diligence, transaction, integration and divestiture evidence separated.",decompose-f04-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F04.03-PROFESSIONAL,Due Diligence Specialist,professional,JF-F04,F04,F04.03,7,"Due Diligence plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-development role. Retain as a reusable Job Profile candidate with opportunity, valuation, due-diligence, transaction, integration and divestiture evidence separated.",decompose-f04-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F04.04-PROFESSIONAL,Transaction Manager,professional,JF-F04,F04,F04.04,5,"Transaction Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-development role. Retain as a reusable Job Profile candidate with opportunity, valuation, due-diligence, transaction, integration and divestiture evidence separated.",decompose-f04-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F04.05-PROFESSIONAL,Integration Specialist,professional,JF-F04,F04,F04.05,4,"Integration plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-development role. Retain as a reusable Job Profile candidate with opportunity, valuation, due-diligence, transaction, integration and divestiture evidence separated.",decompose-f04-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F04.06-PROFESSIONAL,Divestiture Specialist,professional,JF-F04,F04,F04.06,5,"Divestiture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-development role. Retain as a reusable Job Profile candidate with opportunity, valuation, due-diligence, transaction, integration and divestiture evidence separated.",decompose-f04-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F04.07-PROFESSIONAL,Strategic Partnerships Specialist,professional,JF-F04,F04,F04.07,5,"Strategic Partnerships plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-development role. Retain as a reusable Job Profile candidate with opportunity, valuation, due-diligence, transaction, integration and divestiture evidence separated.",decompose-f04-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.01-PROFESSIONAL,Portfolio Strategy Specialist,professional,JF-F05,F05,F05.01,5,"Portfolio Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.02-PROFESSIONAL,Customer & Market Insights Specialist,professional,JF-F05,F05,F05.02,4,"Market / Customer Needs plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.03-PROFESSIONAL,Product Innovation Specialist,professional,JF-F05,F05,F05.03,5,"Product / Service Ideation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.04-PROFESSIONAL,Business Case Development Specialist,professional,JF-F05,F05,F05.04,5,"Business Case Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.05-PROFESSIONAL,Product / Service Designer,professional,JF-F05,F05,F05.05,5,"Product / Service Design plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.06-PROFESSIONAL,Development Specialist,professional,JF-F05,F05,F05.06,4,"Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.07-PROFESSIONAL,Launch Manager,professional,JF-F05,F05,F05.07,5,"Launch Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.08-PROFESSIONAL,Lifecycle Manager,professional,JF-F05,F05,F05.08,4,"Lifecycle Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.09-PROFESSIONAL,Product Retirement Specialist,professional,JF-F05,F05,F05.09,5,"Product Retirement plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F05.10-PROFESSIONAL,Innovation Manager,professional,JF-F05,F05,F05.10,4,"Innovation Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable product/service/innovation role. Retain as a reusable Job Profile candidate across portfolio, insight, innovation, business case, design, development, launch, lifecycle and retirement.",decompose-f05-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.01-PROFESSIONAL,Market Intelligence Specialist,professional,JF-F06,F06,F06.01,4,"Market Intelligence plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.02-PROFESSIONAL,Customer Segmentation Specialist,professional,JF-F06,F06,F06.02,4,"Customer Segmentation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.03-PROFESSIONAL,Brand Manager,professional,JF-F06,F06,F06.03,4,"Brand Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.04-PROFESSIONAL,Marketing Strategy Specialist,professional,JF-F06,F06,F06.04,4,"Marketing Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.05-PROFESSIONAL,Campaign Manager,professional,JF-F06,F06,F06.05,6,"Campaign Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.06-PROFESSIONAL,Digital Marketing Specialist,professional,JF-F06,F06,F06.06,6,"Digital Marketing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.07-PROFESSIONAL,Content Marketing Specialist,professional,JF-F06,F06,F06.07,5,"Content Marketing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.08-PROFESSIONAL,Events Specialist,professional,JF-F06,F06,F06.08,5,"Events plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.09-PROFESSIONAL,Demand Generation Specialist,professional,JF-F06,F06,F06.09,5,"Lead Generation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.10-PROFESSIONAL,Marketing Analyst,professional,JF-F06,F06,F06.10,6,"Marketing Analytics plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F06.11-PROFESSIONAL,Market Communications Specialist,professional,JF-F06,F06,F06.11,4,"Market Communications plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The source title represents a coherent independently employable marketing/brand role. Retain as a reusable Job Profile candidate with campaign/content/event/demand-generation and measurement lifecycles explicit.,decompose-f06-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.01-PROFESSIONAL,Customer Onboarding Specialist,professional,JF-F08,F08,F08.01,5,"Customer Onboarding plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.02-PROFESSIONAL,Customer Enquiry Manager,professional,JF-F08,F08,F08.02,6,"Customer Enquiry Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.03-PROFESSIONAL,Case Manager,professional,JF-F08,F08,F08.03,6,"Case Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.04-PROFESSIONAL,Complaint Manager,professional,JF-F08,F08,F08.04,5,"Complaint Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.05-PROFESSIONAL,Technical Support Specialist,professional,JF-F08,F08,F08.05,5,"Technical Support plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.06-PROFESSIONAL,Returns & Refunds Specialist,professional,JF-F08,F08,F08.06,5,"Returns / Refunds plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.07-PROFESSIONAL,Warranty Specialist,professional,JF-F08,F08,F08.07,4,"Warranty plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.08-PROFESSIONAL,Customer Success Specialist,professional,JF-F08,F08,F08.08,4,"Customer Success plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.10-PROFESSIONAL,Customer Feedback Specialist,professional,JF-F08,F08,F08.10,4,"Customer Feedback plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F08.11-PROFESSIONAL,Customer Knowledge Manager,professional,JF-F08,F08,F08.11,4,"Customer Knowledge plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable customer-experience/service role. Retain as a reusable Job Profile candidate; customer onboarding, enquiry/case/complaint, support, returns, warranty, success, feedback, knowledge and SLA work remain distinct.",decompose-f08-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
