job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,primary_subfunctions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-004,Technical Schedule,CONNECTED,Deliver,Project|System|Work Package,F26,F26.05,Information Container: Technical Schedule,Connected Authoring Adapter,design|product data|requirements,Procurement / construction,Controlled schedule revision and source references,candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-005,Detail / Interface Coordination Issue,NATIVE,Deliver,Project|Information Container|Location,F26|F27,F26.05|F27.06,Coordination Issue,Viewer Workspace,drawings|models|interfaces,Design response / closure,"Marked subject, owner, due date and disposition",candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-006,Technical Information Issue / Transmittal,NATIVE,Deliver,Project|Information Container|Party,F26,F26.05,Information Issue / Transmittal,Object Workspace,approved information|recipient|purpose,Construction / review,"Exact revisions, recipients and issue purpose",candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-007,RFI / Technical Query Response,NATIVE,Deliver,Project|RFI|Information Container,F26|F27,F26.05|F27.06,RFI / Technical Query,Viewer Workspace,query|design information|site context,Construction decision,"Question, response authority and linked revision",candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-008,Drawing / Schedule Revision Record,NATIVE,Deliver,Information Container|Change,F26|F27,F26.05|F27.07,Revision / Change Record,Enterprise Change Workspace,change request|review comments|issue history,New controlled revision,"Change basis, affected items and supersession",candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-009,Construction Information Package,ASSISTED,Deliver,Project|Work Package|Stage,F26|F27,F26.05|F27.06,Information Package,Assisted Report Generator,drawings|details|schedules|specifications,Site delivery,Completeness manifest and exact issued revisions,candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-010,As-Built / Handover Information Package,ASSISTED,Deliver,Project|Asset|Property,F22|F26|F27,F22.06|F26.06|F27.08,Handover Package,Assisted Report Generator,approved as-built revisions|changes|site evidence,Operations / asset information,"Accepted manifest, revision and stewardship transfer",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-001,Technical Design Strategy,NATIVE,Deliver,Project|Stage,F27|F26,F27.04|F26.05,Design Strategy / Plan,Object Workspace,brief|regulatory basis|design intent,Technical design delivery,"Approved scope, assumptions and responsibilities",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-002,Design Compliance Matrix,NATIVE,Deliver,Project|Requirement|Information Container,F20|F26,F20.02|F26.05,Requirement / Compliance Matrix,Enterprise Grid,regulations|standards|client requirements,Design review / approval,"Requirement source, evidence and disposition",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-003,Technical Drawing / Model,CONNECTED,Deliver,Project|Stage|System,F26,F26.05,Information Container: Drawing / Model,Connected Authoring Adapter,survey|design strategy|requirements,Coordination / construction,"Revision, authoring provenance and checker",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-004,Technical Specification,CONNECTED,Deliver,Project|Work Package|System,F26,F26.05,Information Container: Specification,Connected Authoring Adapter,design|standards|product requirements,Procurement / construction,"Clause revision, approval and issue evidence",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-005,Technical Schedule / Product Schedule,CONNECTED,Deliver,Project|System|Work Package,F26,F26.05,Information Container: Technical Schedule,Connected Authoring Adapter,design|product data|classification,Procurement / construction,Controlled revision and linked design basis,candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-006,Design Decision Record,NATIVE,Deliver,Project|Stage|Decision,F20|F27,F20.03|F27.04,Decision,Decision Workspace,options|criteria|coordination inputs,Approved design basis,"Decision authority, rationale and subject revision",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-007,Design Review / Coordination Record,NATIVE,Deliver,Project|Information Container,F26|F27,F26.05|F27.06,Design Review / Coordination Issue,Viewer Workspace,model|drawing|specification|requirements,Revision / response,"Reviewer, exact revision and disposition",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-008,Technical Change Assessment,NATIVE,Deliver,Project|Change|Information Container,F27|F26,F27.07|F26.05,Design Change,Enterprise Change Workspace,change request|affected information|cost/time input,Approved revision / implementation,"Impact, decision and implementation evidence",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-009,Site Technical Review / Inspection,NATIVE,Deliver,Site|Location|Information Container,F13|F27,F13.04|F27.06,Inspection / Site Review,Field/Mobile composition,issued design|installed work,Defect / clarification / acceptance,"Photos, observations and linked design revision",candidate-revalidation
JOB-ATECH,Architectural Technologist,5,Architecture & Design,,gap-no-direct-job-profile,WP-ATECH-010,Technical Handover Information,ASSISTED,Deliver,Project|Asset|Property,F22|F26|F27,F22.06|F26.06|F27.08,Handover Package,Assisted Report Generator,as-built information|specifications|certificates,Operations / asset stewardship,Completeness matrix and accepted exact revisions,candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-001,Technical Survey / Site Record,NATIVE,Deliver,Property|Project|Location,F22|F26,F22.06|F26.05,Survey Record,Field/Mobile composition,instruction|existing information,Drawing / technical advice,"Measurements, photos, date and attribution",candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-002,Technical Drawing / Sketch,CONNECTED,Deliver,Project|Property|Information Container,F26,F26.05,Information Container: Drawing,Connected Authoring Adapter,survey|requirements|design basis,Coordination / construction,Revision and authoring provenance,candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-003,Building Component / Room Schedule,NATIVE,Deliver,Property|System|Location,F22|F26,F22.06|F26.05,Component / Room Schedule,Enterprise Grid,survey|drawing|asset data,Works / maintenance / procurement,"Item identity, location and status",candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-004,Technical Specification / Scope,ASSISTED,Deliver,Project|Work Package|Property,F26|F27,F26.05|F27.04,Scope / Specification,Assisted Report Generator,survey|requirements|design decisions,Procurement / works,"Controlled scope, revision and approval",candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-005,Technical Query / RFI Record,NATIVE,Deliver,Project|Site|Information Container,F26|F27,F26.05|F27.06,RFI / Technical Query,Viewer Workspace,site query|drawing|specification,Design response,"Question, subject revision and response",candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-006,Building Inspection Record,NATIVE,Deliver,Property|Location|Project,F13|F22,F13.04|F22.09,Inspection,Field/Mobile composition,inspection criteria|scope,Defect / maintenance / acceptance,"Criteria, observations, photos and inspector",candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-007,Defect / Snag Record,NATIVE,Deliver,Property|Location|Work Package,F13|F22,F13.05|F22.08,Defect / Finding,Field/Mobile composition,inspection|site observation,Remedial work / verification,"Location, evidence, responsibility and closure",candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-008,Technical Change / Revision Record,NATIVE,Deliver,Project|Change|Information Container,F27|F26,F27.07|F26.05,Change / Revision,Enterprise Change Workspace,instruction|defect|design update,Controlled revision / work instruction,"Impact, approval and supersession history",candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-009,Progress / Site Technical Report,ASSISTED,Deliver,Project|Property|Period,F27,F27.06,Controlled Reporting Snapshot,Assisted Report Generator,inspections|queries|defects|progress,Project review,Period-locked source evidence,candidate-revalidation
JOB-BT,Building Technician,11,Engineering & Technical Design,,gap-no-direct-job-profile,WP-BT-010,As-Built / Completion Record,ASSISTED,Deliver,Project|Property|Asset,F22|F26|F27,F22.06|F26.06|F27.08,Completion / Handover Package,Assisted Report Generator,final drawings|defects|inspections|certificates,Operations / asset record,Accepted completeness evidence,candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-001,Mapping Requirement / Specification,NATIVE,Enterprise Data,Area|Project|Dataset,F26,F26.05,Information Requirement / Mapping Specification,Object Workspace,business need|scale|coordinate system|standards,Data acquisition / map production,"Approved purpose, extent, accuracy and symbology",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-002,Source Dataset Register,NATIVE,Enterprise Data,Dataset|Area|Supplier,F26,F26.05,Dataset / Source Register,Enterprise Grid,internal data|external data|licence,Map / layer production,"Source, licence, date, CRS and provenance",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-003,Geospatial Layer / Dataset,CONNECTED,Enterprise Data,Area|Dataset|Feature,F26,F26.05,Information Container: Spatial Dataset,Connected Authoring Adapter,source data|survey|reference systems,Map / analysis / downstream GIS,"Dataset version, CRS, lineage and editor",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-004,Cartographic Map,CONNECTED,Enterprise Data,Area|Project|Information Container,F26,F26.05,Information Container: Map,Connected Authoring Adapter,spatial layers|specification|labels,Planning / design / operations,"Revision, scale, extent and source lineage",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-005,Geospatial Metadata Record,NATIVE,Enterprise Data,Dataset|Information Container,F26,F26.05,Metadata Record,Focused Form,dataset|source|classification,Discovery / reuse / governance,"Owner, CRS, dates, lineage and restrictions",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-006,Spatial Data Quality Check,NATIVE,Enterprise Data,Dataset|Area,F13|F26,F13.04|F26.05,Quality Check / Validation Result,Enterprise Grid,dataset|quality rules,Release / correction,"Rule results, exceptions and reviewer",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-007,Map / Dataset Revision Record,NATIVE,Enterprise Data,Dataset|Information Container|Change,F26,F26.05,Revision / Change Record,Enterprise Change Workspace,change request|source update|QA results,New released revision,"Changed features, reason and supersession",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-008,Map Issue / Publication Record,NATIVE,Enterprise Data,Information Container|Audience,F26,F26.05,Information Issue / Publication,Object Workspace,approved map|distribution rules,Consumer use,"Exact revision, audience and issue date",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-009,Spatial Export / Exchange Package,ASSISTED,Enterprise Data,Dataset|External System|Party,F26,F26.05,Data Exchange Package,Assisted Report Generator,approved datasets|mapping rules,External GIS / authority / supplier,"Manifest, schema, CRS and exported revision",candidate-revalidation
JOB-CART,Cartographer,15,"Geospatial, Planning & Transport",,gap-no-direct-job-profile,WP-CART-010,Cartographic Archive / Handover,ASSISTED,Enterprise Data,Dataset|Archive|Project,F26,F26.06,Handover / Archive Package,Assisted Report Generator,final maps|datasets|metadata|licences,Records / future reuse,"Completeness, retention and provenance manifest",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-001,Survey / Existing Data Package,NATIVE,Deliver,Project|Site|Dataset,F22|F26,F22.06|F26.05,Survey Dataset / Information Container,Enterprise Grid|Map Workspace,survey|utility data|existing records,Civil design,"Source, date, CRS and validation evidence",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-002,Civil Drawing / Model,CONNECTED,Deliver,Project|Stage|System,F26,F26.05,Information Container: Drawing / Model,Connected Authoring Adapter,survey|design criteria|engineer instruction,Coordination / construction,"Revision, author, checker and issue status",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-003,Civil Calculation Support Record,CONNECTED,Deliver,Project|System|Calculation,F26,F26.05,Information Container: Calculation,Connected Authoring Adapter,design inputs|standards|engineer assumptions,Design check / drawing,"Exact inputs, revision and checker evidence",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-004,Civil Technical Schedule,CONNECTED,Deliver,Project|System|Work Package,F26,F26.05,Information Container: Technical Schedule,Connected Authoring Adapter,design|quantities|product data,Procurement / construction,Controlled revision and links to design,candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-005,Design Coordination / Clash Issue,NATIVE,Deliver,Project|Model|Location,F26|F27,F26.05|F27.06,Coordination Issue,Viewer Workspace,model|drawing|interfaces,Design response / closure,"Exact model revision, owner and disposition",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-006,RFI / Technical Query Response,NATIVE,Deliver,Project|Site|Information Container,F26|F27,F26.05|F27.06,RFI / Technical Query,Viewer Workspace,site query|design info|engineer response,Construction,"Question, response and authority",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-007,Site Measurement / Progress Record,NATIVE,Deliver,Site|Location|Work Package,F27,F27.06,Progress / Measurement Record,Field/Mobile composition,issued design|work completed,Progress / valuation / as-built,"Dated quantities, location and evidence",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-008,Civil Inspection Record,NATIVE,Deliver,Site|Location|Work Package,F13|F27,F13.04|F27.06,Inspection,Field/Mobile composition,ITP|design|installed work,Defect / acceptance,"Criteria, measurements, photos and inspector",candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-009,As-Built Survey / Drawing,CONNECTED,Deliver,Project|Site|Asset,F22|F26,F22.06|F26.05,Information Container: As-Built / Survey Dataset,Connected Authoring Adapter,site measurements|changes|final works,Handover / asset record,Survey provenance and final revision,candidate-revalidation
JOB-CET,Civil Engineering Technician,19,Engineering & Technical Design,,gap-no-direct-job-profile,WP-CET-010,Civil Technical Handover Package,ASSISTED,Deliver,Project|Asset|System,F22|F26|F27,F22.06|F26.06|F27.08,Handover Package,Assisted Report Generator,as-built info|tests|inspections|open items,Operations / asset management,Accepted completeness matrix,candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-001,Energy Assessment Instruction / Scope,NATIVE,Operate,Property|Party|Assessment,F22|F23,F22.06|F23.10,Assessment Instruction,Object Workspace,client instruction|property identity|assessment purpose,Survey / data collection,"Scope, property, assessor and dates",candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-002,Commercial Property Energy Data Capture,NATIVE,Operate,Property|Space|System,F22|F23,F22.06|F23.10,Energy Assessment Dataset,Field/Mobile composition,plans|asset data|site survey,Energy model,"Measured facts, sources, photos and attribution",candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-003,Assessment Evidence Pack,NATIVE,Operate,Property|Assessment|Information Container,F22|F26,F22.06|F26.05,Evidence Package,Object Workspace,site data|documents|photos|system records,Calculation / audit,Source manifest and retained evidence,candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-004,Commercial Energy Model / Calculation,CONNECTED,Operate,Property|Assessment|System,F23|F26,F23.10|F26.05,Information Container: Energy Model / Calculation,Connected Authoring Adapter,assessment dataset|approved methodology,Rating / recommendations,"Model version, inputs and methodology",candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-005,Energy Performance Rating Record,NATIVE,Operate,Property|Assessment|Period,F23,F23.10,Carbon / Sustainability Assessment,Calculation Workbench,energy model|methodology,Certificate / reporting,"Calculated values, method and assessor",candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-006,Energy Improvement Recommendation,NATIVE,Operate,Property|System|Assessment,F22|F23,F22.01|F23.10,Improvement Measure / Recommendation,Enterprise Grid,rating|system data|cost/feasibility inputs,Asset plan / client action,"Measure basis, assumptions and expected effect",candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-007,Assessment QA / Review Record,NATIVE,Operate,Assessment|Property,F13|F23,F13.04|F23.10,Quality Review,Object Workspace,dataset|model|evidence|rating,Issue / correction,"Reviewer, checks and exceptions",candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-008,Energy Certificate / Formal Output,ASSISTED,Operate,Property|Assessment|Authority,F23|F26,F23.10|F26.05,Certificate / Information Container,Assisted Report Generator,approved assessment|rating|evidence,Client / statutory register,Signer/assessor identity and immutable issued output,candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-009,Assessment Correction / Supersession,NATIVE,Operate,Assessment|Property|Change,F23|F26,F23.10|F26.05,Assessment Revision / Correction,Enterprise Change Workspace,QA finding|new evidence|error,Revised rating / certificate,"Reason, changed inputs and supersession history",candidate-revalidation
JOB-CEA,Commercial Energy Assessor,20,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-CEA-010,Lodgement / Audit Record,NATIVE,Operate,Assessment|Authority|Property,F20|F23,F20.10|F23.10,Regulatory Submission / Audit Evidence,Object Workspace,issued assessment|certificate|evidence,Authority / audit,"Submission ID, date, response and source manifest",candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-001,Dwelling Assessment Instruction,NATIVE,Operate,Property|Dwelling|Party,F22|F23,F22.06|F23.10,Assessment Instruction,Object Workspace,client instruction|dwelling identity,Site survey,"Scope, assessor and appointment evidence",candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-002,Dwelling Data Survey Record,NATIVE,Operate,Dwelling|Space|System,F22|F23,F22.06|F23.10,Energy Assessment Dataset,Field/Mobile composition,site survey|plans|occupancy-independent facts,Energy calculation,"Measurements, photos and source evidence",candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-003,Dwelling Evidence Pack,NATIVE,Operate,Dwelling|Assessment,F22|F26,F22.06|F26.05,Evidence Package,Object Workspace,survey|documents|photos,Calculation / audit,Evidence manifest and provenance,candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-004,Domestic Energy Calculation,CONNECTED,Operate,Dwelling|Assessment,F23|F26,F23.10|F26.05,Information Container: Energy Calculation,Connected Authoring Adapter,dwelling dataset|approved methodology,Rating / recommendations,"Input set, method, software/version and assessor",candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-005,Energy Performance Rating Record,NATIVE,Operate,Dwelling|Assessment|Period,F23,F23.10,Carbon / Sustainability Assessment,Calculation Workbench,calculation|methodology,Certificate / advice,Rating values and calculation provenance,candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-006,Energy Improvement Measures,NATIVE,Operate,Dwelling|System,F22|F23,F22.01|F23.10,Improvement Recommendation,Enterprise Grid,rating|building fabric|systems,Owner / retrofit planning,Measure assumptions and indicative effect,candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-007,Assessment QA / Exception Record,NATIVE,Operate,Assessment|Dwelling,F13|F23,F13.04|F23.10,Quality Review / Exception,Object Workspace,survey|calculation|evidence,Correction / approval,"Checks, exceptions and reviewer",candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-008,Domestic Energy Certificate,ASSISTED,Operate,Dwelling|Assessment|Authority,F23|F26,F23.10|F26.05,Certificate / Information Container,Assisted Report Generator,approved rating|recommendations,Client / statutory register,Immutable issued output and assessor identity,candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-009,Assessment Revision / Supersession,NATIVE,Operate,Assessment|Dwelling|Change,F23|F26,F23.10|F26.05,Assessment Revision,Enterprise Change Workspace,new evidence|correction|QA finding,Revised certificate,"Reason, changed facts and supersession history",candidate-revalidation
JOB-DEA,Domestic Energy Assessor,30,Energy & Building Performance,JP-F23.10-PROFESSIONAL,candidate-adjacent-profile,WP-DEA-010,Lodgement / Audit Evidence,NATIVE,Operate,Assessment|Authority|Dwelling,F20|F23,F20.10|F23.10,Regulatory Submission / Audit Evidence,Object Workspace,issued certificate|evidence|assessor,Authority / audit,"Lodgement reference, response and retained evidence",candidate-revalidation
JOB-ECT,Engineering Construction Technician,33,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ECT-001,Engineering Work Pack,ASSISTED,Deliver,Project|Work Package|System,F27|F26,F27.06|F26.05,Work Package / Information Package,Assisted Report Generator,scope|drawings|method|materials,Installation / fabrication,Approved scope and exact information revisions,candidate-revalidation
