employment_job_id,job_title,catalogue_source,source_job_profile_ids,source_reconciliation_states,source_titles,wave_archetype_ids,external_career_indexes,domain,function_ids,job_level,work_product_state,activity_mapping_state,canonical_mapping_state,job_workbench_state,acceptance_state,notes,explicit_work_product_count
EJOB-F16.04-PROFESSIONAL,Application Manager,source-reconciled,JP-F16.04-PROFESSIONAL,reconciled-retain-employment-profile,Application Manager,,,,F16,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,6
EJOB-F18.11-PROFESSIONAL,Application Security Engineer,source-reconciled,JP-F18.11-PROFESSIONAL,reconciled-retain-employment-profile,Application Security Engineer,,,,F18,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,4
EJOB-ARCH,Architect,wave-archetype,,,,JOB-ARCH,3,Architecture & Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-AT,Architectural Technician,wave-archetype,,,,JOB-AT,4,Architecture & Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-ATECH,Architectural Technologist,wave-archetype,,,,JOB-ATECH,5,Architecture & Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F22.03-PROFESSIONAL,Asset Acquisition Specialist,source-reconciled,JP-F22.03-PROFESSIONAL,reconciled-retain-employment-profile,Asset Acquisition Specialist,,,,F22,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,5
EJOB-F22.14-PROFESSIONAL,Asset Disposal Specialist,source-reconciled,JP-F22.14-PROFESSIONAL,reconciled-retain-and-compose,Asset Disposal Specialist,,,,F22,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,4
EJOB-F22.06-PROFESSIONAL,Asset Information Manager,source-reconciled,JP-F22.06-PROFESSIONAL,reconciled-retain-and-compose,Asset Information Manager,,,,F22,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,2
EJOB-AM,Asset Manager,wave-archetype,JP-F22.01-PROFESSIONAL|JP-F22.06-PROFESSIONAL|JP-F22.14-PROFESSIONAL,,,JOB-AM,,"Property, Facilities & Physical Assets",,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job composes or references source Functional Roles but remains a distinct employment job.,candidate-count-in-wave-register
EJOB-F22.01-PROFESSIONAL,Asset Strategy Manager,source-reconciled,JP-F22.01-PROFESSIONAL,reconciled-retain-and-compose,Asset Strategy Manager,,,,F22,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,2
EJOB-F20.16-PROFESSIONAL,Assurance Manager,source-reconciled,JP-F20.16-PROFESSIONAL,reconciled-retain-employment-profile,Assurance Manager,,,,F20,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,3
EJOB-F03.05-PROFESSIONAL,Benchmarking Specialist,source-reconciled,JP-F03.05-PROFESSIONAL,reconciled-retain-employment-profile,Benchmarking Specialist,,,,F03,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-BENEFITS-REALISATION-MANAGER,Benefits Realisation Manager,source-reconciled,JP-F03.06-PROFESSIONAL|JP-F28.08-PROFESSIONAL,reconciled-compose-into-benefits-realisation,Benefits Realisation Specialist|Benefits Realisation Manager,,,,F03|F28,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F15.12-PROFESSIONAL,Benefits Specialist,source-reconciled,JP-F15.12-PROFESSIONAL,reconciled-retain-employment-profile,Benefits Specialist,,,,F15,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,3
EJOB-F17.09-PROFESSIONAL,BI Developer,source-reconciled,JP-F17.09-PROFESSIONAL,reconciled-retain-employment-profile,BI Developer,,,,F17,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,5
EJOB-F07.07-PROFESSIONAL,Bid & Proposal Manager,source-reconciled,JP-F07.07-PROFESSIONAL,reconciled-retain-employment-profile,Bid & Proposal Manager,,,,F07,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F02.01-PROFESSIONAL,Board Governance Manager,source-reconciled,JP-F02.01-PROFESSIONAL,reconciled-retain-employment-profile,Board Governance Manager,,,,F02,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F06.03-PROFESSIONAL,Brand Manager,source-reconciled,JP-F06.03-PROFESSIONAL,reconciled-retain-employment-profile,Brand Manager,,,,F06,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-BRK,Bricklayer,wave-archetype,,,,JOB-BRK,6,Building Trades,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F14.02-PROFESSIONAL,Budgeting Specialist,source-reconciled,JP-F14.02-PROFESSIONAL,reconciled-retain-employment-profile,Budgeting Specialist,,,,F14,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-MERCH,Builders' Merchant,wave-archetype,,,,JOB-MERCH,7,Supply Chain & Manufacturing,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-BCO,Building Control Officer,wave-archetype,,,,JOB-BCO,8,"Regulation, Inspection & Compliance",,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-BSE,Building Services Engineer,wave-archetype,,,,JOB-BSE,9,Engineering & Technical Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-BS,Building Surveyor,wave-archetype,,,,JOB-BS,10,"Surveying, Property & Land",,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-BT,Building Technician,wave-archetype,,,,JOB-BT,11,Engineering & Technical Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F05.04-PROFESSIONAL,Business Case Development Specialist,source-reconciled,JP-F05.04-PROFESSIONAL,reconciled-retain-employment-profile,Business Case Development Specialist,,,,F05,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F24.02-PROFESSIONAL,Business Continuity Analyst,source-reconciled,JP-F24.02-PROFESSIONAL,reconciled-retain-employment-profile,Business Continuity Analyst,,,,F24,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,2
EJOB-F24.04-PROFESSIONAL,Business Continuity Exercise Specialist,source-reconciled,JP-F24.04-PROFESSIONAL,reconciled-retain-employment-profile,Business Continuity Exercise Specialist,,,,F24,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,4
EJOB-F24.01-PROFESSIONAL,Business Continuity Manager,source-reconciled,JP-F24.01-PROFESSIONAL,reconciled-retain-employment-profile,Business Continuity Manager,,,,F24,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,2
EJOB-F24.03-PROFESSIONAL,Business Continuity Planner,source-reconciled,JP-F24.03-PROFESSIONAL,reconciled-retain-employment-profile,Business Continuity Planner,,,,F24,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,3
EJOB-F07.03-PROFESSIONAL,Business Development Manager,source-reconciled,JP-F07.03-PROFESSIONAL,reconciled-retain-employment-profile,Business Development Manager,,,,F07,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F01.04-PROFESSIONAL,Business Planning Manager,source-reconciled,JP-F01.04-PROFESSIONAL,reconciled-retain-employment-profile,Business Planning Manager,,,,F01,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-BUSINESS-PROCESS-ANALYST,Business Process Analyst,source-reconciled,JP-F29.03-PROFESSIONAL|JP-F29.04-PROFESSIONAL,reconciled-compose-into-business-process-analyst,Business Process Analyst,,,,F29,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-F29.01-PROFESSIONAL,Business Process Architect,source-reconciled,JP-F29.01-PROFESSIONAL,reconciled-retain-employment-profile,Business Process Architect,,,,F29,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,3
EJOB-F09.09-PROFESSIONAL,Buyer,source-reconciled,JP-F09.09-PROFESSIONAL,reconciled-retain-employment-profile,Buyer,,,,F09,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F06.05-PROFESSIONAL,Campaign Manager,source-reconciled,JP-F06.05-PROFESSIONAL,reconciled-retain-employment-profile,Campaign Manager,,,,F06,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F13.06-PROFESSIONAL,CAPA Specialist,source-reconciled,JP-F13.06-PROFESSIONAL,reconciled-retain-employment-profile,CAPA Specialist,,,,F13,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-F11.09-PROFESSIONAL,Capacity Manager,source-reconciled,JP-F11.09-PROFESSIONAL,reconciled-retain-employment-profile,Capacity Manager,,,,F11,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-F14.22-PROFESSIONAL,Capital Investment Analyst,source-reconciled,JP-F14.22-PROFESSIONAL,reconciled-retain-employment-profile,Capital Investment Analyst,,,,F14,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F22.02-PROFESSIONAL,Capital Planning Manager,source-reconciled,JP-F22.02-PROFESSIONAL,reconciled-retain-and-compose,Capital Planning Manager,,,,F22,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,3
EJOB-F23.09-PROFESSIONAL,Carbon Manager,source-reconciled,JP-F23.09-PROFESSIONAL,reconciled-retain-employment-profile,Carbon Manager,,,,F23,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,4
EJOB-CARE,Caretaker,wave-archetype,,,,JOB-CARE,12,"Facilities, Property & Asset Operations",,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-CARP,Carpenter,wave-archetype,,,,JOB-CARP,13,Building Trades,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-FLOOR,Carpet Fitter and Floor Layer,wave-archetype,,,,JOB-FLOOR,14,Building Trades,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-CART,Cartographer,wave-archetype,,,,JOB-CART,15,"Geospatial, Planning & Transport",,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F08.03-PROFESSIONAL,Case Manager,source-reconciled,JP-F08.03-PROFESSIONAL,reconciled-retain-employment-profile,Case Manager,,,,F08,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-F09.02-PROFESSIONAL,Category Manager,source-reconciled,JP-F09.02-PROFESSIONAL,reconciled-retain-employment-profile,Category Manager,,,,F09,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-CAV,Cavity Insulation Installer,wave-archetype,,,,JOB-CAV,16,Energy & Building Performance,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-CEIL,Ceiling Fixer,wave-archetype,,,,JOB-CEIL,17,Building Trades,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F28.02-PROFESSIONAL,Change Analyst,source-reconciled,JP-F28.02-PROFESSIONAL,reconciled-retain-employment-profile,Change Analyst,,,,F28,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,1
EJOB-F28.04-PROFESSIONAL,Change Communications Manager,source-reconciled,JP-F28.04-PROFESSIONAL,reconciled-retain-employment-profile,Change Communications Manager,,,,F28,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,3
EJOB-F28.05-PROFESSIONAL,Change Readiness & Training Lead,source-reconciled,JP-F28.05-PROFESSIONAL,reconciled-retain-employment-profile,Change Readiness & Training Lead,,,,F28,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-F28.03-PROFESSIONAL,Change Stakeholder Manager,source-reconciled,JP-F28.03-PROFESSIONAL,reconciled-retain-employment-profile,Change Stakeholder Manager,,,,F28,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,3
EJOB-F07.10-PROFESSIONAL,Channel / Partner Sales Specialist,source-reconciled,JP-F07.10-PROFESSIONAL,reconciled-retain-employment-profile,Channel / Partner Sales Specialist,,,,F07,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-CE,Civil Engineer,wave-archetype,,,,JOB-CE,18,Engineering & Technical Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-CET,Civil Engineering Technician,wave-archetype,,,,JOB-CET,19,Engineering & Technical Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F16.08-PROFESSIONAL,Cloud Engineer,source-reconciled,JP-F16.08-PROFESSIONAL,reconciled-retain-employment-profile,Cloud Engineer,,,,F16,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,4
EJOB-F14.08-PROFESSIONAL,Collections Specialist,source-reconciled,JP-F14.08-PROFESSIONAL,reconciled-retain-employment-profile,Collections Specialist,,,,F14,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F19.02-PROFESSIONAL,Commercial Contracts Counsel,source-reconciled,JP-F19.02-PROFESSIONAL,reconciled-retain-and-compose,Commercial Contracts Counsel,,,,F19,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,5
EJOB-CEA,Commercial Energy Assessor,wave-archetype,JP-F23.10-PROFESSIONAL,,,JOB-CEA,20,Energy & Building Performance,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job composes or references source Functional Roles but remains a distinct employment job.,candidate-count-in-wave-register
EJOB-F14.21-PROFESSIONAL,Commercial Finance Analyst,source-reconciled,JP-F14.21-PROFESSIONAL,reconciled-retain-employment-profile,Commercial Finance Analyst,,,,F14,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,3
EJOB-F02.05-PROFESSIONAL,Committee Governance Specialist,source-reconciled,JP-F02.05-PROFESSIONAL,reconciled-retain-employment-profile,Committee Governance Specialist,,,,F02,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 5 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-F25.11-PROFESSIONAL,Community Relations Manager,source-reconciled,JP-F25.11-PROFESSIONAL,reconciled-retain-employment-profile,Community Relations Manager,,,,F25,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,3
EJOB-F19.05-PROFESSIONAL,Company Secretary,source-reconciled,JP-F19.05-PROFESSIONAL,reconciled-retain-employment-profile,Company Secretary,,,,F19,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 9 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-case/authority/Job Workbench acceptance still require validation.,4
EJOB-F15.11-PROFESSIONAL,Compensation Specialist,source-reconciled,JP-F15.11-PROFESSIONAL,reconciled-retain-employment-profile,Compensation Specialist,,,,F15,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,4
EJOB-F08.04-PROFESSIONAL,Complaint Manager,source-reconciled,JP-F08.04-PROFESSIONAL,reconciled-retain-employment-profile,Complaint Manager,,,,F08,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
