source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F04-FUNCTION-LEAD,Head of Corporate Development,head,JF-F04,F04,F04.01|F04.02|F04.03|F04.04|F04.05|F04.06|F04.07,33,"Corporate Development & M&A strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F04.01-PROFESSIONAL,Opportunity Identification Specialist,professional,JF-F04,F04,F04.01,3,"Opportunity Identification plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F04.02-PROFESSIONAL,Valuation Specialist,professional,JF-F04,F04,F04.02,4,"Valuation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F04.03-PROFESSIONAL,Due Diligence Specialist,professional,JF-F04,F04,F04.03,7,"Due Diligence plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F04.04-PROFESSIONAL,Transaction Manager,professional,JF-F04,F04,F04.04,5,"Transaction Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F04.05-PROFESSIONAL,Integration Specialist,professional,JF-F04,F04,F04.05,4,"Integration plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F04.06-PROFESSIONAL,Divestiture Specialist,professional,JF-F04,F04,F04.06,5,"Divestiture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F04.07-PROFESSIONAL,Strategic Partnerships Specialist,professional,JF-F04,F04,F04.07,5,"Strategic Partnerships plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05-FUNCTION-LEAD,"Head of Product, Service & Innovation",head,JF-F05,F05,F05.01|F05.02|F05.03|F05.04|F05.05|F05.06|F05.07|F05.08|F05.09|F05.10,46,"Product, Service & Innovation Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F05.01-PROFESSIONAL,Portfolio Strategy Specialist,professional,JF-F05,F05,F05.01,5,"Portfolio Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.02-PROFESSIONAL,Customer & Market Insights Specialist,professional,JF-F05,F05,F05.02,4,"Market / Customer Needs plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.03-PROFESSIONAL,Product Innovation Specialist,professional,JF-F05,F05,F05.03,5,"Product / Service Ideation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.04-PROFESSIONAL,Business Case Development Specialist,professional,JF-F05,F05,F05.04,5,"Business Case Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.05-PROFESSIONAL,Product / Service Designer,professional,JF-F05,F05,F05.05,5,"Product / Service Design plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.06-PROFESSIONAL,Development Specialist,professional,JF-F05,F05,F05.06,4,"Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.07-PROFESSIONAL,Launch Manager,professional,JF-F05,F05,F05.07,5,"Launch Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.08-PROFESSIONAL,Lifecycle Manager,professional,JF-F05,F05,F05.08,4,"Lifecycle Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.09-PROFESSIONAL,Product Retirement Specialist,professional,JF-F05,F05,F05.09,5,"Product Retirement plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F05.10-PROFESSIONAL,Innovation Manager,professional,JF-F05,F05,F05.10,4,"Innovation Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06-FUNCTION-LEAD,Head of Marketing & Brand,head,JF-F06,F06,F06.01|F06.02|F06.03|F06.04|F06.05|F06.06|F06.07|F06.08|F06.09|F06.10|F06.11,53,"Marketing & Brand strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F06.01-PROFESSIONAL,Market Intelligence Specialist,professional,JF-F06,F06,F06.01,4,"Market Intelligence plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.02-PROFESSIONAL,Customer Segmentation Specialist,professional,JF-F06,F06,F06.02,4,"Customer Segmentation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.03-PROFESSIONAL,Brand Manager,professional,JF-F06,F06,F06.03,4,"Brand Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.04-PROFESSIONAL,Marketing Strategy Specialist,professional,JF-F06,F06,F06.04,4,"Marketing Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.05-PROFESSIONAL,Campaign Manager,professional,JF-F06,F06,F06.05,6,"Campaign Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.06-PROFESSIONAL,Digital Marketing Specialist,professional,JF-F06,F06,F06.06,6,"Digital Marketing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.07-PROFESSIONAL,Content Marketing Specialist,professional,JF-F06,F06,F06.07,5,"Content Marketing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.08-PROFESSIONAL,Events Specialist,professional,JF-F06,F06,F06.08,5,"Events plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.09-PROFESSIONAL,Demand Generation Specialist,professional,JF-F06,F06,F06.09,5,"Lead Generation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.10-PROFESSIONAL,Marketing Analyst,professional,JF-F06,F06,F06.10,6,"Marketing Analytics plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F06.11-PROFESSIONAL,Market Communications Specialist,professional,JF-F06,F06,F06.11,4,"Market Communications plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07-FUNCTION-LEAD,Head of Sales & Commercial,head,JF-F07,F07,F07.01|F07.02|F07.03|F07.04|F07.05|F07.06|F07.07|F07.08|F07.09|F07.10|F07.11|F07.12|F07.13,66,"Sales & Commercial Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F07.01-PROFESSIONAL,Sales Strategy Specialist,professional,JF-F07,F07,F07.01,6,"Sales Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.02-PROFESSIONAL,Account Manager,professional,JF-F07,F07,F07.02,4,"Account Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.03-PROFESSIONAL,Business Development Manager,professional,JF-F07,F07,F07.03,6,"Opportunity Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.04-PROFESSIONAL,Pipeline Manager,professional,JF-F07,F07,F07.04,4,"Pipeline Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.05-PROFESSIONAL,Pricing Specialist,professional,JF-F07,F07,F07.05,5,"Pricing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.06-PROFESSIONAL,Quotation Specialist,professional,JF-F07,F07,F07.06,5,"Quotation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.07-PROFESSIONAL,Bid & Proposal Manager,professional,JF-F07,F07,F07.07,5,"Proposal / Bid Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.08-PROFESSIONAL,Contract Negotiation Specialist,professional,JF-F07,F07,F07.08,6,"Contract Negotiation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-CCM,Construction Contracts Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F07.09-PROFESSIONAL,Sales Order Manager,professional,JF-F07,F07,F07.09,6,"Sales Order Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.10-PROFESSIONAL,Channel / Partner Sales Specialist,professional,JF-F07,F07,F07.10,5,"Channel / Partner Sales plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.11-PROFESSIONAL,Sales Compensation Specialist,professional,JF-F07,F07,F07.11,4,"Sales Compensation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.12-PROFESSIONAL,Sales Forecasting Specialist,professional,JF-F07,F07,F07.12,4,"Sales Forecasting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F07.13-PROFESSIONAL,Sales Performance Specialist,professional,JF-F07,F07,F07.13,6,"Sales Performance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08-FUNCTION-LEAD,Head of Customer Experience & Success,head,JF-F08,F08,F08.01|F08.02|F08.03|F08.04|F08.05|F08.06|F08.07|F08.08|F08.09|F08.10|F08.11|F08.12,56,"Customer Service, Experience & Success strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F08.01-PROFESSIONAL,Customer Onboarding Specialist,professional,JF-F08,F08,F08.01,5,"Customer Onboarding plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08.02-PROFESSIONAL,Customer Enquiry Manager,professional,JF-F08,F08,F08.02,6,"Customer Enquiry Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08.03-PROFESSIONAL,Case Manager,professional,JF-F08,F08,F08.03,6,"Case Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08.04-PROFESSIONAL,Complaint Manager,professional,JF-F08,F08,F08.04,5,"Complaint Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08.05-PROFESSIONAL,Technical Support Specialist,professional,JF-F08,F08,F08.05,5,"Technical Support plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08.06-PROFESSIONAL,Returns & Refunds Specialist,professional,JF-F08,F08,F08.06,5,"Returns / Refunds plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08.07-PROFESSIONAL,Warranty Specialist,professional,JF-F08,F08,F08.07,4,"Warranty plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
JP-F08.08-PROFESSIONAL,Customer Success Specialist,professional,JF-F08,F08,F08.08,4,"Customer Success plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,candidate-unreconciled-source-profile,No Wave 1-4 employment archetype currently references this function-derived source profile.,assess-retain-compose-or-functional-role-provenance
