source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F12-FUNCTION-LEAD,Head of Service Delivery & Field Operations,head,JF-F12,F12,F12.01|F12.02|F12.03|F12.04|F12.05|F12.06|F12.07|F12.08|F12.09|F12.10,39,"Service Delivery & Field Operations strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F14-FUNCTION-LEAD,Head of Finance,head,JF-F14,F14,F14.01|F14.02|F14.03|F14.04|F14.05|F14.06|F14.07|F14.08|F14.09|F14.10|F14.11|F14.12|F14.13|F14.14|F14.15|F14.16|F14.17|F14.18|F14.19|F14.20|F14.21|F14.22,96,"Finance, Accounting, Treasury & Tax strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F15-FUNCTION-LEAD,Head of Human Resources,head,JF-F15,F15,F15.01|F15.02|F15.03|F15.04|F15.05|F15.06|F15.07|F15.08|F15.09|F15.10|F15.11|F15.12|F15.13|F15.14|F15.15|F15.16|F15.17|F15.18|F15.19|F15.20,88,"Human Resources / Human Capital strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F16-FUNCTION-LEAD,Head of Information Technology,head,JF-F16,F16,F16.01|F16.02|F16.03|F16.04|F16.05|F16.06|F16.07|F16.08|F16.09|F16.10|F16.11|F16.12|F16.13|F16.14|F16.15|F16.16|F16.17|F16.18|F16.19|F16.20|F16.21,95,"Information Technology strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F17-FUNCTION-LEAD,"Head of Data, Analytics & AI",head,JF-F17,F17,F17.01|F17.02|F17.03|F17.04|F17.05|F17.06|F17.07|F17.08|F17.09|F17.10|F17.11|F17.12|F17.13|F17.14|F17.15|F17.16|F17.17,77,"Data, Analytics & AI strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F18-FUNCTION-LEAD,Head of Cybersecurity & Information Security,head,JF-F18,F18,F18.01|F18.02|F18.03|F18.04|F18.05|F18.06|F18.07|F18.08|F18.09|F18.10|F18.11|F18.12|F18.13|F18.14|F18.15,64,"Cybersecurity & Information Security strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F19-FUNCTION-LEAD,Head of Legal & Corporate Secretariat,head,JF-F19,F19,F19.01|F19.02|F19.03|F19.04|F19.05|F19.06|F19.07|F19.08|F19.09|F19.10|F19.11|F19.12,51,"Legal & Corporate Secretariat strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F20-FUNCTION-LEAD,"Head of Risk, Compliance & Assurance",head,JF-F20,F20,F20.01|F20.02|F20.03|F20.04|F20.05|F20.06|F20.07|F20.08|F20.09|F20.10|F20.11|F20.12|F20.13|F20.14|F20.15|F20.16,63,"Risk, Compliance, Internal Control & Audit strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F21-FUNCTION-LEAD,Head of Privacy & Information Governance,head,JF-F21,F21,F21.01|F21.02|F21.03|F21.04|F21.05|F21.06|F21.07|F21.08|F21.09,33,"Privacy & Information Governance strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F22-FUNCTION-LEAD,"Head of Property, Facilities & Physical Assets",head,JF-F22,F22,F22.01|F22.02|F22.03|F22.04|F22.05|F22.06|F22.07|F22.08|F22.09|F22.10|F22.11|F22.12|F22.13|F22.14,57,"Property, Facilities & Physical Assets strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F23-FUNCTION-LEAD,Head of HSE & Sustainability,head,JF-F23,F23,F23.01|F23.02|F23.03|F23.04|F23.05|F23.06|F23.07|F23.08|F23.09|F23.10|F23.11|F23.12|F23.13|F23.14,55,"Health, Safety, Environment & Sustainability strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F24-FUNCTION-LEAD,"Head of Business Continuity, Crisis & Physical Security",head,JF-F24,F24,F24.01|F24.02|F24.03|F24.04|F24.05|F24.06|F24.07|F24.08|F24.09|F24.10|F24.11|F24.12,45,"Business Continuity, Crisis & Physical Security strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F25-FUNCTION-LEAD,"Head of Communications, Public Affairs & Investor Relations",head,JF-F25,F25,F25.01|F25.02|F25.03|F25.04|F25.05|F25.06|F25.07|F25.08|F25.09|F25.10|F25.11|F25.12,44,"Communications, Public Affairs & Investor Relations strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F26-FUNCTION-LEAD,"Head of Knowledge, Document & Records Management",head,JF-F26,F26,F26.01|F26.02|F26.03|F26.04|F26.05|F26.06|F26.07|F26.08|F26.09|F26.10,43,"Knowledge, Document & Records Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F27-FUNCTION-LEAD,"Head of Portfolio, Programme & Project Management",head,JF-F27,F27,F27.01|F27.02|F27.03|F27.04|F27.05|F27.06|F27.07|F27.08|F27.09|F27.10,43,"Portfolio, Programme & Project Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F28-FUNCTION-LEAD,Head of Change & Transformation,head,JF-F28,F28,F28.01|F28.02|F28.03|F28.04|F28.05|F28.06|F28.07|F28.08,29,"Change & Transformation Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F29-FUNCTION-LEAD,Head of Business Process & Continuous Improvement,head,JF-F29,F29,F29.01|F29.02|F29.03|F29.04|F29.05|F29.06|F29.07|F29.08|F29.09|F29.10,39,"Business Process & Continuous Improvement strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
