job_profile_id,source_status,title,job_family_id,level,purpose,function_ids,subfunction_ids,primary_functional_role_ids,secondary_functional_role_ids,source_activity_count,candidate_expected_outputs,work_product_decomposition_state,authoring_mode_state,canonical_mapping_state,job_workbench_state,role_acceptance_state,source_repository,source_profile_path,source_profile_sha,source_role_path,source_role_sha
JP-F02.07-PROFESSIONAL,candidate,Ethics Governance Specialist,JF-F02,professional,"Perform and continuously improve ethics governance work within Corporate Governance, producing controlled, timely and decision-useful outcomes.",F02,F02.07,FR-F02.07,,4,"Ethics Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F03-FUNCTION-LEAD,candidate,Head of Enterprise Performance,JF-F03,head,"Provide accountable leadership for Enterprise Performance Management, establishing direction, governance, resources, controls and performance expectations across the function.",F03,F03.01|F03.02|F03.03|F03.04|F03.05|F03.06,FR-F03.01|FR-F03.02|FR-F03.03|FR-F03.04|FR-F03.05|FR-F03.06,,24,"Enterprise Performance Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F03.01-PROFESSIONAL,candidate,Performance Framework Specialist,JF-F03,professional,"Perform and continuously improve performance framework work within Enterprise Performance Management, producing controlled, timely and decision-useful outcomes.",F03,F03.01,FR-F03.01,,3,"Performance Framework plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F03.02-PROFESSIONAL,candidate,Performance Reporting Specialist,JF-F03,professional,"Perform and continuously improve performance reporting work within Enterprise Performance Management, producing controlled, timely and decision-useful outcomes.",F03,F03.02,FR-F03.02,,4,"Performance Reporting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F03.03-PROFESSIONAL,candidate,Variance Manager,JF-F03,professional,"Perform and continuously improve variance management work within Enterprise Performance Management, producing controlled, timely and decision-useful outcomes.",F03,F03.03,FR-F03.03,,4,"Variance Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F03.04-PROFESSIONAL,candidate,Management Review Specialist,JF-F03,professional,"Perform and continuously improve management review work within Enterprise Performance Management, producing controlled, timely and decision-useful outcomes.",F03,F03.04,FR-F03.04,,4,"Management Review plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F03.05-PROFESSIONAL,candidate,Benchmarking Specialist,JF-F03,professional,"Perform and continuously improve benchmarking work within Enterprise Performance Management, producing controlled, timely and decision-useful outcomes.",F03,F03.05,FR-F03.05,,4,"Benchmarking plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F03.06-PROFESSIONAL,candidate,Benefits Realisation Specialist,JF-F03,professional,"Perform and continuously improve benefits realisation work within Enterprise Performance Management, producing controlled, timely and decision-useful outcomes.",F03,F03.06,FR-F03.06,,5,"Benefits Realisation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04-FUNCTION-LEAD,candidate,Head of Corporate Development,JF-F04,head,"Provide accountable leadership for Corporate Development & M&A, establishing direction, governance, resources, controls and performance expectations across the function.",F04,F04.01|F04.02|F04.03|F04.04|F04.05|F04.06|F04.07,FR-F04.01|FR-F04.02|FR-F04.03|FR-F04.04|FR-F04.05|FR-F04.06|FR-F04.07,,33,"Corporate Development & M&A strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04.01-PROFESSIONAL,candidate,Opportunity Identification Specialist,JF-F04,professional,"Perform and continuously improve opportunity identification work within Corporate Development & M&A, producing controlled, timely and decision-useful outcomes.",F04,F04.01,FR-F04.01,,3,"Opportunity Identification plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04.02-PROFESSIONAL,candidate,Valuation Specialist,JF-F04,professional,"Perform and continuously improve valuation work within Corporate Development & M&A, producing controlled, timely and decision-useful outcomes.",F04,F04.02,FR-F04.02,,4,"Valuation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04.03-PROFESSIONAL,candidate,Due Diligence Specialist,JF-F04,professional,"Perform and continuously improve due diligence work within Corporate Development & M&A, producing controlled, timely and decision-useful outcomes.",F04,F04.03,FR-F04.03,,7,"Due Diligence plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04.04-PROFESSIONAL,candidate,Transaction Manager,JF-F04,professional,"Perform and continuously improve transaction management work within Corporate Development & M&A, producing controlled, timely and decision-useful outcomes.",F04,F04.04,FR-F04.04,,5,"Transaction Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04.05-PROFESSIONAL,candidate,Integration Specialist,JF-F04,professional,"Perform and continuously improve integration work within Corporate Development & M&A, producing controlled, timely and decision-useful outcomes.",F04,F04.05,FR-F04.05,,4,"Integration plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04.06-PROFESSIONAL,candidate,Divestiture Specialist,JF-F04,professional,"Perform and continuously improve divestiture work within Corporate Development & M&A, producing controlled, timely and decision-useful outcomes.",F04,F04.06,FR-F04.06,,5,"Divestiture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F04.07-PROFESSIONAL,candidate,Strategic Partnerships Specialist,JF-F04,professional,"Perform and continuously improve strategic partnerships work within Corporate Development & M&A, producing controlled, timely and decision-useful outcomes.",F04,F04.07,FR-F04.07,,5,"Strategic Partnerships plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05-FUNCTION-LEAD,candidate,"Head of Product, Service & Innovation",JF-F05,head,"Provide accountable leadership for Product, Service & Innovation Management, establishing direction, governance, resources, controls and performance expectations across the function.",F05,F05.01|F05.02|F05.03|F05.04|F05.05|F05.06|F05.07|F05.08|F05.09|F05.10,FR-F05.01|FR-F05.02|FR-F05.03|FR-F05.04|FR-F05.05|FR-F05.06|FR-F05.07|FR-F05.08|FR-F05.09|FR-F05.10,,46,"Product, Service & Innovation Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.01-PROFESSIONAL,candidate,Portfolio Strategy Specialist,JF-F05,professional,"Perform and continuously improve portfolio strategy work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.01,FR-F05.01,,5,"Portfolio Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.02-PROFESSIONAL,candidate,Customer & Market Insights Specialist,JF-F05,professional,"Perform and continuously improve market / customer needs work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.02,FR-F05.02,,4,"Market / Customer Needs plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.03-PROFESSIONAL,candidate,Product Innovation Specialist,JF-F05,professional,"Perform and continuously improve product / service ideation work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.03,FR-F05.03,,5,"Product / Service Ideation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.04-PROFESSIONAL,candidate,Business Case Development Specialist,JF-F05,professional,"Perform and continuously improve business case development work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.04,FR-F05.04,,5,"Business Case Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.05-PROFESSIONAL,candidate,Product / Service Designer,JF-F05,professional,"Perform and continuously improve product / service design work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.05,FR-F05.05,,5,"Product / Service Design plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.06-PROFESSIONAL,candidate,Development Specialist,JF-F05,professional,"Perform and continuously improve development work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.06,FR-F05.06,,4,"Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.07-PROFESSIONAL,candidate,Launch Manager,JF-F05,professional,"Perform and continuously improve launch management work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.07,FR-F05.07,,5,"Launch Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.08-PROFESSIONAL,candidate,Lifecycle Manager,JF-F05,professional,"Perform and continuously improve lifecycle management work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.08,FR-F05.08,,4,"Lifecycle Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F05.09-PROFESSIONAL,candidate,Product Retirement Specialist,JF-F05,professional,"Perform and continuously improve product retirement work within Product, Service & Innovation Management, producing controlled, timely and decision-useful outcomes.",F05,F05.09,FR-F05.09,,5,"Product Retirement plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
