job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-011,Payment Assessment / Certificate,NATIVE,Deliver,Contract|Payment Period,F07|F14,Assessment / Certificate,Enterprise Grid|Form,application|valuation|withholding basis,Finance receivable/payable consequence,Authorised certificate and evidence,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-012,Cost Forecast,NATIVE,Deliver,Project|WBS|Cost Period,F14|F27,Forecast / Project Cost Projection,Enterprise Grid|Calculation Workbench,budget|commitments|actuals|accruals|risk,Enterprise forecast,Versioned forecast with assumptions,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-013,Cost-Value Reconciliation / Cost Report,ASSISTED,Deliver,Project|Contract|Period,F14|F27,Controlled Reporting Snapshot,Calculation Workbench|Assisted Report Generator,budget|cost|value|forecast|cash|risk,Project / enterprise performance review,Period-locked source positions and commentary,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-014,Final Account,NATIVE,Deliver,Contract|Project,F07|F14,Final Account,Enterprise Grid|Object Workspace,valuations|changes|claims|retention|payments,Contract closeout,Agreed/approved final commercial position,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-001,Tender / ITT Review,NATIVE,Deliver,Opportunity|Pursuit|Tender,F07,Enquiry / ITT / Pursuit,Object Workspace|Collection View,client tender information|requirements,Bid / no-bid decision,Reviewed tender requirements and decision basis,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-002,Measurement / Take-off,NATIVE,Deliver,Estimate|Design Information,F07,Take-off / Measurement Item,Enterprise Grid,drawings|models|specification,Estimate,Source-linked quantities,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-003,Resource Build-up,NATIVE,Deliver,Estimate|Item,F07,Resource Build-up,Enterprise Grid|Calculation Workbench,labour|plant|materials|productivity,Estimate line,Traceable productivity and resource assumptions,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-004,Estimate,NATIVE,Deliver,Opportunity|Pursuit|Tender,F07,Estimate / Estimate Version,Enterprise Grid|Structure Browser,take-off|rates|build-ups|risk,Adjudication / proposal,Versioned priced position,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-005,Supplier / Subcontract Enquiry,NATIVE,Deliver,Estimate|Procurement Package,F09,Sourcing Request / RFQ,Collection View|Form,scope|quantities|supplier list,Tender Return,Issue/response evidence,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-006,Tender Return Comparison,NATIVE,Deliver,Sourcing Event,F09,Evaluation / Comparison,Enterprise Grid,supplier/subcontract responses,Estimate / adjudication,Normalised comparison and qualifications,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-007,Tender Adjudication,NATIVE,Deliver,Pursuit|Estimate,F07,Tender Adjudication / Decision,Calculation Workbench|Decision Workspace,estimate|risk|overheads|margin|qualifications,Proposal approval,Approved commercial basis,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-008,Proposal / Tender Submission,ASSISTED,Deliver,Pursuit|Opportunity,F07|F26,Proposal / Information Container,Assisted Report Generator,adjudicated estimate|method|programme|qualifications,Customer submission,Issued controlled submission,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-009,Estimate Revision,NATIVE,Deliver,Estimate,F07,Estimate Version,Enterprise Grid,clarifications|addenda|value engineering,Updated proposal,Immutable version lineage,candidate-revalidation
JOB-EST,Estimator,34,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-EST-010,Tender-to-Delivery Handover,ASSISTED,Deliver,Contract|Project,F07|F27,Handover Pack / Controlled Information,Assisted Report Generator|Object Workspace,final estimate|assumptions|quotes|risk|qualifications,Project/commercial team,Accepted handover evidence,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-001,Project Charter / Initiation Record,NATIVE,Deliver,Project,F27,Project / Project Charter,Form|Object Workspace,business case|contract|objectives,Approved project initiation,Sponsor/authority decision and baseline scope,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-002,Stakeholder / Responsibility Plan,NATIVE,Deliver,Project,F27,Project Participation / Responsibility Assignment,Collection View,party|organisation|roles,Project governance,Effective-dated responsibilities,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-003,Project Management Plan,ASSISTED,Deliver,Project,F27|F26,Information Container / Plan,Assisted Report Generator,scope|governance|controls|subplans,Execution governance,Approved controlled plan,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-004,Work Breakdown Structure,NATIVE,Deliver,Project,F27,WBS Element,Structure Browser,scope|deliverables,Schedule / budget / work packages,Controlled structure changes,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-005,Project Schedule,NATIVE,Deliver,Project|WBS,F27,Schedule / Activity / Milestone,Enterprise Grid|Structure Browser,WBS|dependencies|calendars,Progress / forecast,Baselined and current schedule,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-006,Project Budget,NATIVE,Deliver,Project|WBS|Cost Code,F14|F27,Budget,Enterprise Grid,estimate|funding|cost structure,Cost control,Approved budget baseline,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-007,Resource Plan,NATIVE,Deliver,Project|WBS|Period,F15|F27,Resource Plan / Workforce Allocation,Enterprise Grid,schedule|skills|capacity,Assignments / recruitment / procurement,Capacity and allocation provenance,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-008,Project Risk / Issue / Decision / Action Register,NATIVE,Deliver,Project,F20|F27,Risk / Issue / Decision / Action,Collection View|Split Work Mode,project controls|events,Mitigation / escalation,Attributable decisions and actions,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-009,Project Change Control,NATIVE,Deliver,Project|Contract,F27,Project Change / Commercial Change references,Enterprise Change Workspace,change request|impact,Approved/rejected change,"Impact, authority and implementation evidence",candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-010,Progress / Status Report,ASSISTED,Deliver,Project|Period,F27,Controlled Reporting Snapshot,Assisted Report Generator,schedule|cost|risk|quality|commercial|HSE,Programme / sponsor review,Period-locked source positions,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-011,Project Forecast,NATIVE,Deliver,Project|Period,F14|F27,Forecast,Enterprise Grid|Calculation Workbench,actuals|commitments|schedule|risk,Enterprise forecast,Versioned outlook,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-012,Meeting / Decision Record,NATIVE,Deliver,Project,F02|F27,Meeting / Decision,Object Workspace,agenda|papers|issues,Actions / decisions,Minutes and decision authority,candidate-revalidation
JOB-PM,Project Manager,,"Portfolio, Programme & Project Management",JP-F27.04-PROFESSIONAL|JP-F27.06-PROFESSIONAL|JP-F27.08-PROFESSIONAL,candidate-multi-profile-composition,WP-PM-013,Project Acceptance / Closure Pack,ASSISTED,Deliver,Project,F27|F26,Project Closure / Information Container,Assisted Report Generator,deliverables|financial close|acceptance|lessons,Operations / archive,Formal acceptance and closure evidence,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-001,Construction / Mobilisation Plan,ASSISTED,Deliver,Project|Site,F22|F27,Project Plan / Information Container,Assisted Report Generator,contract|programme|logistics|resources,Site mobilisation,Approved execution plan,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-002,Construction Programme / Look-ahead,NATIVE,Deliver,Project|Site|Work Package,F27,Schedule / Activity,Enterprise Grid,master schedule|constraints|resources,Daily/weekly coordination,Current and baseline programme,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-003,Work Package Plan,NATIVE,Deliver,Project|Work Package,F27,Work Package,Object Workspace|Structure Browser,scope|design|programme|resources,Site execution,Authorised package scope and readiness,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-004,Daily Site Diary,NATIVE,Deliver,Project|Site|Date,F22|F27,Daily Site Diary,Field/Mobile composition,labour|plant|deliveries|progress|weather|events,Progress/commercial/QHSE evidence,Daily attributable evidence envelope,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-005,Labour Allocation,NATIVE,Deliver,Site|Work Package|Shift,F15|F27,Workforce Allocation,Field/Mobile composition|Enterprise Grid,work plan|skills|availability,Execution / time,Worker/work allocation evidence,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-006,Plant Allocation / Utilisation,NATIVE,Deliver,Site|Work Package,F22|F27,Plant / Asset Allocation,Enterprise Grid|Field/Mobile composition,programme|plant availability,Execution / costing,Allocation and utilisation evidence,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-007,Delivery / Material Coordination Record,NATIVE,Deliver,Site|Work Package,F09|F10|F27,Delivery / Receipt / Material Demand,Collection View|Field/Mobile composition,programme|PO|material requirement,Site execution / inventory,Delivery and receipt provenance,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-008,RFI / Technical Query,NATIVE,Deliver,Project|Work Package|Information Context,F26|F27,Information Query,Object Workspace|Form,design information|site condition,Technical response / change,Question/response/closure history,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-009,Inspection Request / Quality Inspection,NATIVE,Deliver,Site|Work Package|Location,F13|F27,Inspection,Field/Mobile composition,ITP|acceptance criteria,Acceptance / defect,Inspection result and evidence,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-010,Permit / Safety Control,NATIVE,Deliver,Site|Activity|Location,F23,Permit-to-work / Risk Control,Field/Mobile composition,RAMS|hazards|competence,Authorised work,Permit authority and closeout,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-011,Progress Record,NATIVE,Deliver,Project|Activity|Work Package,F27,Progress Measurement,Field/Mobile composition|Enterprise Grid,installed work|quantities|activity status,Schedule/commercial forecast,Attributed progress evidence,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-012,Delay / Disruption Record,NATIVE,Deliver,Project|Contract|Activity,F07|F27,Event / Contract Notice / Claim evidence,Form|Object Workspace,diary|programme|instruction|weather,Commercial assessment / claim,Time-stamped cause/effect evidence,candidate-revalidation
JOB-CM,Construction Manager,24,Site Delivery & Construction Management,JP-F22.05-PROFESSIONAL,candidate-partial-match,WP-CM-013,Handover / Completion Evidence,ASSISTED,Deliver,Project|Asset|System,F22|F26|F27,Handover Deliverable / Information Container,Assisted Report Generator|Viewer Workspace,inspection|test|as-built|asset data,Asset operations,Accepted completion package,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-001,Daily Work Allocation,NATIVE,Deliver,Site|Shift|Work Package,F15|F27,Workforce Allocation / Task,Field/Mobile composition,look-ahead|crew|competence,Execution,Assigned work and acknowledgement,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-002,Daily Briefing / Toolbox Talk Record,NATIVE,Deliver,Site|Shift,F23|F26,Briefing / Learning Evidence / Information Container,Field/Mobile composition,RAMS|hazards|work plan,Authorised work,Attendance and briefing evidence,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-003,Site Diary Entry,NATIVE,Deliver,Site|Date,F22|F27,Daily Site Diary,Field/Mobile composition,actual events,Project record,Attributed daily evidence,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-004,Permit Check / Closeout,NATIVE,Deliver,Site|Activity,F23,Permit-to-work,Field/Mobile composition,hazards|controls|authority,Execution,Permit issue/acceptance/closure,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-005,Quality Inspection / Check,NATIVE,Deliver,Location|Work Package,F13,Inspection,Field/Mobile composition,ITP|specification,Accept / defect,Photo/test/check evidence,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-006,Progress Record,NATIVE,Deliver,Activity|Work Package,F27,Progress Measurement,Field/Mobile composition,completed work|quantities,Programme / valuation,Measured progress evidence,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-007,Plant Pre-use / Defect Record,NATIVE,Deliver,Plant|Asset|Shift,F22|F23,Inspection / Defect,Field/Mobile composition,plant assignment|checklist,Release / maintenance work order,Operator/supervisor evidence,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-008,Safety Observation / Incident Record,NATIVE,Deliver,Site|Location,F23,Observation / Incident,Field/Mobile composition,site event,Corrective action,Immediate evidence and escalation,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-009,Material Usage / Delivery Confirmation,NATIVE,Deliver,Site|Work Package,F10,Inventory Movement / Receipt,Field/Mobile composition,delivery|stock|work package,Cost / inventory / progress,Quantity and provenance evidence,candidate-revalidation
JOB-SUP,Construction Site Supervisor,27,Site Delivery & Construction Management,,gap-no-sector-job-profile,WP-SUP-010,Defect / Snag Record,NATIVE,Deliver,Location|Work Package|Asset,F13|F22,Defect,Field/Mobile composition,inspection|observation,Remedial work,Before/after evidence and closure,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-001,Brief Response / Design Requirements,NATIVE,Deliver,Project|Stage,F22|F26|F27,Information Requirement / Design Requirement,Object Workspace|Form,client brief|site|standards,Design option,Traceable requirement coverage,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-002,Design Option / Concept,CONNECTED,Deliver,Project|Stage,F22|F26,Information Container / Model / Drawing,Connected Authoring Adapter|Viewer Workspace,requirements|survey|constraints,Design review / decision,Versioned model/drawing and option decision,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-003,Architectural Drawing,CONNECTED,Deliver,Project|Stage|Location,F26,Information Container: Drawing,Connected Authoring Adapter|Viewer Workspace,design model|requirements,Information issue / construction,Revision/status/issue provenance,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-004,BIM / Design Model,CONNECTED,Deliver,Project|Stage|Spatial Context,F26,Information Container: Model,Connected Authoring Adapter|Viewer Workspace,requirements|geometry|coordination,Coordination / construction / handover,Model revision and issue evidence,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-005,Specification,CONNECTED,Deliver,Project|Stage|Item/System,F26,Information Container: Specification,Connected Authoring Adapter|Object Workspace,design requirements|products|standards,Procurement / construction,Revision/status/issue provenance,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-006,Technical Schedule,NATIVE,Deliver,Project|Stage,F26,Information Container: Technical Schedule,Enterprise Grid,design model|items|rooms/assets,Procurement / construction / handover,Controlled schedule revision,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-007,Design Decision Record,NATIVE,Deliver,Project|Stage,F27,Decision / Design Review,Object Workspace,options|criteria|stakeholder input,Approved design basis,Decision authority and rationale,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-008,Planning / Statutory Submission,ASSISTED,Deliver,Project|Property|Authority,F19|F22|F26,Information Issue / Submission,Assisted Report Generator|Object Workspace,drawings|reports|forms,Consent / conditions,Issued package and response evidence,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-009,Design Review / Coordination Comment,NATIVE,Deliver,Project|Information Container,F26,Design Review / Review Comment / Coordination Issue,Viewer Workspace|Split Work Mode,model|drawing|specification,Revision / response,Comment disposition history,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-010,RFI / Technical Query Response,NATIVE,Deliver,Project|Work Package,F26,Information Query Response,Object Workspace|Viewer Workspace,query|design basis|site condition,Construction / design change,Response authority and version,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-011,Information Issue / Transmittal,NATIVE,Deliver,Project|Recipient,F26,Information Issue / Transmittal,Collection View,approved containers|distribution,Recipient acceptance,Immutable issue manifest,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-012,Site Review / Inspection Record,NATIVE,Deliver,Site|Location|Work Package,F13|F22,Inspection / Information Container,Field/Mobile composition,issued design|site observation,Defect / instruction / acceptance,Photos and attributable observations,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-013,Design Change,NATIVE,Deliver,Project|Information Context,F26|F27,Design Change,Enterprise Change Workspace,review comment|RFI|client change,Revised information / commercial change,Impact and decision evidence,candidate-revalidation
JOB-ARCH,Architect,3,Architecture & Design,,gap-no-sector-job-profile,WP-ARCH-014,Handover / As-built Information,CONNECTED,Deliver,Project|Asset|System,F22|F26,Handover Deliverable / Information Container,Connected Authoring Adapter|Viewer Workspace,as-built model|drawings|specs|asset data,Asset operations,Accepted handover revision and provenance,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-001,Design Basis / Requirements,NATIVE,Deliver,Project|System|Stage,F22|F26,Engineering Requirement / Information Container,Object Workspace,client requirements|loads|standards,Design calculations,Requirements and assumptions,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-002,Engineering Calculation,CONNECTED,Deliver,Project|System|Stage,F26,Information Container: Calculation,Connected Authoring Adapter,design basis|loads|manufacturer data,Design decision / specification,Calculation revision and checker evidence,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-003,MEP Design Model / Drawing,CONNECTED,Deliver,Project|System|Location,F26,Information Container: Model / Drawing,Connected Authoring Adapter|Viewer Workspace,calculations|spatial model|requirements,Coordination / construction,Revision/status/issue provenance,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-004,Equipment / System Schedule,NATIVE,Deliver,Project|System|Item,F05|F26,Technical Schedule / Item references,Enterprise Grid,design outputs|product data,Procurement / asset register,Controlled schedule and selected products,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-005,Technical Specification,CONNECTED,Deliver,Project|System|Item,F26,Information Container: Specification,Connected Authoring Adapter,requirements|calculations|product data,Procurement / construction,Revision and approval evidence,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-006,Coordination Issue / Clash Record,NATIVE,Deliver,Project|Model|Location,F26,Coordination Issue,Viewer Workspace,discipline models|design constraints,Design change / resolution,Issue ownership and closure,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-007,Technical Query Response,NATIVE,Deliver,Project|Work Package|System,F26,Information Query Response,Object Workspace|Viewer Workspace,site query|design information,Construction / change,Approved technical response,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-008,Commissioning Requirements / Plan Input,NATIVE,Deliver,System|Asset|Project,F22|F26,Commissioning Requirement / Plan,Enterprise Grid|Object Workspace,design specification|performance criteria,Commissioning activity,Acceptance criteria provenance,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-009,Witness / Test Record,NATIVE,Deliver,System|Asset|Location,F13|F22,Test / Inspection / Commissioning Evidence,Field/Mobile composition,commissioning plan|test procedure,Acceptance / defect / retest,Immutable test evidence,candidate-revalidation
JOB-BSE,Building Services Engineer,9,Engineering & Technical Design,,gap-no-sector-job-profile,WP-BSE-010,Handover Asset / System Information,ASSISTED,Deliver,Asset|System|Project,F22|F26,Handover Deliverable / Asset Data,Assisted Report Generator|Import Workbench,equipment schedule|test|O&M|as-built,Facilities / maintenance,Accepted data and document provenance,candidate-revalidation
