career_index,career,primary_domain,specialist_capability_focus,candidate_work_products,typical_lifecycle_stage,external_source,legacy_source_repository,legacy_source_path,legacy_source_sha,review_state,authoring_mode_state,canonical_mapping_state,nublox_coverage_state
19,Civil engineering technician,Engineering & Technical Design,CAD/BIM support; surveys; calculations; drawings; records,Drawings; models; survey data; schedules,Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
20,Commercial energy assessor,Energy & Building Performance,Property data capture; energy assessment; evidence; certificate workflow,Assessment records; evidence; EPC-related outputs,Survey → Assessment → Certification,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
21,Conservator,"Heritage, Conservation & Landscape",Condition assessment; conservation plan; treatment records; provenance/evidence,Condition reports; treatment plans; photos; conservation records,Survey → Conservation → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
22,Construction contracts manager,"Commercial, Contracts & Cost",Contract register; obligations; notices; change; payment; claims; correspondence,Contracts; notices; instructions; variations; payment records,Pre-contract → Construction → Closeout,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
23,Construction labourer,Site Delivery & Construction Management,Task allocation; attendance; inductions; daily work; equipment; safety records,Timesheets; task records; inductions; site diary entries,Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
24,Construction manager,Site Delivery & Construction Management,Programme; packages; coordination; site diary; labour; plant; quality; safety; progress,Programme; diaries; RFIs; reports; inspections; progress records,Pre-construction → Construction → Handover,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
25,Construction plant mechanic,"Plant, Equipment & Specialist Operations",Asset register; servicing; defects; inspections; parts; breakdowns,Asset records; service history; defect reports; work orders,Construction → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
26,Construction plant operator,"Plant, Equipment & Specialist Operations",Plant allocation; pre-use checks; hours; tasks; defects; competencies,Plant checks; utilisation; task logs; defect records,Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
27,Construction site supervisor,Site Delivery & Construction Management,Daily supervision; labour; inspections; permits; quality; progress; safety,Site diary; inspections; permits; progress records,Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
28,Crane driver,"Plant, Equipment & Specialist Operations",Lift allocation; pre-use checks; plant hours; competency; lift records; defects,Checks; lift logs; utilisation; defect records,Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
29,Demolition operative,Site Delivery & Construction Management,Method/task planning; permits; hazardous materials records; waste; progress,RAMS references; permits; waste records; photos; task logs,Enabling → Demolition,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
30,Domestic energy assessor,Energy & Building Performance,Dwelling data capture; energy assessment; evidence; certificate workflow,Assessment records; evidence; EPC-related outputs,Survey → Assessment → Certification,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
31,Dryliner,Building Trades,Take-off; layout; installation; materials; progress; defects,Work orders; material usage; photos; snagging,Fit-out,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
32,Electrician,Building Services Trades,Survey; estimate; schedule; installation; circuits; testing; defects; certification; maintenance,Quotes; job sheets; circuit/test records; certificates; invoices,Design support → Installation → Testing → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
33,Engineering construction technician,Engineering & Technical Design,Technical support; installation records; commissioning/decommissioning support; drawings,Drawings; technical records; test sheets; schedules,Design → Installation → Commissioning,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
34,Estimator,"Commercial, Contracts & Cost",Take-off; resource build-ups; supplier enquiries; estimates; tender submissions; revisions,Estimates; take-offs; RFQs; tender returns; bid documents,Pre-contract,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
35,Facilities manager,"Facilities, Property & Asset Operations",Property/asset register; PPM; reactive maintenance; compliance; contractors; SLAs; budgets,Assets; work orders; service records; inspections; compliance evidence,Operations,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
36,Fence installer,Building Trades,Survey; estimate; set-out; installation; materials; completion,Quotes; work orders; material usage; photos,Construction / External works,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
37,Fire safety engineer,Engineering & Technical Design,Fire strategy; modelling; design review; compliance evidence; inspections,Fire strategies; calculations; reports; design comments,Design → Construction → Operations,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
38,Formworker,Building Trades,Formwork planning; drawings; material/plant requirements; installation; striking; checks,Work orders; checklists; material records; photos,Structural construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
39,Furniture maker,Supply Chain & Manufacturing,Design; BOM; production; stock; quality; orders; delivery,Drawings; BOMs; work orders; QC records; sales orders,Manufacture → Supply,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
40,Gas mains layer,Utilities & Networks,Work orders; excavation/laying records; materials; pressure/test records; reinstatement; asset location,Job packs; network records; test results; as-builts,Infrastructure construction → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
41,Gas service technician,Building Services Trades,Jobs; appliances; service schedules; tests; defects; parts; certification,Job sheets; appliance records; test results; service records,Installation → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
42,General practice surveyor,"Surveying, Property & Land",Property records; valuations; transactions; leases; development appraisal; client advice,Valuations; property records; instructions; reports,Acquisition → Development → Operations,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
43,Geospatial technician,"Geospatial, Planning & Transport",Data capture; GIS layers; coordinate/reference management; mapping; exports,Spatial datasets; maps; metadata,Survey → Planning → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
44,Glazier,Building Trades,Measure; quote; product/order; installation; repair; completion,Measurements; quotes; work orders; product records; photos,Fit-out → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
45,Heat pump engineer,Building Services Trades,Survey; sizing; estimate; installation; commissioning; servicing; evidence,Survey; calculations; job sheets; commissioning/test records,Retrofit/Installation → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
46,Heating and ventilation engineer,Building Services Trades,Survey; design support; installation; commissioning; service; defects,Job sheets; equipment records; test/commissioning sheets,Installation → Commissioning → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
47,Heritage officer,"Heritage, Conservation & Landscape",Heritage asset records; significance assessment; consultations; case management; condition monitoring,Case files; assessments; consultation records; reports,Planning → Conservation → Operations,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
48,Kitchen and bathroom designer,Architecture & Design,Customer brief; survey; layouts; products; quotation; revisions; approvals,Layouts; product schedules; quotes; approvals,Sales → Design → Fit-out,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
49,Kitchen and bathroom fitter,Building Trades,Survey; schedule; installation tasks; materials; coordination; snagging,Work orders; material lists; photos; completion records,Fit-out,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
50,Land surveyor,"Surveying, Property & Land",Survey planning; observations; control; coordinates; topographical outputs; setting out,Survey files; point data; drawings; reports,Survey → Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
51,Landscape architect,"Heritage, Conservation & Landscape",Brief; site analysis; landscape design; specifications; planting; coordination; inspections,Plans; schedules; specifications; inspection records,Planning → Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
52,Landscaper,"Heritage, Conservation & Landscape",Quotes; site works; planting/materials; labour; maintenance schedule,Work orders; material schedules; photos; maintenance records,External works → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
53,Lighting technician,"Plant, Equipment & Specialist Operations",Equipment planning; inventory; setup; inspections; operation; maintenance,Equipment lists; checklists; allocation records; faults,Installation/Event delivery → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
54,Locksmith,Building Services Trades,Callouts; asset/lock register; access hardware; installation; repair; key/control records,Jobs; asset records; key/access records; invoices,Installation → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
55,Painter and decorator,Building Trades,Estimate; area/take-off; materials; schedule; application; completion,Quotes; work orders; material usage; photos,Finishes,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
56,Pipe fitter,Building Services Trades,Isometrics/work packs; fabrication/installation; weld/test references; materials; QA,Work packs; spool/line records; test records; material traceability,Installation → Testing,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
57,Planning and development surveyor,"Surveying, Property & Land",Site appraisal; development appraisal; planning constraints; valuations; viability; client reports,Appraisals; reports; valuations; planning records,Feasibility → Planning,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
58,Plasterer,Building Trades,Estimate; areas; materials; schedule; application; snagging,Quotes; work orders; material usage; photos,Finishes,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
59,Plumber,Building Services Trades,Survey; quote; schedule; installation; fixtures; testing; callouts; maintenance,Quotes; job sheets; test records; asset/service records; invoices,Installation → Testing → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
60,Quantity surveyor,"Commercial, Contracts & Cost",Measurement; cost plans; procurement; tender analysis; valuations; variations; forecasts; final accounts,Cost plans; BoQs; tender analyses; valuations; variations; cost reports,Feasibility → Design → Construction → Final account,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
61,Quarry engineer,"Plant, Equipment & Specialist Operations",Site/production planning; extraction records; plant; safety; environmental/restoration records,Plans; production records; inspections; environmental records,Extraction → Restoration,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
62,Quarry worker,"Plant, Equipment & Specialist Operations",Tasks; plant checks; production logs; materials; safety; maintenance defects,Shift logs; plant checks; production records,Extraction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
63,Refrigeration and air-conditioning installer,Building Services Trades,Survey; equipment selection; installation; commissioning; refrigerant/service records; maintenance,Job sheets; equipment records; commissioning/test records; service logs,Installation → Commissioning → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
