job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,primary_subfunctions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-003,Carpentry Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-004,Carpentry Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-005,Carpentry Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-006,Carpentry Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-007,Carpentry Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-008,Carpentry Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-001,Flooring Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-002,Flooring Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-003,Flooring Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-004,Flooring Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-005,Flooring Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-006,Flooring Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-007,Flooring Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-FLOOR,Carpet Fitter and Floor Layer,14,Building Trades,,gap-no-direct-job-profile,WP-FLOOR-008,Flooring Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-001,Ceiling Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-002,Ceiling Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-003,Ceiling Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-004,Ceiling Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-005,Ceiling Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-006,Ceiling Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-007,Ceiling Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-CEIL,Ceiling Fixer,17,Building Trades,,gap-no-direct-job-profile,WP-CEIL-008,Ceiling Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-001,Drylining Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-002,Drylining Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-003,Drylining Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-004,Drylining Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-005,Drylining Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-006,Drylining Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-007,Drylining Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-DRY,Dryliner,31,Building Trades,,gap-no-direct-job-profile,WP-DRY-008,Drylining Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-001,Fencing Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-002,Fencing Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-003,Fencing Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-004,Fencing Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-005,Fencing Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-006,Fencing Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-007,Fencing Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-FENCE,Fence Installer,36,Building Trades,,gap-no-direct-job-profile,WP-FENCE-008,Fencing Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-001,Formwork Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-002,Formwork Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-003,Formwork Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-004,Formwork Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-005,Formwork Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-006,Formwork Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-007,Formwork Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-FORM,Formworker,38,Building Trades,,gap-no-direct-job-profile,WP-FORM-008,Formwork Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-001,Glazing Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-002,Glazing Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-003,Glazing Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-004,Glazing Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-005,Glazing Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-006,Glazing Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-007,Glazing Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-GLAZ,Glazier,44,Building Trades,,gap-no-direct-job-profile,WP-GLAZ-008,Glazing Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-001,Kitchen / Bathroom Fit-Out Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-002,Kitchen / Bathroom Fit-Out Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-003,Kitchen / Bathroom Fit-Out Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-004,Kitchen / Bathroom Fit-Out Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-005,Kitchen / Bathroom Fit-Out Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-006,Kitchen / Bathroom Fit-Out Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-007,Kitchen / Bathroom Fit-Out Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-KBFIT,Kitchen and Bathroom Fitter,49,Building Trades,,gap-no-direct-job-profile,WP-KBFIT-008,Kitchen / Bathroom Fit-Out Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-001,Decoration Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-002,Decoration Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-003,Decoration Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-004,Decoration Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-005,Decoration Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-006,Decoration Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-007,Decoration Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-PAINT,Painter and Decorator,55,Building Trades,,gap-no-direct-job-profile,WP-PAINT-008,Decoration Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-001,Plastering Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
