gap_id,function_id,source_subfunctions,gap_type,current_model,problem,required_outcome,state
GAP-REC-F20-002,F20,F20.06|F20.07,aggregate-conflation,"AGG-21-REQUIREMENT / Compliance Requirement / Assessment","External obligations, internal interpretation, compliance assessment/attestation, breach/exception and remediation are conflated.","Separate Compliance Requirement/Obligation from Assessment/Attestation, Breach/Exception and linked Remediation evidence.",open
GAP-REC-F20-003,F20,F20.08|F20.09,evidence-lifecycle-gap,"AGG-21-CONTROL / Internal Control / Test","Control definition/ownership/execution and individual design/operating-effectiveness tests/deficiencies share one object family without explicit immutable test-run evidence.","Model Control identity separately from Control Execution/Test Run, Sample, Evidence and Deficiency with tester independence and point-in-time results.",open
GAP-REC-F20-004,F20,F20.10|F20.11|F20.12|F20.16,aggregate-overload,"AGG-21-AUDIT / Audit / Assurance","Audit universe/plan, audit engagement/workpapers/findings/report and enterprise assurance coordination are materially different objects.","Separate Audit Universe/Plan, Audit Engagement, Workpaper/Evidence, Finding, Report and Assurance Map/Provider while preserving traceability.",open
GAP-REC-F20-005,F20,F20.13,wrong-aggregate-owner,"AGG-21-AUDIT / Finding / Remediation","Remediation can originate from risk, compliance, controls, audit, quality, safety or other domains and must not be owned only by Audit.","Create cross-domain Finding/Issue/Remediation semantics with source provenance, action ownership, due dates, verification and closure evidence.",open
GAP-REC-F20-006,F20,F20.14,restricted-case-gap,"AGG-21-RISK / Enterprise Risk / Assessment","Fraud scenario assessment and suspected-fraud investigation are different; investigation requires restricted case/evidence handling.","Separate Fraud Risk/Scenario from restricted Fraud Investigation Case with evidence, participants, legal hold/access and disposition.",open
GAP-REC-F20-007,F20,F20.15,wrong-domain-object,"AGG-21-REQUIREMENT / Compliance Requirement / Assessment","Declarations, conflicts of interest, gifts/hospitality and whistleblowing are cases/registers, not compliance requirements.","Define Ethics Declaration, Conflict, Gifts/Hospitality and restricted Speak-Up/Whistleblowing Case objects linked to policy/requirements.",open
GAP-REC-F20-008,F20,F20.10|F20.11|F20.12|F20.16,independence-control,"Audit / Assurance roles","Job Profile assignment alone cannot prove auditor independence, reviewer separation or assurance-provider conflicts.","Model independence/conflict/assignment rules separately from access permissions and retain attributable review/approval evidence.",open
GAP-REC-F19-001,F19,F19.01|F19.08|F19.09|F19.10,legal-matter-boundary,"AGG-22-LEGAL / Legal Matter","Legal advice, regulatory advice, employment matters and legal spend share one Legal Matter object without explicit privilege/confidentiality/matter-team/external-counsel controls.","Model Legal Matter with privilege/confidentiality classification, matter team, client/business owner, external counsel, spend/engagement references and restricted evidence access.",open
GAP-REC-F19-002,F19,F19.04|F19.05,aggregate-conflation,"AGG-22-CORPORATE-SECRETARIAT / Corporate Secretariat / Entity Register","Legal entity establishment/registration and board governance/resolutions/statutory books are distinct governed truths.","Separate Legal Entity/Registration records from Board/Committee Governance, Resolution and Statutory Register/Book records while linking them.",open
GAP-REC-F19-003,F19,F19.02|F19.03|F19.12,obligation-model-gap,"Contract / Contract Repository / Legal Obligation","Contract lifecycle, extracted contract obligations/milestones and enterprise legal obligations are not explicitly differentiated.","Model Contract Obligation/Milestone separately from Contract identity and Legal/Regulatory Obligation, with source clause/version provenance.",open
GAP-REC-F19-004,F19,F19.11,legal-hold-boundary,"AGG-28-RETENTION / Legal Hold / eDiscovery","Legal hold, preservation, search/collection and disclosure are distinct from ordinary retention/disposition policy.","Model Legal Hold as a preservation override linked to custodians/sources/records; model collection/review/disclosure evidence separately and enforce hold precedence over disposition.",open
GAP-REC-F19-005,F19,F19.07,litigation-evidence-boundary,"AGG-22-PROCEEDING / Legal Proceeding / Dispute","Proceeding identity and litigation evidence/work product need restricted provenance and disclosure controls.","Separate Proceeding/Dispute identity from evidence collection, legal work product, settlement authority and disclosure/production records.",open
GAP-REC-F21-001,F21,F21.02|F21.03,aggregate-conflation,"AGG-22-PRIVACY / Processing Activity / DPIA","Record of Processing Activity and DPIA are different governed records with different triggers, approvals and lifecycle.","Separate Processing Activity inventory from DPIA/Privacy Risk Assessment, linking assessment to the exact processing version and controls.",open
GAP-REC-F21-002,F21,F21.07,wrong-domain-object,"AGG-22-PRIVACY / Processing Activity / DPIA","International-transfer assessment, transfer mechanism/safeguards and decision evidence are not merely processing/DPIA fields.","Define International Transfer/Transfer Assessment with countries, recipients, mechanism, safeguards, supplementary measures, review dates and decision evidence linked to processing.",open
GAP-REC-F21-003,F21,F21.05,rights-case-boundary,"AGG-22-DATA-SUBJECT-REQUEST / Data Subject Request","Identity verification, search, redaction/exemption review, response and disclosure need purpose-limited case evidence and deadline provenance.","Model rights request case stages, identity-verification evidence, search/source results, exemptions/redactions, response package and statutory clocks separately.",open
GAP-REC-F21-004,F21,F21.06,privacy-incident-boundary,"AGG-22-INCIDENT / Privacy Incident","Breach assessment, containment, investigation and regulator/data-subject notification decisions require point-in-time risk and decision evidence.","Model incident facts, affected data/subjects, risk assessment, containment actions, notification decision, notifications and closure evidence with restricted access.",open
GAP-REC-F21-005,F21,F21.08|F19.11|F26.08,retention-precedence-gap,"Retention / Legal Hold / Records Retention","Privacy retention/destruction, records schedules and legal holds cross functions but precedence is not explicit.","Create one governed retention/disposition policy model with legal/regulatory hold overrides, source-record classification, approval, destruction evidence and exceptions.",open
GAP-REC-F24-001,F24,F24.01|F24.02|F24.03|F24.04|F24.08,aggregate-overload,"AGG-23-CONTINUITY / Continuity / Recovery","Continuity framework, BIA, continuity plan, exercise/test and disaster-recovery invocation are distinct objects with different versions/evidence.","Separate Continuity Framework, BIA, Continuity Plan, Exercise/Test, Recovery Plan/Invocation and Recovery Validation while linking critical services/dependencies.",open
GAP-REC-F24-002,F24,F24.05|F24.06|F24.07,aggregate-overload,"AGG-23-CRISIS / Crisis / Emergency Response","Crisis event/activation, emergency operational response and crisis communications share one object.","Separate Crisis/Event, Response Activation/Action Log, Emergency Accountability/Evacuation evidence and Crisis Communication/Approval records.",open
GAP-REC-F24-003,F24,F24.09|F24.10|F24.11|F24.12,aggregate-conflation,"AGG-23-PHYSICAL-SECURITY-INCIDENT / Physical / Travel Security","Physical access/security events, visitor passes, restricted investigations and travel-risk/traveller tracking are materially different governed records.","Separate Physical Security Event, Visitor/Access Pass, Restricted Security Investigation and Travel Risk/Traveller Assistance records.",open
GAP-REC-F24-004,F24,F24.10,title-semantic-defect,"JP-F24.10 Security Operations Coordinator","The source activities are Visitor Management only; the generated title is broader than the work.","Use Visitor Management Coordinator as the V3 employment title while retaining F24.10 provenance.",open
GAP-REC-F24-005,F24,F24.11,restricted-case-gap,"Security Investigations on physical-security incident aggregate","Allegations, interviews and evidence require restricted investigation-case access, legal/HR handoffs and evidence integrity.","Create restricted Security Investigation Case with allegation, subjects, investigators, evidence, interviews, findings, legal/HR referrals and disposition.",open
GAP-REC-F26-001,F26,F26.01,wrong-domain-object,"AGG-25-KNOWLEDGE / Knowledge Article / Collection","Knowledge strategy/governance/platform decisions are not Knowledge Articles.","Model Knowledge Strategy/Governance separately from Knowledge Content/Article/Collection.",open
GAP-REC-F26-002,F26,F26.02|F26.07,authoritative-content-boundary,"Knowledge Capture includes procedures; Controlled Documents uses Information Container","A captured knowledge article must not become an uncontrolled duplicate of an authoritative controlled procedure.","Link knowledge/expertise content to the authoritative controlled document where applicable; only the controlled-information lifecycle may issue official procedures.",open
GAP-REC-F26-003,F26,F26.05|F26.07,controlled-information-lifecycle,"AGG-07-INFORMATION / Information Container","Generic document management and controlled-document issue/withdrawal use the same object without explicit controlled status/effectivity/distribution semantics.","Define controlled-information lifecycle states, revision/effectivity, approval basis, distribution/acknowledgement and supersession on Information Container or a governed overlay.",open
GAP-REC-F26-004,F26,F26.06|F26.08,records-retention-conflation,"AGG-25-RECORDS / Record Series / File","Record/file identity, classification, retention schedule, hold and disposition are bundled together.","Separate Record/Record Series from Retention Schedule, Hold/Exception, Disposition Decision and Disposition Certificate while preserving immutable provenance.",open
GAP-REC-F26-005,F26,F26.09,search-permission-boundary,"Enterprise Search activity includes manage permissions","Search/index administration must not become an independent authorization authority that can expose source content.","Search must inherit/evaluate source-system authorization at query/result/content access; index metadata must be security-trimmed and permission changes owned by authoritative access controls.",open
GAP-REC-F26-006,F26,F26.06|F26.08,destruction-evidence-gap,"dispose/destroy record activities","Disposition must prove authorization, hold checks, scope and completion without deleting the evidence that disposal occurred.","Retain immutable disposition decision/certificate/audit evidence after content destruction, with legal/privacy hold checks and subject scope.",open
GAP-REC-F15-001,F15,F15.01|F15.02|F15.03,aggregate-overload,"AGG-18-WORKFORCE-PLAN / Workforce Plan","People strategy, workforce plan and organisation design/reporting structures are different governed objects.","Separate People Strategy, Workforce Plan/Scenario and Organisation Structure/Org Unit design while linking them to approved Positions.",open
GAP-REC-F15-002,F15,F15.04,identity-conflation,"AGG-18-JOB-PROFILE / Job Profile / Position","Job Profile and Position are distinct concepts but share one object label.","Model Job Profile as reusable employment definition and Position as tenant/org-specific seat with effective dates, reporting line, scope and assignments.",open
GAP-REC-F15-003,F15,F15.05|F15.06|F15.07,recruitment-lifecycle-conflation,"AGG-18-VACANCY / Recruitment / Onboarding","Vacancy/requisition, candidate/application, screening/checks, offer and onboarding are distinct governed records.","Separate Vacancy/Requisition, Candidate/Application, Screening Case, Offer and Onboarding Plan while linking to Position and Worker Relationship.",open
GAP-REC-F15-004,F15,F15.08|F15.17|F15.19,worker-case-conflation,"AGG-18-WORKFORCE / Worker Relationship / Case","Worker master/relationship, employee-relations cases and offboarding cases have different privacy/access and lifecycle semantics.","Keep Worker Relationship master separate from restricted Employee Relations Case and Offboarding/Termination Case, with effective-dated Position assignment.",open
GAP-REC-F15-005,F15,F15.10|F15.11|F15.12,payroll-compensation-conflation,"AGG-18-PAYROLL / Payroll / Compensation","Payroll calculation/payment, compensation structures/awards and benefit enrolments are different governed truths.","Separate Payroll Run/Result, Compensation Plan/Range/Award and Benefit Plan/Enrollment with finance/payment handoffs.",open
GAP-REC-F15-006,F15,F15.18,health-privacy-boundary,"Time / Attendance / Absence","Absence management may include sensitive health information that must not share unrestricted timesheet access.","Separate absence case/reason evidence with purpose-limited access from ordinary time/attendance transactions.",open
GAP-REC-F16-001,F16,F16.01|F16.02|F16.03,architecture-overload,"AGG-24-TECHNOLOGY / Technology Service / Architecture","Technology strategy, enterprise architecture and solution architecture are distinct artifacts/decision records.","Separate Technology Strategy/Roadmap, Enterprise Architecture model/standards and Solution Architecture/Decision records.",open
GAP-REC-F16-002,F16,F16.04|F16.05|F16.06|F16.07|F16.08|F16.09|F16.10|F16.18|F16.19,resource-service-overload,"AGG-24-TECHNOLOGY-RESOURCE / Technology Resource / Service","Applications, software components, environments, infrastructure, cloud subscriptions, networks, endpoints, IT assets and capacity metrics are over-compressed.","Define canonical Technology Service/Application, Component, Environment, Infrastructure Resource, Network, Endpoint/Device and IT Asset identities with relationships.",open
GAP-REC-F16-003,F16,F16.11,access-authority-gap,"AGG-01-USER-IDENTITY / User Identity / Access","Identity administration can assign access directly, conflating identity lifecycle with approved access authority.","Separate User Identity/account lifecycle from Access Request/Approval/Grant; provisioning must execute an approved grant and cannot create authority.",open
GAP-REC-F16-004,F16,F16.15|F16.16|F16.17,change-release-configuration-conflation,"AGG-24-TECHNOLOGY-CHANGE / Technology Change / Release","Change request, release/package/deployment and configuration item/baseline are different governed objects.","Separate Technology Change, Release/Deployment and Configuration Item/Baseline with exact affected-version relationships.",open
GAP-REC-F16-005,F16,F16.20,recovery-evidence-gap,"AGG-23-DISASTER-RECOVERY-PLAN / Disaster Recovery Plan","Recovery requirements/plan, backups/replication, test execution and restoration evidence are conflated.","Separate DR Plan, Recovery Requirement, Backup/Replication evidence, Recovery Test and Recovery Invocation/Result.",open
GAP-REC-F16-006,F16,F16.21,procurement-authority-boundary,"Technology Supplier / Contract","Technology vendor selection/licensing/contracting must reuse canonical supplier/procurement/contract truth rather than create an IT-owned supplier/contract silo.","Reference Party/Supplier, Sourcing/Procurement and Contract aggregates; IT owns technology requirements/service performance, not duplicate supplier identity.",open
GAP-REC-F17-001,F17,F17.01|F17.02|F17.03,data-governance-conflation,"AGG-24-DOMAIN / Data Domain / Governance","Data strategy, governance ownership/policy and architecture/models/flows are distinct governed outputs.","Separate Data Strategy, Data Domain/Ownership/Governance and Data Architecture/Lineage Model while linking them.",open
GAP-REC-F17-002,F17,F17.07|F17.08|F17.15|F17.17,data-product-platform-conflation,"AGG-24-DATA / Data Product / Dataset","Dataset/data product identity, platform infrastructure, catalogue metadata and lifecycle policy are conflated.","Separate Data Product/Dataset, Data Platform Resource, Catalogue/Metadata/Lineage and Lifecycle/Retention policy semantics.",open
GAP-REC-F17-003,F17,F17.09|F17.10|F17.11,analytics-model-conflation,"AGG-24-MODEL / Analytics / Reporting","Published BI reports, analytical studies/scenarios and trained statistical/data-science models are different governed artifacts.","Separate Report/Dashboard, Analysis/Scenario and Analytical Model/Model Version/Evaluation.",open
GAP-REC-F17-004,F17,F17.12|F17.13|F17.14,ai-model-overload,"AGG-24-AI / AI Use Case / Model","AI use case, system/model/version, risk assessment/approval and operational deployment/monitoring are different governed objects.","Separate AI Use Case/System, Model/Version, Evaluation, Governance Assessment/Approval and Deployment/Monitoring records.",open
GAP-REC-F17-005,F17,F17.16,access-authority-gap,"AGG-24-ACCESS-REQUEST / Data Access Request","Data access approval/provisioning risks becoming a separate authorization system.","Data Access Request must resolve to approved scoped Access Grants enforced by the common identity/authorization service; data teams cannot bypass enterprise authority.",open
GAP-REC-F17-006,F17,F17.17,retention-precedence-gap,"Data lifecycle delete/dispose","Dataset deletion/disposal must honour privacy, records and legal holds with immutable evidence.","Apply common retention/hold/disposition precedence and retain disposition provenance for data products/datasets.",open
GAP-REC-F18-001,F18,F18.01|F18.02|F18.03,security-governance-conflation,"AGG-24-POLICY / Security Policy / Architecture","Security strategy, policy/standard and security architecture/control design are different governed artifacts.","Separate Security Strategy/Roadmap, Policy/Standard and Security Architecture/Control Pattern/Exception.",open
GAP-REC-F18-002,F18,F18.04,security-authority-boundary,"AGG-01-ACCESS-GRANT / Access / Security Authority","Authentication, authorization, privileged access and access reviews must not create a second authority model separate from enterprise IAM/access grants.","Use common User Identity, Access Request/Grant, Privileged Access and Review/Certification semantics with explicit delegated authority.",open
GAP-REC-F18-003,F18,F18.05|F18.06|F18.11,vulnerability-patch-conflation,"AGG-24-VULNERABILITY / Vulnerability / Patch","Vulnerability finding, patch/advisory, application-security finding and remediation/verification are different records.","Separate Vulnerability/Finding, Patch/Advisory, Remediation Action and Verification/Test Result with asset/component/version linkage.",open
GAP-REC-F18-004,F18,F18.07|F18.09|F18.10,security-test-alert-conflation,"AGG-24-SECURITY-ALERT / Security Monitoring / Test","Operational alerts, threat intelligence/indicators and penetration-test engagements/findings are materially different.","Separate Security Event/Alert/Case, Threat Intelligence/Indicator and Security Test/Pentest Engagement/Finding.",open
GAP-REC-F18-005,F18,F18.14,cryptographic-key-boundary,"AGG-01-ACCESS-GRANT / Access / Security Authority","Keys/certificates/encryption policies are not access grants and require dedicated lifecycle/custody semantics.","Define Cryptographic Key/Certificate/Trust relationship with custody, rotation, expiry, revocation and HSM/provider provenance.",open
GAP-J1-W5-001,F01,F01.01|F01.03|F01.04|F01.05,strategy-object-overload,"AGG-02-STRATEGY / Strategy / Business Planning","Purpose/vision/mission, enterprise strategy, annual business plans and operating model are distinct governed Work Products but share one broad object.","Separate Purpose/Vision/Mission, Strategy, Business Plan/Initiative and Operating Model/Capability/Accountability objects with explicit lineage and effective dating.",open
GAP-J1-W5-002,F02,F02.01|F02.05,governance-object-overload,"AGG-02-GOVERNANCE / Governance Body / Meeting","Governance body, meeting, board/committee pack, minutes, resolution and action are different governed records.","Separate Governance Body, Meeting, Agenda/Pack, Minute, Resolution/Decision and Action records with authority, attendance, quorum and version provenance.",open
GAP-J1-W5-003,F03,F03.01|F03.02|F03.03|F03.06,performance-object-overload,"AGG-02-PERFORMANCE / KPI / Performance","KPI definition, target/baseline, observation/calculation, period snapshot, variance/corrective action and benefit target are materially different performance truths.","Separate KPI Definition, Target/Baseline, Observation/Calculation Run, Performance Snapshot, Variance/Corrective Action and Benefit records.",open
GAP-J1-W5-004,F04,F04.04|F04.06|F04.07,corporate-development-object-overload,"AGG-04-BUSINESS-CASE / Investment / Transaction Business Case","Transaction structure/terms/closing, divestiture separation and strategic-partnership governance are not business-case fields.","Define Transaction/Deal, Terms/Agreement, Closing, Separation/Carve-out and Partnership/Alliance objects linked to but distinct from investment business cases.",open
GAP-J1-W5-005,F05,F05.03|F05.04|F05.05|F05.06|F05.07|F05.08|F05.09,product-lifecycle-lineage-gap,"Concept / Business Case / Definition / Item Lifecycle","Concept, approved business case, requirements/specification/configuration, prototype/test evidence, launched offering, enhancement/change and retirement need explicit lineage and version/effectivity semantics.","Establish end-to-end concept-to-offering lineage across Concept, Business Case, Requirements, Product/Service Definition, Configuration/Version, Test, Offering/Item and Lifecycle Change/Retirement.",open
GAP-J1-W5-006,F06,F06.05|F06.06|F06.07|F06.08|F06.11,marketing-campaign-overload,"AGG-25-COMMS-CAMPAIGN / Marketing / Communications Campaign","Digital channel configuration, content assets, events, advertising placements and communications artefacts are over-owned by Campaign.","Separate Campaign, Content Asset, Channel/Publication, Event, Advertising Placement and Message/Collateral while preserving campaign membership and attribution.",open
