engine_id,engine_name,engine_class,primary_function_codes,participating_function_codes,canonical_scope,canonical_object_families,implementation_state
"NTE-030","DevOps, Platform & Endpoint Operations","F_DATA_AUTOMATION_AI","F16","F17;F18","Source/repository, CI/CD, release, environment, cloud/platform, endpoint and software lifecycle operations","Repository; Build; Pipeline; Release; Environment; Endpoint; Software Package; Deployment","TO_BUILD"
"NTE-031","Data Integration, Engineering & Lakehouse","F_DATA_AUTOMATION_AI","F17","F01-F29","Data ingestion, transformation, orchestration, data products, warehouse/lakehouse, quality and lineage","Dataset; Data Product; Pipeline; Transformation; Table; Data Quality Rule; Lineage","TO_BUILD"
"NTE-032","Master Data, Catalogue & Governance","F_DATA_AUTOMATION_AI","F17","F01-F29","Master/reference data, business glossary, catalogue, stewardship, data access and data lifecycle","Master Data Entity; Reference Data Set; Catalogue Entry; Glossary Term; Data Access Request; Stewardship Task","TO_BUILD"
"NTE-033","BI, Semantic Analytics & Reporting","C_PLANNING_ANALYTICS","F17","F01-F29","Semantic metrics, dashboards, self-service analysis, reporting, scheduled distribution and metric lineage","Metric; Semantic Model; Dashboard; Report; Analytical Dataset; Insight","TO_BUILD"
"NTE-034","AI, ML, Agents & Model Governance","F_DATA_AUTOMATION_AI","F17","F16;F18;F20;F29","Model/agent development, evaluation, deployment, monitoring, versioning, risk assessment and governance","AI Use Case; Model; Model Version; Agent; Evaluation; Deployment; Monitoring Result; AI Risk Assessment","TO_BUILD"
"NTE-035","Cybersecurity Operations & Exposure","E_FIELD_PRODUCTION_ASSURANCE","F18","F16;F20","IAM/PAM security, vulnerabilities, patches, SIEM/SOC, threat, security incidents, application security and controls","Security Asset; Identity Entitlement; Vulnerability; Finding; Security Alert; Security Incident; Threat Indicator; Security Control","TO_BUILD"
"NTE-036","Legal Matter, Contract & Entity","B_TRANSACTION","F19","F02;F04;F07;F09;F20;F26","Legal advice/matters, CLM, obligations, legal entities, statutory records, IP, litigation and legal spend","Legal Matter; Contract; Clause; Obligation; Legal Entity; Filing; IP Right; Litigation Matter; Legal Invoice","TO_BUILD"
"NTE-037","Risk, Compliance, Control & Audit","E_FIELD_PRODUCTION_ASSURANCE","F20","F02;F13;F18;F21;F23;F24","Risk taxonomy/assessment/treatment, obligations, controls, testing, audits, findings, remediation and ethics","Risk; Risk Assessment; Obligation; Control; Control Test; Audit; Finding; Issue; Remediation Action; Disclosure","TO_BUILD"
"NTE-038","Privacy & Information Governance","E_FIELD_PRODUCTION_ASSURANCE","F21","F17;F19;F20;F26","RoPA/data mapping, DPIA, consent, rights requests, privacy incidents, international transfers, retention and disposal","Processing Activity; Data Map; DPIA; Consent; Data Subject Request; Privacy Incident; Transfer Assessment; Retention Rule","TO_BUILD"
"NTE-039","Asset, Property, Facilities & Maintenance","E_FIELD_PRODUCTION_ASSURANCE","F22","F12;F14;F23;F27","Asset/property master, capital planning, lease/space, preventive/reactive maintenance, facilities services, utilities and reliability","Asset; Property; Facility; Space; Lease; Maintenance Plan; Work Order; Service Request; Meter; Condition Assessment","TO_BUILD"
"NTE-040","HSE, Permit, Environment & ESG","E_FIELD_PRODUCTION_ASSURANCE","F23","F09;F11;F12;F13;F20;F22;F27","Hazards/risk, inspections, incidents, permits, occupational health, environmental compliance, waste, carbon, energy and ESG","Hazard; HSE Risk Assessment; HSE Incident; Permit; Inspection; Waste Record; Emission; ESG Metric; Sustainability Initiative","TO_BUILD"
"NTE-041","Continuity, Crisis & Physical Security","E_FIELD_PRODUCTION_ASSURANCE","F24","F16;F18;F20;F25","BIA, continuity/recovery plans, exercises, crisis activation, emergency response, mass notification and physical security","BIA; Continuity Plan; Recovery Plan; Exercise; Crisis; Emergency Event; Notification; Access Event; Visitor; Security Incident","TO_BUILD"
"NTE-042","Communications, Media, Public Affairs & IR","B_TRANSACTION","F25","F06;F19;F24;F26","Corporate/internal communications, media relations, PR, reputation, government/stakeholder engagement and investor relations","Communication; Media Contact; Press Release; Media Mention; Stakeholder; Engagement; Investor; IR Event; Disclosure","TO_BUILD"
"NTE-043","Knowledge, Document, Records & CDE","D_PROFESSIONAL_AUTHORING","F26","F05;F13;F19;F21;F27","Knowledge capture/sharing, controlled documents, records, retention/legal hold, technical CDE, review and transmittal","Knowledge Item; Document; Record; Technical Document; Review Package; Transmittal; Retention Schedule; Legal Hold","TO_BUILD"
"NTE-044","Portfolio, Programme, Project & Resource","C_PLANNING_ANALYTICS","F27","F01;F03;F22;F28","Portfolio intake/prioritisation, programme/project definition, WBS, resource/capacity, scope, issues and closure","Portfolio; Programme; Project; WBS; Milestone; Resource Plan; Project Issue; Project Decision","TO_BUILD"
"NTE-045","Project Controls, CPM, 4D & EVM","C_PLANNING_ANALYTICS","F27","F03;F14;F22","CPM schedules, baselines, progress, resource/cost loading, 4D sequence, earned value and forecasting","Project Schedule; Activity; Logic Link; Baseline; Progress Update; Cost Account; EVM Result; Forecast","TO_BUILD"
"NTE-046","Transformation, Change & Adoption","C_PLANNING_ANALYTICS","F28","F01;F03;F15;F25;F27","Transformation roadmap, impact, stakeholders, communications, training/readiness, adoption/friction and benefits","Transformation; Change Impact; Stakeholder Plan; Communication Plan; Training Plan; Readiness Assessment; Adoption Metric","TO_BUILD"
"NTE-047","Process Architecture, BPMN/DMN & Orchestration","D_PROFESSIONAL_AUTHORING","F29","F01-F29","Process hierarchy, BPMN/DMN modelling, governance, executable orchestration, process repository and SOP linkage","Process; Activity Definition; BPMN Model; DMN Model; Process Version; SOP; Automation Definition","TO_BUILD"
"NTE-048","Process Mining & Continuous Improvement","F_DATA_AUTOMATION_AI","F29","F03;F17;F20;F28","Process/event mining, conformance, bottleneck/root-cause analysis, improvement ideas, scenarios and benefits","Event Log; Process Model Discovery; Conformance Result; Improvement Idea; Improvement Initiative; Benefit","TO_BUILD"
"NTE-049","CAD, BIM & Parametric Design Authoring","D_PROFESSIONAL_AUTHORING","F05;F26;F27","F13;F22","Native 2D/3D technical geometry, BIM objects, assemblies, drawings, schedules, parametric/computational design and coordination","Design Model; Model Element; Drawing; View; Detail; Schedule; Parameter; Coordination Issue","TO_BUILD"
"NTE-050","Engineering Analysis & Calculation","D_PROFESSIONAL_AUTHORING","F05;F27","F13;F22;F23","Discipline calculations, simulation, analysis models, design checks, load/capacity, thermal/acoustic/lighting and verification","Analysis Model; Calculation; Simulation; Design Check; Result Set; Engineering Recommendation","TO_BUILD"
"NTE-051","Survey, GIS & Reality Capture","D_PROFESSIONAL_AUTHORING","F22;F27","F05;F13;F26","Survey observations, geospatial features, coordinate systems, point clouds, scans, reality models and measured evidence","Survey; Observation; Coordinate Reference; GIS Feature; Point Cloud; Reality Model; Measurement","TO_BUILD"
"NTE-052","Estimating, Measurement, Cost Planning & BoQ","D_PROFESSIONAL_AUTHORING","F07;F27","F09;F14;F22","Take-off, measurement rules, rate libraries, estimates, cost plans, quantities, BoQ, tender comparison and lifecycle cost","Measurement; Quantity; Rate; Estimate; Cost Plan; BoQ; Tender Comparison; Lifecycle Cost","TO_BUILD"
"NTE-053","Construction Commercial & Contract Administration","B_TRANSACTION","F07;F19;F27","F09;F14;F22","Construction appointments/contracts, instructions, variations, valuations, payment certificates, compensation events and final account","Construction Contract; Instruction; Variation; Valuation; Payment Certificate; Compensation Event; Final Account","TO_BUILD"
"NTE-054","Construction Site Production & Field Evidence","E_FIELD_PRODUCTION_ASSURANCE","F12;F27","F10;F13;F22;F23;F26","Site work packages, daily records, progress, labour/plant/material usage, permits, field evidence, RFIs and punch/defect execution","Work Package; Daily Log; Progress Record; Labour Record; Plant Record; Material Usage; RFI; Field Evidence; Punch Item","TO_BUILD"
"NTE-055","Fabrication & Off-site Production","E_FIELD_PRODUCTION_ASSURANCE","F11;F27","F05;F10;F13;F22","Fabrication definition, nesting/cut lists, production orders, shop-floor execution, traceability and manufactured components","Fabrication Model; Shop Drawing; Cut List; Fabrication Order; Batch; Serialised Component; Traceability Record","TO_BUILD"
"NTE-056","Commissioning, Handover & Asset Information","E_FIELD_PRODUCTION_ASSURANCE","F22;F27","F12;F13;F23;F26","Commissioning plans, test packs, system completion, training, O&M/as-built information, handover and operational asset activation","Commissioning Plan; Test Pack; Commissioning Record; Training Record; O&M Information; As-built Record; Handover Package; Asset Information Requirement","TO_BUILD"
"NTE-057","Digital Twin & Operational Asset Information","F_DATA_AUTOMATION_AI","F22","F17;F26;F27","Federated asset/system information, operational context, telemetry, condition, spatial/model linkage and lifecycle history","Digital Twin; Asset Context; System Model; Sensor/Telemetry Link; Condition State; Operational Relationship","TO_BUILD"
