job_execution_contract_id,job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,lifecycle_stages,specialist_capabilities,primary_structured_records,current_market_work_pattern,nublox_native_requirement,employment_position_rule,deployment_purpose_rule,native_engine_composition_state,canonical_object_mapping_state,work_product_mapping_state,workspace_acceptance_state,effective_date
ERP-CBE-JP-011,CBE-JP-011,Building technician,D02,F05;F13;F19;F23;F26;F27,Design; Construction,Technical support; drawings; surveys; records; project coordination,Drawings; survey data; schedules; reports,"Perform Technical support; drawings; surveys; records; project coordination using specialist authoring, calculation, field or business systems; create and exchange Drawings; survey data; schedules; reports.","Provide native job workspace for Technical support; drawings; surveys; records; project coordination; create/control Drawings; survey data; schedules; reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-012,CBE-JP-012,Caretaker,D10,F08;F09;F12;F13;F14;F22;F23;F26;F27,Operations,Inspections; reactive tasks; access; cleaning/maintenance coordination; incident reporting,Work orders; checks; logs; incident records,"Perform Inspections; reactive tasks; access; cleaning/maintenance coordination; incident reporting using specialist authoring, calculation, field or business systems; create and exchange Work orders; checks; logs; incident records.","Provide native job workspace for Inspections; reactive tasks; access; cleaning/maintenance coordination; incident reporting; create/control Work orders; checks; logs; incident records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-013,CBE-JP-013,Carpenter,D07,F09;F10;F12;F13;F23;F26;F27,Construction,Job planning; setting out; fabrication; installation; materials; quality,Work orders; cut lists; material usage; photos,"Perform Job planning; setting out; fabrication; installation; materials; quality using specialist authoring, calculation, field or business systems; create and exchange Work orders; cut lists; material usage; photos.","Provide native job workspace for Job planning; setting out; fabrication; installation; materials; quality; create/control Work orders; cut lists; material usage; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-014,CBE-JP-014,Carpet fitter and floor layer,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out,Site measure; product selection; preparation; installation; snagging,Measurements; material schedules; work orders; completion records,"Perform Site measure; product selection; preparation; installation; snagging using specialist authoring, calculation, field or business systems; create and exchange Measurements; material schedules; work orders; completion records.","Provide native job workspace for Site measure; product selection; preparation; installation; snagging; create/control Measurements; material schedules; work orders; completion records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-015,CBE-JP-015,Cartographer,D05,F05;F17;F19;F22;F26;F27,Survey; Planning; Design,Spatial data management; map production; revisions; exports,Maps; datasets; layers; metadata,"Perform Spatial data management; map production; revisions; exports using specialist authoring, calculation, field or business systems; create and exchange Maps; datasets; layers; metadata.","Provide native job workspace for Spatial data management; map production; revisions; exports; create/control Maps; datasets; layers; metadata as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-016,CBE-JP-016,Cavity insulation installer,D09,F05;F12;F13;F22;F23;F26;F27,Retrofit; Completion,Survey; suitability checks; installation; materials; photos; completion evidence,Survey records; installation records; certificates; photos,"Perform Survey; suitability checks; installation; materials; photos; completion evidence using specialist authoring, calculation, field or business systems; create and exchange Survey records; installation records; certificates; photos.","Provide native job workspace for Survey; suitability checks; installation; materials; photos; completion evidence; create/control Survey records; installation records; certificates; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-017,CBE-JP-017,Ceiling fixer,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out,Take-off; layout; installation; materials; progress; snagging,Work orders; material usage; photos; defects,"Perform Take-off; layout; installation; materials; progress; snagging using specialist authoring, calculation, field or business systems; create and exchange Work orders; material usage; photos; defects.","Provide native job workspace for Take-off; layout; installation; materials; progress; snagging; create/control Work orders; material usage; photos; defects as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-018,CBE-JP-018,Civil engineer,D02,F05;F13;F19;F23;F26;F27,Feasibility; Design; Construction,Civil design; calculations; specifications; coordination; site queries; inspections,Designs; calculations; specifications; RFIs; inspection records,"Perform Civil design; calculations; specifications; coordination; site queries; inspections using specialist authoring, calculation, field or business systems; create and exchange Designs; calculations; specifications; RFIs; inspection records.","Provide native job workspace for Civil design; calculations; specifications; coordination; site queries; inspections; create/control Designs; calculations; specifications; RFIs; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-019,CBE-JP-019,Civil engineering technician,D02,F05;F13;F19;F23;F26;F27,Design; Construction,CAD/BIM support; surveys; calculations; drawings; records,Drawings; models; survey data; schedules,"Perform CAD/BIM support; surveys; calculations; drawings; records using specialist authoring, calculation, field or business systems; create and exchange Drawings; models; survey data; schedules.","Provide native job workspace for CAD/BIM support; surveys; calculations; drawings; records; create/control Drawings; models; survey data; schedules as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-020,CBE-JP-020,Commercial energy assessor,D09,F05;F12;F13;F22;F23;F26;F27,Survey; Assessment; Certification,Property data capture; energy assessment; evidence; certificate workflow,Assessment records; evidence; EPC-related outputs,"Perform Property data capture; energy assessment; evidence; certificate workflow using specialist authoring, calculation, field or business systems; create and exchange Assessment records; evidence; EPC-related outputs.","Provide native job workspace for Property data capture; energy assessment; evidence; certificate workflow; create/control Assessment records; evidence; EPC-related outputs as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-021,CBE-JP-021,Conservator,D13,F05;F12;F13;F19;F22;F23;F26;F27,Survey; Conservation; Maintenance,Condition assessment; conservation plan; treatment records; provenance/evidence,Condition reports; treatment plans; photos; conservation records,"Perform Condition assessment; conservation plan; treatment records; provenance/evidence using specialist authoring, calculation, field or business systems; create and exchange Condition reports; treatment plans; photos; conservation records.","Provide native job workspace for Condition assessment; conservation plan; treatment records; provenance/evidence; create/control Condition reports; treatment plans; photos; conservation records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-022,CBE-JP-022,Construction contracts manager,D04,F07;F09;F14;F19;F20;F26;F27,Pre-contract; Construction; Closeout,Contract register; obligations; notices; change; payment; claims; correspondence,Contracts; notices; instructions; variations; payment records,"Perform Contract register; obligations; notices; change; payment; claims; correspondence using specialist authoring, calculation, field or business systems; create and exchange Contracts; notices; instructions; variations; payment records.","Provide native job workspace for Contract register; obligations; notices; change; payment; claims; correspondence; create/control Contracts; notices; instructions; variations; payment records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-023,CBE-JP-023,Construction labourer,D06,F09;F10;F12;F13;F23;F26;F27,Construction,Task allocation; attendance; inductions; daily work; equipment; safety records,Timesheets; task records; inductions; site diary entries,"Perform Task allocation; attendance; inductions; daily work; equipment; safety records using specialist authoring, calculation, field or business systems; create and exchange Timesheets; task records; inductions; site diary entries.","Provide native job workspace for Task allocation; attendance; inductions; daily work; equipment; safety records; create/control Timesheets; task records; inductions; site diary entries as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
