capability_id,function_code,function_name,l2_id,l2_name,activity_sequence,activity_name,work_pattern,native_engine_ids,shared_platform_engine_ids,canonical_object_mapping_status,implementation_reconciliation_status,effective_date
"NCC-F01.04-001","F01","Strategy & Enterprise Planning","F01.04","Business planning","1","Create annual plans","PLAN_OPTIMISE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.04-002","F01","Strategy & Enterprise Planning","F01.04","Business planning","2","establish business-unit plans","PLAN_OPTIMISE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.04-003","F01","Strategy & Enterprise Planning","F01.04","Business planning","3","define initiatives","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.04-004","F01","Strategy & Enterprise Planning","F01.04","Business planning","4","assign ownership","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.04-005","F01","Strategy & Enterprise Planning","F01.04","Business planning","5","approve plans","GOVERN_DECIDE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.05-001","F01","Strategy & Enterprise Planning","F01.05","Operating model","1","Define organisational capabilities","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.05-002","F01","Strategy & Enterprise Planning","F01.05","Operating model","2","design structures","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.05-003","F01","Strategy & Enterprise Planning","F01.05","Operating model","3","determine centralisation/decentralisation","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.05-004","F01","Strategy & Enterprise Planning","F01.05","Operating model","4","establish shared services","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.05-005","F01","Strategy & Enterprise Planning","F01.05","Operating model","5","define accountabilities","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.06-001","F01","Strategy & Enterprise Planning","F01.06","Goal & KPI management","1","Define KPIs","AUTHOR_CREATE","NTE-011;NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.06-002","F01","Strategy & Enterprise Planning","F01.06","Goal & KPI management","2","set targets","OPERATE","NTE-011;NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.06-003","F01","Strategy & Enterprise Planning","F01.06","Goal & KPI management","3","establish baselines","AUTHOR_CREATE","NTE-011;NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.06-004","F01","Strategy & Enterprise Planning","F01.06","Goal & KPI management","4","monitor performance","ANALYSE","NTE-011;NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.06-005","F01","Strategy & Enterprise Planning","F01.06","Goal & KPI management","5","analyse variance","ANALYSE","NTE-011;NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.06-006","F01","Strategy & Enterprise Planning","F01.06","Goal & KPI management","6","initiate corrective action","EXCEPTION_IMPROVE","NTE-011;NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.07-001","F01","Strategy & Enterprise Planning","F01.07","Strategic review","1","Conduct strategy reviews","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.07-002","F01","Strategy & Enterprise Planning","F01.07","Strategic review","2","reassess assumptions","ANALYSE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.07-003","F01","Strategy & Enterprise Planning","F01.07","Strategic review","3","evaluate progress","ANALYSE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.07-004","F01","Strategy & Enterprise Planning","F01.07","Strategic review","4","reprioritise initiatives","PLAN_OPTIMISE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.07-005","F01","Strategy & Enterprise Planning","F01.07","Strategic review","5","adjust strategy","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.08-001","F01","Strategy & Enterprise Planning","F01.08","Scenario & foresight planning","1","Develop scenarios","PLAN_OPTIMISE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.08-002","F01","Strategy & Enterprise Planning","F01.08","Scenario & foresight planning","2","model future conditions","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.08-003","F01","Strategy & Enterprise Planning","F01.08","Scenario & foresight planning","3","conduct sensitivity analysis","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.08-004","F01","Strategy & Enterprise Planning","F01.08","Scenario & foresight planning","4","develop contingency strategies","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.01-001","F02","Corporate Governance","F02.01","Board governance","1","Schedule meetings","PLAN_OPTIMISE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.01-002","F02","Corporate Governance","F02.01","Board governance","2","prepare board packs","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.01-003","F02","Corporate Governance","F02.01","Board governance","3","record minutes","OPERATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.01-004","F02","Corporate Governance","F02.01","Board governance","4","manage resolutions","OPERATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.01-005","F02","Corporate Governance","F02.01","Board governance","5","monitor actions","ANALYSE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.02-001","F02","Corporate Governance","F02.02","Governance framework","1","Establish governance policies","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.02-002","F02","Corporate Governance","F02.02","Governance framework","2","define authorities","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.02-003","F02","Corporate Governance","F02.02","Governance framework","3","assign decision rights","GOVERN_DECIDE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.02-004","F02","Corporate Governance","F02.02","Governance framework","4","maintain governance structure","OPERATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.03-001","F02","Corporate Governance","F02.03","Delegation of authority","1","Define approval thresholds","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.03-002","F02","Corporate Governance","F02.03","Delegation of authority","2","assign authorities","OPERATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.03-003","F02","Corporate Governance","F02.03","Delegation of authority","3","maintain delegation matrix","OPERATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.03-004","F02","Corporate Governance","F02.03","Delegation of authority","4","monitor compliance","ANALYSE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.04-001","F02","Corporate Governance","F02.04","Executive management","1","Conduct executive reviews","OPERATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.04-002","F02","Corporate Governance","F02.04","Executive management","2","make enterprise decisions","GOVERN_DECIDE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.04-003","F02","Corporate Governance","F02.04","Executive management","3","resolve escalations","EXCEPTION_IMPROVE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.04-004","F02","Corporate Governance","F02.04","Executive management","4","approve investments","GOVERN_DECIDE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.05-001","F02","Corporate Governance","F02.05","Committee governance","1","Establish committees","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.05-002","F02","Corporate Governance","F02.05","Committee governance","2","define terms of reference","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.05-003","F02","Corporate Governance","F02.05","Committee governance","3","schedule meetings","PLAN_OPTIMISE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.05-004","F02","Corporate Governance","F02.05","Committee governance","4","record decisions","GOVERN_DECIDE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.05-005","F02","Corporate Governance","F02.05","Committee governance","5","track actions","ANALYSE","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.06-001","F02","Corporate Governance","F02.06","Policy governance","1","Draft policies","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.06-002","F02","Corporate Governance","F02.06","Policy governance","2","review policies","OPERATE","NTE-012;NTE-002;NTE-004;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.06-003","F02","Corporate Governance","F02.06","Policy governance","3","obtain approvals","OPERATE","NTE-012;NTE-002;NTE-004;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.06-004","F02","Corporate Governance","F02.06","Policy governance","4","publish policies","COMMUNICATE_PUBLISH","NTE-012;NTE-002;NTE-004;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.06-005","F02","Corporate Governance","F02.06","Policy governance","5","monitor adherence","ANALYSE","NTE-012;NTE-002;NTE-004;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.07-001","F02","Corporate Governance","F02.07","Ethics governance","1","Establish code of conduct","AUTHOR_CREATE","NTE-012;NTE-002;NTE-004;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.07-002","F02","Corporate Governance","F02.07","Ethics governance","2","manage declarations","OPERATE","NTE-012;NTE-002;NTE-004;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.07-003","F02","Corporate Governance","F02.07","Ethics governance","3","monitor ethical issues","ANALYSE","NTE-012;NTE-002;NTE-004;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F02.07-004","F02","Corporate Governance","F02.07","Ethics governance","4","investigate breaches","EXCEPTION_IMPROVE","NTE-012;NTE-002;NTE-004;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.01-001","F03","Enterprise Performance Management","F03.01","Performance framework","1","Establish scorecards","ANALYSE","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.01-002","F03","Enterprise Performance Management","F03.01","Performance framework","2","define performance hierarchy","AUTHOR_CREATE","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.01-003","F03","Enterprise Performance Management","F03.01","Performance framework","3","map KPIs to objectives","AUTHOR_CREATE","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.02-001","F03","Enterprise Performance Management","F03.02","Performance reporting","1","Collect performance data","OPERATE","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.02-002","F03","Enterprise Performance Management","F03.02","Performance reporting","2","calculate metrics","ANALYSE","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.02-003","F03","Enterprise Performance Management","F03.02","Performance reporting","3","publish dashboards","COMMUNICATE_PUBLISH","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.02-004","F03","Enterprise Performance Management","F03.02","Performance reporting","4","distribute reports","COMMUNICATE_PUBLISH","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F03.03-001","F03","Enterprise Performance Management","F03.03","Variance management","1","Identify variance","OPERATE","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
