l2_id,function_code,function_name,l2_name,activity_count,native_engine_ids,shared_platform_engine_ids,mapping_status,effective_date
"F02.03","F02","Corporate Governance","Delegation of authority","4","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F02.04","F02","Corporate Governance","Executive management","4","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F02.05","F02","Corporate Governance","Committee governance","5","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F02.06","F02","Corporate Governance","Policy governance","5","NTE-012;NTE-002;NTE-004;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F02.07","F02","Corporate Governance","Ethics governance","4","NTE-012;NTE-002;NTE-004;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F03.01","F03","Enterprise Performance Management","Performance framework","3","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F03.02","F03","Enterprise Performance Management","Performance reporting","4","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F03.03","F03","Enterprise Performance Management","Variance management","4","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F03.04","F03","Enterprise Performance Management","Management review","4","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F03.05","F03","Enterprise Performance Management","Benchmarking","4","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F03.06","F03","Enterprise Performance Management","Benefits realisation","5","NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F04.01","F04","Corporate Development & M&A","Opportunity identification","3","NTE-014","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F04.02","F04","Corporate Development & M&A","Valuation","4","NTE-014;NTE-026","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F04.03","F04","Corporate Development & M&A","Due diligence","7","NTE-014;NTE-037;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F04.04","F04","Corporate Development & M&A","Transaction management","5","NTE-014","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F04.05","F04","Corporate Development & M&A","Integration","4","NTE-014;NTE-046","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F04.06","F04","Corporate Development & M&A","Divestiture","5","NTE-014;NTE-046","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F04.07","F04","Corporate Development & M&A","Strategic partnerships","5","NTE-014","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.01","F05","Product, Service & Innovation Management","Portfolio strategy","5","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.02","F05","Product, Service & Innovation Management","Market/customer needs","4","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.03","F05","Product, Service & Innovation Management","Product/service ideation","5","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.04","F05","Product, Service & Innovation Management","Business case development","5","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.05","F05","Product, Service & Innovation Management","Product/service design","5","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.06","F05","Product, Service & Innovation Management","Development","4","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.07","F05","Product, Service & Innovation Management","Launch management","5","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.08","F05","Product, Service & Innovation Management","Lifecycle management","4","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.09","F05","Product, Service & Innovation Management","Product retirement","5","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F05.10","F05","Product, Service & Innovation Management","Innovation management","4","NTE-015;NTE-006","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.01","F06","Marketing & Brand","Market intelligence","4","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.02","F06","Marketing & Brand","Customer segmentation","4","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.03","F06","Marketing & Brand","Brand management","4","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.04","F06","Marketing & Brand","Marketing strategy","4","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.05","F06","Marketing & Brand","Campaign management","6","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.06","F06","Marketing & Brand","Digital marketing","6","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.07","F06","Marketing & Brand","Content marketing","5","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.08","F06","Marketing & Brand","Events","5","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.09","F06","Marketing & Brand","Lead generation","5","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.10","F06","Marketing & Brand","Marketing analytics","6","NTE-016;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F06.11","F06","Marketing & Brand","Market communications","4","NTE-016","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.01","F07","Sales & Commercial Management","Sales strategy","6","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.02","F07","Sales & Commercial Management","Account management","4","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.03","F07","Sales & Commercial Management","Opportunity management","6","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.04","F07","Sales & Commercial Management","Pipeline management","4","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.05","F07","Sales & Commercial Management","Pricing","5","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.06","F07","Sales & Commercial Management","Quotation","5","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.07","F07","Sales & Commercial Management","Proposal/bid management","5","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.08","F07","Sales & Commercial Management","Contract negotiation","6","NTE-017;NTE-018;NTE-036","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.09","F07","Sales & Commercial Management","Sales order management","6","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.10","F07","Sales & Commercial Management","Channel/partner sales","5","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.11","F07","Sales & Commercial Management","Sales compensation","4","NTE-017;NTE-018","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.12","F07","Sales & Commercial Management","Sales forecasting","4","NTE-017;NTE-018;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F07.13","F07","Sales & Commercial Management","Sales performance","6","NTE-017;NTE-018;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.01","F08","Customer Service, Experience & Success","Customer onboarding","5","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.02","F08","Customer Service, Experience & Success","Customer enquiry management","6","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.03","F08","Customer Service, Experience & Success","Case management","6","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.04","F08","Customer Service, Experience & Success","Complaint management","5","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.05","F08","Customer Service, Experience & Success","Technical support","5","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.06","F08","Customer Service, Experience & Success","Returns/refunds","5","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.07","F08","Customer Service, Experience & Success","Warranty","4","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.08","F08","Customer Service, Experience & Success","Customer success","4","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.09","F08","Customer Service, Experience & Success","Retention","4","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.10","F08","Customer Service, Experience & Success","Customer feedback","4","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.11","F08","Customer Service, Experience & Success","Customer knowledge","4","NTE-019;NTE-043","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F08.12","F08","Customer Service, Experience & Success","Service-level management","4","NTE-019","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.01","F09","Procurement & Supplier Management","Procurement strategy","4","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.02","F09","Procurement & Supplier Management","Category management","4","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.03","F09","Procurement & Supplier Management","Supplier discovery","4","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.04","F09","Procurement & Supplier Management","Sourcing","4","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.05","F09","Procurement & Supplier Management","Supplier negotiation","5","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.06","F09","Procurement & Supplier Management","Contracting","6","NTE-020;NTE-036","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.07","F09","Procurement & Supplier Management","Supplier onboarding","4","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.08","F09","Procurement & Supplier Management","Requisitioning","4","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.09","F09","Procurement & Supplier Management","Purchase ordering","5","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.10","F09","Procurement & Supplier Management","Supplier performance","5","NTE-020;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.11","F09","Procurement & Supplier Management","Supplier risk","3","NTE-020;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.12","F09","Procurement & Supplier Management","Supplier relationship management","4","NTE-020","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F09.13","F09","Procurement & Supplier Management","Procurement analytics","5","NTE-020;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.01","F10","Demand, Supply Chain & Logistics","Demand planning","4","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.02","F10","Demand, Supply Chain & Logistics","Sales & operations planning","4","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.03","F10","Demand, Supply Chain & Logistics","Supply planning","3","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.04","F10","Demand, Supply Chain & Logistics","Inventory planning","4","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.05","F10","Demand, Supply Chain & Logistics","Material requirements","3","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.06","F10","Demand, Supply Chain & Logistics","Warehouse management","7","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.07","F10","Demand, Supply Chain & Logistics","Inventory control","4","NTE-021;NTE-022;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.08","F10","Demand, Supply Chain & Logistics","Transport management","5","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.09","F10","Demand, Supply Chain & Logistics","Distribution","4","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.10","F10","Demand, Supply Chain & Logistics","Import/export","4","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.11","F10","Demand, Supply Chain & Logistics","Reverse logistics","6","NTE-021;NTE-022","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.12","F10","Demand, Supply Chain & Logistics","Supply chain analytics","5","NTE-021;NTE-022;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F10.13","F10","Demand, Supply Chain & Logistics","Supply chain risk","4","NTE-021;NTE-022;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.01","F11","Manufacturing / Production Operations","Production planning","4","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.02","F11","Manufacturing / Production Operations","Production scheduling","4","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.03","F11","Manufacturing / Production Operations","Material staging","4","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.04","F11","Manufacturing / Production Operations","Production execution","4","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.05","F11","Manufacturing / Production Operations","Process control","3","NTE-023;NTE-037","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.06","F11","Manufacturing / Production Operations","Work-in-progress","4","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.07","F11","Manufacturing / Production Operations","Packaging","5","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.08","F11","Manufacturing / Production Operations","Production reporting","6","NTE-023;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.09","F11","Manufacturing / Production Operations","Capacity management","4","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.10","F11","Manufacturing / Production Operations","Maintenance coordination","3","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F11.11","F11","Manufacturing / Production Operations","Lean operations","4","NTE-023","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F12.01","F12","Service Delivery & Field Operations","Service planning","4","NTE-024","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F12.02","F12","Service Delivery & Field Operations","Service scheduling","3","NTE-024","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F12.03","F12","Service Delivery & Field Operations","Resource dispatch","4","NTE-024;NTE-035","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F12.04","F12","Service Delivery & Field Operations","Service execution","4","NTE-024","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F12.05","F12","Service Delivery & Field Operations","Field service","5","NTE-024","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F12.06","F12","Service Delivery & Field Operations","Professional services","4","NTE-024","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F12.07","F12","Service Delivery & Field Operations","Service acceptance","4","NTE-024","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
