engine_id,engine_name,primary_function_codes,domain_model_state,persistence_state,user_experience_state,overall_capability_state,backend_evidence_paths,ui_evidence_path,reconciled_date
"NTE-011","Strategy, Scenario & Enterprise Planning","F01","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-012","Meeting, Collaboration & Governance","F02","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD__COLLABORATION_AND_GOVERNANCE","", "apps/web/src/routes/+page.svelte","2026-09-23"
"NTE-013","Performance, KPI & Benefits","F03","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-014","Deal, M&A & Corporate Development","F04","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-015","Product, Service & Innovation Lifecycle","F05","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-016","Marketing, Campaign & Brand","F06","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-017","CRM, Opportunity & Account","F07","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-018","Pricing, CPQ, Bid & Sales Order","F07","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-019","Customer Service, Case & Success","F08","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-020","Supplier, Sourcing & Procurement","F09","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-021","Demand, Supply & MRP Planning","F10","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-022","Inventory, Warehouse & Logistics","F10","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-023","Manufacturing & Production Execution","F11","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-024","Service Planning, Dispatch & Field Execution","F12","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-025","Quality, Inspection, Test & CAPA","F13","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-026","Accounting, Ledger & Financial Close","F14","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-027","Treasury, Cash & Tax","F14","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-028","Workforce, HCM, Payroll & Talent","F15","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-029","IT Service & Configuration Management","F16","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-030","DevOps, Platform & Endpoint Operations","F16","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-031","Data Integration, Engineering & Lakehouse","F17","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-032","Master Data, Catalogue & Governance","F17","PARTIAL_BACKEND","PARTIAL_BACKEND","METADATA_GOVERNANCE_WORKSPACE_EXPOSED","PARTIAL__GOVERNED_METADATA_IMPLEMENTED_MASTER_REFERENCE_CATALOGUE_STEWARDSHIP_GAPS_REMAIN","packages/kernel/src/metadata.ts; packages/kernel/src/metadata-factories.ts; packages/persistence/migrations/0031_metadata_governance.sql; packages/persistence/src/metadata-repository.ts; packages/persistence/src/metadata-administration-command-service.ts; packages/persistence/src/metadata-administration-read-repository.ts","apps/web/src/routes/app/metadata/+page.svelte; apps/web/src/routes/app/metadata/+page.server.ts","2026-09-23"
"NTE-033","BI, Semantic Analytics & Reporting","F17","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-034","AI, ML, Agents & Model Governance","F17","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-035","Cybersecurity Operations & Exposure","F18","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-036","Legal Matter, Contract & Entity","F19","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-037","Risk, Compliance, Control & Audit","F20","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-038","Privacy & Information Governance","F21","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-039","Asset, Property, Facilities & Maintenance","F22","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-040","HSE, Permit, Environment & ESG","F23","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-041","Continuity, Crisis & Physical Security","F24","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-042","Communications, Media, Public Affairs & IR","F25","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-043","Knowledge, Document, Records & CDE","F26","PARTIAL_DOMAIN","PARTIAL_DOMAIN","NOT_EXPOSED_IN_WEB_APP","PARTIAL_DOMAIN__USER_EXECUTION_GAP","packages/kernel/src/information.ts; packages/kernel/src/deliverables.ts; packages/persistence/src/information-repository.ts; packages/persistence/src/deliverable-repository.ts","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-044","Portfolio, Programme, Project & Resource","F27","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-045","Project Controls, CPM, 4D & EVM","F27","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-046","Transformation, Change & Adoption","F28","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-047","Process Architecture, BPMN/DMN & Orchestration","F29","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-048","Process Mining & Continuous Improvement","F29","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-049","CAD, BIM & Parametric Design Authoring","F05;F26;F27","FOUNDATION_ONLY","FOUNDATION_ONLY","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","packages/kernel/src/industry.ts; packages/persistence/migrations/0012_construction_industry_solution.sql; packages/persistence/migrations/0014_construction_job_capabilities.sql","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-050","Engineering Analysis & Calculation","F05;F27","FOUNDATION_ONLY","FOUNDATION_ONLY","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","packages/kernel/src/industry.ts; packages/persistence/migrations/0012_construction_industry_solution.sql; packages/persistence/migrations/0014_construction_job_capabilities.sql","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-051","Survey, GIS & Reality Capture","F22;F27","FOUNDATION_ONLY","FOUNDATION_ONLY","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","packages/kernel/src/industry.ts; packages/persistence/migrations/0012_construction_industry_solution.sql; packages/persistence/migrations/0014_construction_job_capabilities.sql","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-052","Estimating, Measurement, Cost Planning & BoQ","F07;F27","PARTIAL_DOMAIN","PARTIAL_DOMAIN","NOT_EXPOSED_IN_WEB_APP","PARTIAL_DOMAIN__USER_EXECUTION_GAP","packages/kernel/src/commercial.ts; packages/persistence/migrations/0015_construction_commercial_control.sql; packages/persistence/src/commercial-repository.ts","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-053","Construction Commercial & Contract Administration","F07;F19;F27","PARTIAL_DOMAIN","PARTIAL_DOMAIN","NOT_EXPOSED_IN_WEB_APP","PARTIAL_DOMAIN__USER_EXECUTION_GAP","packages/kernel/src/commercial.ts; packages/kernel/src/commercial.test.ts; packages/persistence/migrations/0015_construction_commercial_control.sql; packages/persistence/src/commercial-repository.ts","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-054","Construction Site Production & Field Evidence","F12;F27","FOUNDATION_ONLY","FOUNDATION_ONLY","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","packages/kernel/src/industry.ts; packages/persistence/migrations/0012_construction_industry_solution.sql; packages/persistence/migrations/0014_construction_job_capabilities.sql","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-055","Fabrication & Off-site Production","F11;F27","FOUNDATION_ONLY","FOUNDATION_ONLY","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","packages/kernel/src/industry.ts; packages/persistence/migrations/0012_construction_industry_solution.sql; packages/persistence/migrations/0014_construction_job_capabilities.sql","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-056","Commissioning, Handover & Asset Information","F22;F27","FOUNDATION_ONLY","FOUNDATION_ONLY","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","packages/kernel/src/industry.ts; packages/persistence/migrations/0012_construction_industry_solution.sql; packages/persistence/migrations/0014_construction_job_capabilities.sql","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-057","Digital Twin & Operational Asset Information","F22","FOUNDATION_ONLY","FOUNDATION_ONLY","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","packages/kernel/src/industry.ts; packages/persistence/migrations/0012_construction_industry_solution.sql; packages/persistence/migrations/0014_construction_job_capabilities.sql","apps/web/src/routes/+page.svelte","2026-09-21"
"NTE-058","Platform Extension & Configuration Governance","F16;F17","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","EXTENSION_AND_CONFIGURATION_PROMOTION_WORKSPACES_EXPOSED","BACKEND_IMPLEMENTED__USER_EXECUTABLE_CORE","packages/kernel/src/extension.ts; packages/kernel/src/extension-factories.ts; packages/kernel/src/configuration-promotion.ts; packages/kernel/src/configuration-promotion-factories.ts; packages/persistence/migrations/0036_extension_governance.sql; packages/persistence/migrations/0037_configuration_promotion.sql; packages/persistence/src/extension-repository.ts; packages/persistence/src/extension-command-service.ts; packages/persistence/src/extension-read-repository.ts; packages/persistence/src/configuration-promotion-repository.ts; packages/persistence/src/configuration-promotion-command-service.ts; packages/persistence/src/configuration-promotion-read-repository.ts","apps/web/src/routes/app/extensions/+page.svelte; apps/web/src/routes/app/extensions/+page.server.ts; apps/web/src/routes/app/configuration-promotion/+page.svelte; apps/web/src/routes/app/configuration-promotion/+page.server.ts","2026-09-24"
