source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F15.11-PROFESSIONAL,Compensation Specialist,professional,JF-F15,F15,F15.11,4,"Compensation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.12-PROFESSIONAL,Benefits Specialist,professional,JF-F15,F15,F15.12,3,"Benefits plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.13-PROFESSIONAL,Performance Management Specialist,professional,JF-F15,F15,F15.13,5,"Performance Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.14-PROFESSIONAL,Learning & Development Specialist,professional,JF-F15,F15,F15.14,5,"Learning & Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.15-PROFESSIONAL,Talent Management Specialist,professional,JF-F15,F15,F15.15,4,"Talent Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.16-PROFESSIONAL,Employee Engagement Specialist,professional,JF-F15,F15,F15.16,3,"Employee Engagement plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.17-PROFESSIONAL,Employee Relations Specialist,professional,JF-F15,F15,F15.17,4,"Employee Relations plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.18-PROFESSIONAL,Absence Management Specialist,professional,JF-F15,F15,F15.18,3,"Absence Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.19-PROFESSIONAL,Employee Offboarding Specialist,professional,JF-F15,F15,F15.19,5,"Offboarding plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.20-PROFESSIONAL,People Analytics Specialist,professional,JF-F15,F15,F15.20,6,"HR Analytics plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
