candidate_key,family_id,family_name,canonical_name,semantic_kind,maturity,source
BOF-02-010,BOF-02,"Strategy, governance and enterprise performance",Performance Observation,event / evidence,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-011,BOF-02,"Strategy, governance and enterprise performance",Performance Snapshot,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-012,BOF-02,"Strategy, governance and enterprise performance",Strategic Review,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-013,BOF-02,"Strategy, governance and enterprise performance",Governance Body,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-014,BOF-02,"Strategy, governance and enterprise performance",Meeting,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-015,BOF-02,"Strategy, governance and enterprise performance",Agenda Item,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-016,BOF-02,"Strategy, governance and enterprise performance",Decision,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-017,BOF-02,"Strategy, governance and enterprise performance",Action,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-018,BOF-02,"Strategy, governance and enterprise performance",Policy,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-019,BOF-02,"Strategy, governance and enterprise performance",Authority Framework,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-020,BOF-02,"Strategy, governance and enterprise performance",Governance Record,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-001,BOF-03,"Market, CRM, business development and customer",Market Insight,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-002,BOF-03,"Market, CRM, business development and customer",Market Segment,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-003,BOF-03,"Market, CRM, business development and customer",Account Relationship,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-004,BOF-03,"Market, CRM, business development and customer",Account Plan,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-005,BOF-03,"Market, CRM, business development and customer",Interaction,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-006,BOF-03,"Market, CRM, business development and customer",Activity,work / execution,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-007,BOF-03,"Market, CRM, business development and customer",Lead,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-008,BOF-03,"Market, CRM, business development and customer",Opportunity,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-009,BOF-03,"Market, CRM, business development and customer",Pursuit,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-010,BOF-03,"Market, CRM, business development and customer",Bid/No-Bid Decision,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-011,BOF-03,"Market, CRM, business development and customer",Pipeline Snapshot,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-012,BOF-03,"Market, CRM, business development and customer",Forecast Snapshot,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-013,BOF-03,"Market, CRM, business development and customer",Customer Onboarding,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-014,BOF-03,"Market, CRM, business development and customer",Customer Case,case,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-015,BOF-03,"Market, CRM, business development and customer",Complaint,case,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-016,BOF-03,"Market, CRM, business development and customer",Customer Relationship,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-03-017,BOF-03,"Market, CRM, business development and customer",Service Relationship,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-001,BOF-04,"Land, development, investment and property acquisition",Development Opportunity,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-002,BOF-04,"Land, development, investment and property acquisition",Investment Case,case,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-003,BOF-04,"Land, development, investment and property acquisition",Business Case,case,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-004,BOF-04,"Land, development, investment and property acquisition",Development Appraisal,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-005,BOF-04,"Land, development, investment and property acquisition",Option,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-006,BOF-04,"Land, development, investment and property acquisition",Site Appraisal,asset / technical object,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-007,BOF-04,"Land, development, investment and property acquisition",Land Parcel,asset / technical object,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-008,BOF-04,"Land, development, investment and property acquisition",Property Interest,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-009,BOF-04,"Land, development, investment and property acquisition",Ownership Interest,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-010,BOF-04,"Land, development, investment and property acquisition",Occupation Interest,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-011,BOF-04,"Land, development, investment and property acquisition",Constraint,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-012,BOF-04,"Land, development, investment and property acquisition",Valuation,transaction,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-013,BOF-04,"Land, development, investment and property acquisition",Survey,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-014,BOF-04,"Land, development, investment and property acquisition",Planning Application,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-015,BOF-04,"Land, development, investment and property acquisition",Consent,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-016,BOF-04,"Land, development, investment and property acquisition",Planning Condition,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-017,BOF-04,"Land, development, investment and property acquisition",Planning Obligation,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-018,BOF-04,"Land, development, investment and property acquisition",Funding Evidence,event / evidence,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-04-019,BOF-04,"Land, development, investment and property acquisition",Grant Evidence,event / evidence,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-001,BOF-05,"Estimating, measurement, tendering, proposals and sales",Enquiry,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-002,BOF-05,"Estimating, measurement, tendering, proposals and sales",Invitation to Tender,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-003,BOF-05,"Estimating, measurement, tendering, proposals and sales",Estimate,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-004,BOF-05,"Estimating, measurement, tendering, proposals and sales",Estimate Version,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-005,BOF-05,"Estimating, measurement, tendering, proposals and sales",Estimate Breakdown Item,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-006,BOF-05,"Estimating, measurement, tendering, proposals and sales",Take-off,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-007,BOF-05,"Estimating, measurement, tendering, proposals and sales",Measurement Item,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-008,BOF-05,"Estimating, measurement, tendering, proposals and sales",Resource Build-up,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-009,BOF-05,"Estimating, measurement, tendering, proposals and sales",Rate,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-010,BOF-05,"Estimating, measurement, tendering, proposals and sales",Preliminaries,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-011,BOF-05,"Estimating, measurement, tendering, proposals and sales",Allowance,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-012,BOF-05,"Estimating, measurement, tendering, proposals and sales",Contingency,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-013,BOF-05,"Estimating, measurement, tendering, proposals and sales",Tender Package,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-014,BOF-05,"Estimating, measurement, tendering, proposals and sales",Supplier Enquiry,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-015,BOF-05,"Estimating, measurement, tendering, proposals and sales",Subcontract Enquiry,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-016,BOF-05,"Estimating, measurement, tendering, proposals and sales",Quote Return,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-017,BOF-05,"Estimating, measurement, tendering, proposals and sales",Bid Return,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-018,BOF-05,"Estimating, measurement, tendering, proposals and sales",Comparison,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-019,BOF-05,"Estimating, measurement, tendering, proposals and sales",Tender Adjudication,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-020,BOF-05,"Estimating, measurement, tendering, proposals and sales",Proposal,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-021,BOF-05,"Estimating, measurement, tendering, proposals and sales",Quotation,transaction,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-022,BOF-05,"Estimating, measurement, tendering, proposals and sales",Sales Order,transaction,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-05-023,BOF-05,"Estimating, measurement, tendering, proposals and sales",Acceptance,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-001,BOF-06,"Portfolio, programme, project and project controls",Portfolio,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-002,BOF-06,"Portfolio, programme, project and project controls",Programme,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-003,BOF-06,"Portfolio, programme, project and project controls",Project,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-004,BOF-06,"Portfolio, programme, project and project controls",Job,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-005,BOF-06,"Portfolio, programme, project and project controls",Project Charter,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-006,BOF-06,"Portfolio, programme, project and project controls",Phase,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-007,BOF-06,"Portfolio, programme, project and project controls",Stage,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-008,BOF-06,"Portfolio, programme, project and project controls",WBS Element,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-009,BOF-06,"Portfolio, programme, project and project controls",Work Package,work / execution,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-010,BOF-06,"Portfolio, programme, project and project controls",Task,work / execution,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-011,BOF-06,"Portfolio, programme, project and project controls",Activity,work / execution,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-012,BOF-06,"Portfolio, programme, project and project controls",Milestone,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-013,BOF-06,"Portfolio, programme, project and project controls",Schedule,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-014,BOF-06,"Portfolio, programme, project and project controls",Schedule Baseline,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-015,BOF-06,"Portfolio, programme, project and project controls",Dependency,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-016,BOF-06,"Portfolio, programme, project and project controls",Progress Record,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-017,BOF-06,"Portfolio, programme, project and project controls",Resource Requirement,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-018,BOF-06,"Portfolio, programme, project and project controls",Resource Allocation,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-019,BOF-06,"Portfolio, programme, project and project controls",Project Participant,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-020,BOF-06,"Portfolio, programme, project and project controls",Responsibility Assignment,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-021,BOF-06,"Portfolio, programme, project and project controls",Project Risk,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-022,BOF-06,"Portfolio, programme, project and project controls",Issue,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-023,BOF-06,"Portfolio, programme, project and project controls",Decision,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-024,BOF-06,"Portfolio, programme, project and project controls",Action,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-025,BOF-06,"Portfolio, programme, project and project controls",Constraint,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-026,BOF-06,"Portfolio, programme, project and project controls",Change Request,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-027,BOF-06,"Portfolio, programme, project and project controls",Status Report,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-028,BOF-06,"Portfolio, programme, project and project controls",Gate Review,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-029,BOF-06,"Portfolio, programme, project and project controls",Handover,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-06-030,BOF-06,"Portfolio, programme, project and project controls",Closure,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-001,BOF-07,"Design, engineering, BIM and information management",Information Requirement,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-002,BOF-07,"Design, engineering, BIM and information management",Project Information Requirement,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-003,BOF-07,"Design, engineering, BIM and information management",Asset Information Requirement,asset / technical object,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-004,BOF-07,"Design, engineering, BIM and information management",Deliverable,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-005,BOF-07,"Design, engineering, BIM and information management",Responsibility Assignment,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-006,BOF-07,"Design, engineering, BIM and information management",Information Delivery Plan,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-007,BOF-07,"Design, engineering, BIM and information management",Information Container,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-008,BOF-07,"Design, engineering, BIM and information management",Document,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-009,BOF-07,"Design, engineering, BIM and information management",Drawing,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-010,BOF-07,"Design, engineering, BIM and information management",Model,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-011,BOF-07,"Design, engineering, BIM and information management",Specification,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-012,BOF-07,"Design, engineering, BIM and information management",Technical Schedule,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-013,BOF-07,"Design, engineering, BIM and information management",Calculation,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-014,BOF-07,"Design, engineering, BIM and information management",Technical Evidence,event / evidence,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-015,BOF-07,"Design, engineering, BIM and information management",Revision,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-016,BOF-07,"Design, engineering, BIM and information management",Issue,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-017,BOF-07,"Design, engineering, BIM and information management",Transmittal,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-018,BOF-07,"Design, engineering, BIM and information management",Distribution,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-019,BOF-07,"Design, engineering, BIM and information management",RFI,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-020,BOF-07,"Design, engineering, BIM and information management",Technical Query,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-021,BOF-07,"Design, engineering, BIM and information management",Submittal,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-022,BOF-07,"Design, engineering, BIM and information management",Response,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-023,BOF-07,"Design, engineering, BIM and information management",Design Review,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-024,BOF-07,"Design, engineering, BIM and information management",Review Comment,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-025,BOF-07,"Design, engineering, BIM and information management",Coordination Issue,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-026,BOF-07,"Design, engineering, BIM and information management",Clash Issue,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-027,BOF-07,"Design, engineering, BIM and information management",Design Change,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-028,BOF-07,"Design, engineering, BIM and information management",Survey Input,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-029,BOF-07,"Design, engineering, BIM and information management",Design Input,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-030,BOF-07,"Design, engineering, BIM and information management",Markup,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-07-031,BOF-07,"Design, engineering, BIM and information management",Handover Information Deliverable,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-001,BOF-08,"Contract, appointment and commercial management",Appointment,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-002,BOF-08,"Contract, appointment and commercial management",Contract,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-003,BOF-08,"Contract, appointment and commercial management",Subcontract,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-004,BOF-08,"Contract, appointment and commercial management",Framework Agreement,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-005,BOF-08,"Contract, appointment and commercial management",Contract Party Role,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-006,BOF-08,"Contract, appointment and commercial management",Contract Clause,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-007,BOF-08,"Contract, appointment and commercial management",Obligation,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-008,BOF-08,"Contract, appointment and commercial management",Key Date,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-009,BOF-08,"Contract, appointment and commercial management",Notice,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-010,BOF-08,"Contract, appointment and commercial management",Correspondence,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-011,BOF-08,"Contract, appointment and commercial management",Commercial Package,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-012,BOF-08,"Contract, appointment and commercial management",Procurement Package,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-013,BOF-08,"Contract, appointment and commercial management",Instruction,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-014,BOF-08,"Contract, appointment and commercial management",Change,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-015,BOF-08,"Contract, appointment and commercial management",Variation,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-016,BOF-08,"Contract, appointment and commercial management",Compensation Event,event / evidence,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-017,BOF-08,"Contract, appointment and commercial management",Quotation for Change,transaction,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-018,BOF-08,"Contract, appointment and commercial management",Entitlement,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-019,BOF-08,"Contract, appointment and commercial management",Claim,case,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-020,BOF-08,"Contract, appointment and commercial management",Application for Payment,transaction,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-021,BOF-08,"Contract, appointment and commercial management",Valuation,transaction,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-022,BOF-08,"Contract, appointment and commercial management",Assessment,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-023,BOF-08,"Contract, appointment and commercial management",Certificate,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-024,BOF-08,"Contract, appointment and commercial management",Pay-less Record,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-025,BOF-08,"Contract, appointment and commercial management",Withholding Record,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-026,BOF-08,"Contract, appointment and commercial management",Retention,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-027,BOF-08,"Contract, appointment and commercial management",Bond,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-028,BOF-08,"Contract, appointment and commercial management",Guarantee,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-029,BOF-08,"Contract, appointment and commercial management",Insurance Evidence,event / evidence,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-030,BOF-08,"Contract, appointment and commercial management",Daywork Record,controlled information,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-08-031,BOF-08,"Contract, appointment and commercial management",Final Account,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-09-001,BOF-09,"Procurement, supplier and subcontract sourcing",Supplier Relationship,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-09-002,BOF-09,"Procurement, supplier and subcontract sourcing",Supplier Qualification,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-09-003,BOF-09,"Procurement, supplier and subcontract sourcing",Approved Supplier Status,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-09-004,BOF-09,"Procurement, supplier and subcontract sourcing",Procurement Strategy,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-09-005,BOF-09,"Procurement, supplier and subcontract sourcing",Procurement Plan,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
