activity_id,workspace,subfunction_id,subfunction,activity,aggregate_id,object_model_id,object_name,action,access_mode,approval_required,decision_required,evidence_required,secondary_aggregates
F01.04.A05,F01,F01.04,Business Planning,approve plans,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,approve,command,true,true,true,AGG-02-OBJECTIVE
F01.05.A01,F01,F01.05,Operating Model,Define organisational capabilities,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.05.A02,F01,F01.05,Operating Model,design structures,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,execute,command,false,false,true,AGG-02-OBJECTIVE
F01.05.A03,F01,F01.05,Operating Model,determine centralisation/decentralisation,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,analyse,query,false,false,false,AGG-02-OBJECTIVE
F01.05.A04,F01,F01.05,Operating Model,establish shared services,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.05.A05,F01,F01.05,Operating Model,define accountabilities,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.06.A01,F01,F01.06,Goal & KPI Management,Define KPIs,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,KPI / Performance,create,command,false,false,true,AGG-02-STRATEGY
F01.06.A02,F01,F01.06,Goal & KPI Management,set targets,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,KPI / Performance,create,command,false,false,true,AGG-02-STRATEGY
F01.06.A03,F01,F01.06,Goal & KPI Management,establish baselines,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,KPI / Performance,create,command,false,false,true,AGG-02-STRATEGY
F01.06.A04,F01,F01.06,Goal & KPI Management,monitor performance,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,KPI / Performance,monitor,query,false,false,false,AGG-02-STRATEGY
F01.06.A05,F01,F01.06,Goal & KPI Management,analyse variance,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,KPI / Performance,analyse,query,false,false,false,AGG-02-STRATEGY
F01.06.A06,F01,F01.06,Goal & KPI Management,initiate corrective action,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,KPI / Performance,create,command,false,false,true,AGG-02-STRATEGY
F01.07.A01,F01,F01.07,Strategic Review,Conduct strategy reviews,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Strategic Review / Decision,execute,command,false,false,true,AGG-02-STRATEGY|AGG-27-DECISION|AGG-02-GOVERNANCE
F01.07.A02,F01,F01.07,Strategic Review,reassess assumptions,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Strategic Review / Decision,review,command,false,false,true,AGG-02-STRATEGY|AGG-27-DECISION|AGG-02-GOVERNANCE
F01.07.A03,F01,F01.07,Strategic Review,evaluate progress,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Strategic Review / Decision,review,command,false,false,true,AGG-02-STRATEGY|AGG-27-DECISION|AGG-02-GOVERNANCE
F01.07.A04,F01,F01.07,Strategic Review,reprioritise initiatives,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Strategic Review / Decision,change,command,false,true,true,AGG-02-STRATEGY|AGG-27-DECISION|AGG-02-GOVERNANCE
F01.07.A05,F01,F01.07,Strategic Review,adjust strategy,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Strategic Review / Decision,change,command,false,false,true,AGG-02-STRATEGY|AGG-27-DECISION|AGG-02-GOVERNANCE
F01.08.A01,F01,F01.08,Scenario & Foresight Planning,Develop scenarios,AGG-02-SCENARIO,SGP-SCENARIO,Scenario / Assumption,create,command,false,false,true,AGG-02-PERFORMANCE|AGG-02-STRATEGY
F01.08.A02,F01,F01.08,Scenario & Foresight Planning,model future conditions,AGG-02-SCENARIO,SGP-SCENARIO,Scenario / Assumption,analyse,query,false,false,false,AGG-02-PERFORMANCE|AGG-02-STRATEGY
F01.08.A03,F01,F01.08,Scenario & Foresight Planning,conduct sensitivity analysis,AGG-02-SCENARIO,SGP-SCENARIO,Scenario / Assumption,execute,command,false,false,true,AGG-02-PERFORMANCE|AGG-02-STRATEGY
F01.08.A04,F01,F01.08,Scenario & Foresight Planning,develop contingency strategies,AGG-02-SCENARIO,SGP-SCENARIO,Scenario / Assumption,create,command,false,false,true,AGG-02-PERFORMANCE|AGG-02-STRATEGY
F02.01.A01,F02,F02.01,Board Governance,Schedule meetings,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,allocate,command,false,false,true,AGG-27-DECISION
F02.01.A02,F02,F02.01,Board Governance,prepare board packs,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,execute,command,false,false,true,AGG-27-DECISION
F02.01.A03,F02,F02.01,Board Governance,record minutes,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,record,command,false,false,true,AGG-27-DECISION
F02.01.A04,F02,F02.01,Board Governance,manage resolutions,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,configure,command,false,false,true,AGG-27-DECISION
F02.01.A05,F02,F02.01,Board Governance,monitor actions,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,monitor,query,false,false,false,AGG-27-DECISION
F02.02.A01,F02,F02.02,Governance Framework,Establish governance policies,AGG-02-AUTHORITY-FRAMEWORK,SGP-AUTHORITY-FRAMEWORK,Governance / Authority Framework,create,command,false,false,true,AGG-01-AUTHORITY|AGG-02-GOVERNANCE
F02.02.A02,F02,F02.02,Governance Framework,define authorities,AGG-02-AUTHORITY-FRAMEWORK,SGP-AUTHORITY-FRAMEWORK,Governance / Authority Framework,create,command,false,false,true,AGG-01-AUTHORITY|AGG-02-GOVERNANCE
F02.02.A03,F02,F02.02,Governance Framework,assign decision rights,AGG-02-AUTHORITY-FRAMEWORK,SGP-AUTHORITY-FRAMEWORK,Governance / Authority Framework,allocate,command,false,false,true,AGG-01-AUTHORITY|AGG-02-GOVERNANCE
F02.02.A04,F02,F02.02,Governance Framework,maintain governance structure,AGG-02-AUTHORITY-FRAMEWORK,SGP-AUTHORITY-FRAMEWORK,Governance / Authority Framework,change,command,false,false,true,AGG-01-AUTHORITY|AGG-02-GOVERNANCE
F02.03.A01,F02,F02.03,Delegation of Authority,Define approval thresholds,AGG-01-AUTHORITY,AUTH-DELEGATED-AUTHORITY,Delegated Authority,create,command,true,true,true,AGG-29-AUTHORITY-CONFIG
F02.03.A02,F02,F02.03,Delegation of Authority,assign authorities,AGG-01-AUTHORITY,AUTH-DELEGATED-AUTHORITY,Delegated Authority,allocate,command,false,false,true,AGG-29-AUTHORITY-CONFIG
F02.03.A03,F02,F02.03,Delegation of Authority,maintain delegation matrix,AGG-01-AUTHORITY,AUTH-DELEGATED-AUTHORITY,Delegated Authority,change,command,false,false,true,AGG-29-AUTHORITY-CONFIG
F02.03.A04,F02,F02.03,Delegation of Authority,monitor compliance,AGG-01-AUTHORITY,AUTH-DELEGATED-AUTHORITY,Delegated Authority,monitor,query,false,false,false,AGG-29-AUTHORITY-CONFIG
F02.04.A01,F02,F02.04,Executive Management,Conduct executive reviews,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Executive Governance / Decision,execute,command,false,false,true,AGG-27-DECISION|AGG-19-LEDGER|AGG-02-GOVERNANCE
F02.04.A02,F02,F02.04,Executive Management,make enterprise decisions,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Executive Governance / Decision,execute,command,false,false,true,AGG-27-DECISION|AGG-19-LEDGER|AGG-02-GOVERNANCE
F02.04.A03,F02,F02.04,Executive Management,resolve escalations,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Executive Governance / Decision,close,command,false,false,true,AGG-27-DECISION|AGG-19-LEDGER|AGG-02-GOVERNANCE
F02.04.A04,F02,F02.04,Executive Management,approve investments,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Executive Governance / Decision,approve,command,true,true,true,AGG-27-DECISION|AGG-19-LEDGER|AGG-02-GOVERNANCE
F02.05.A01,F02,F02.05,Committee Governance,Establish committees,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,create,command,false,false,true,AGG-27-DECISION
F02.05.A02,F02,F02.05,Committee Governance,define terms of reference,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,create,command,false,false,true,AGG-27-DECISION
F02.05.A03,F02,F02.05,Committee Governance,schedule meetings,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,allocate,command,false,false,true,AGG-27-DECISION
F02.05.A04,F02,F02.05,Committee Governance,record decisions,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,record,command,false,false,true,AGG-27-DECISION
F02.05.A05,F02,F02.05,Committee Governance,track actions,AGG-02-GOVERNANCE,SGP-GOVERNANCE-BODY,Governance Body / Meeting,monitor,query,false,false,false,AGG-27-DECISION
F02.06.A01,F02,F02.06,Policy Governance,Draft policies,AGG-02-POLICY,SGP-POLICY,Policy,create,command,false,false,true,AGG-07-INFORMATION|AGG-02-GOVERNANCE
F02.06.A02,F02,F02.06,Policy Governance,review policies,AGG-02-POLICY,SGP-POLICY,Policy,review,command,false,false,true,AGG-07-INFORMATION|AGG-02-GOVERNANCE
F02.06.A03,F02,F02.06,Policy Governance,obtain approvals,AGG-02-POLICY,SGP-POLICY,Policy,execute,command,true,true,true,AGG-07-INFORMATION|AGG-02-GOVERNANCE
F02.06.A04,F02,F02.06,Policy Governance,publish policies,AGG-02-POLICY,SGP-POLICY,Policy,publish,command,true,true,true,AGG-07-INFORMATION|AGG-02-GOVERNANCE
F02.06.A05,F02,F02.06,Policy Governance,monitor adherence,AGG-02-POLICY,SGP-POLICY,Policy,monitor,query,false,false,false,AGG-07-INFORMATION|AGG-02-GOVERNANCE
F02.07.A01,F02,F02.07,Ethics Governance,Establish code of conduct,AGG-21-CASE,INTEGRITY-CASE,Integrity / Ethics Case,create,command,false,false,true,AGG-21-CONTROL|AGG-21-RISK
F02.07.A02,F02,F02.07,Ethics Governance,manage declarations,AGG-21-CASE,INTEGRITY-CASE,Integrity / Ethics Case,configure,command,false,false,true,AGG-21-CONTROL|AGG-21-RISK
F02.07.A03,F02,F02.07,Ethics Governance,monitor ethical issues,AGG-21-CASE,INTEGRITY-CASE,Integrity / Ethics Case,monitor,query,false,false,false,AGG-21-CONTROL|AGG-21-RISK
F02.07.A04,F02,F02.07,Ethics Governance,investigate breaches,AGG-21-CASE,INTEGRITY-CASE,Integrity / Ethics Case,analyse,query,false,false,false,AGG-21-CONTROL|AGG-21-RISK
F03.01.A01,F03,F03.01,Performance Framework,Establish scorecards,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,Performance Framework / KPI,create,command,false,false,true,
F03.01.A02,F03,F03.01,Performance Framework,define performance hierarchy,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,Performance Framework / KPI,create,command,false,false,true,
F03.01.A03,F03,F03.01,Performance Framework,map KPIs to objectives,AGG-02-PERFORMANCE,SGP-KPI-DEFINITION,Performance Framework / KPI,analyse,query,false,false,false,
F03.02.A01,F03,F03.02,Performance Reporting,Collect performance data,AGG-02-PERFORMANCE,SGP-PERFORMANCE-OBSERVATION,Performance Observation,receive,command,false,false,true,AGG-24-DATA
F03.02.A02,F03,F03.02,Performance Reporting,calculate metrics,AGG-02-PERFORMANCE,SGP-PERFORMANCE-SNAPSHOT,Performance Snapshot,analyse,query,false,false,false,AGG-24-DATA
F03.02.A03,F03,F03.02,Performance Reporting,publish dashboards,AGG-02-PERFORMANCE,SGP-PERFORMANCE-SNAPSHOT,Performance Snapshot,publish,command,true,true,true,AGG-24-DATA
F03.02.A04,F03,F03.02,Performance Reporting,distribute reports,AGG-02-PERFORMANCE,SGP-PERFORMANCE-SNAPSHOT,Performance Snapshot,publish,command,false,false,true,AGG-24-DATA
F03.03.A01,F03,F03.03,Variance Management,Identify variance,AGG-02-PERFORMANCE,SGP-PERFORMANCE-OBSERVATION,Performance Observation / Variance,analyse,query,false,false,false,AGG-27-DECISION
F03.03.A02,F03,F03.03,Variance Management,analyse root cause,AGG-02-PERFORMANCE,SGP-PERFORMANCE-OBSERVATION,Performance Observation / Variance,analyse,query,false,false,false,AGG-27-DECISION
F03.03.A03,F03,F03.03,Variance Management,assign corrective action,AGG-02-PERFORMANCE,SGP-PERFORMANCE-OBSERVATION,Performance Observation / Variance,allocate,command,false,false,true,AGG-27-DECISION
F03.03.A04,F03,F03.03,Variance Management,monitor recovery,AGG-02-PERFORMANCE,SGP-PERFORMANCE-OBSERVATION,Performance Observation / Variance,monitor,query,false,false,false,AGG-27-DECISION
F03.04.A01,F03,F03.04,Management Review,Conduct operational reviews,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Management Review,execute,command,false,false,true,AGG-02-PERFORMANCE|AGG-27-DECISION|AGG-02-GOVERNANCE
F03.04.A02,F03,F03.04,Management Review,review forecasts,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Management Review,review,command,false,false,true,AGG-02-PERFORMANCE|AGG-27-DECISION|AGG-02-GOVERNANCE
F03.04.A03,F03,F03.04,Management Review,challenge performance,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Management Review,review,command,false,false,true,AGG-02-PERFORMANCE|AGG-27-DECISION|AGG-02-GOVERNANCE
F03.04.A04,F03,F03.04,Management Review,record decisions,AGG-02-GOVERNANCE-MEETING,SGP-GOVERNANCE-MEETING,Management Review,record,command,false,false,true,AGG-02-PERFORMANCE|AGG-27-DECISION|AGG-02-GOVERNANCE
F03.05.A01,F03,F03.05,Benchmarking,Select benchmarks,AGG-02-PERFORMANCE,SGP-PERFORMANCE-TARGET,Performance Target / Benchmark Basis,approve,command,true,true,true,AGG-24-DATA
F03.05.A02,F03,F03.05,Benchmarking,collect comparable data,AGG-02-PERFORMANCE,SGP-PERFORMANCE-OBSERVATION,Performance Observation,receive,command,false,false,true,AGG-24-DATA
F03.05.A03,F03,F03.05,Benchmarking,compare performance,AGG-02-PERFORMANCE,SGP-PERFORMANCE-SNAPSHOT,Performance Snapshot,analyse,query,false,false,false,AGG-24-DATA
F03.05.A04,F03,F03.05,Benchmarking,identify performance gaps,AGG-02-PERFORMANCE,SGP-PERFORMANCE-SNAPSHOT,Performance Snapshot,analyse,query,false,false,false,AGG-24-DATA
F03.06.A01,F03,F03.06,Benefits Realisation,Define benefits,AGG-02-PERFORMANCE,SGP-PERFORMANCE-TARGET,Benefit / Performance Target,create,command,false,false,true,AGG-26-TRANSFORMATION
F03.06.A02,F03,F03.06,Benefits Realisation,establish baselines,AGG-02-PERFORMANCE,SGP-PERFORMANCE-TARGET,Benefit / Performance Target,create,command,false,false,true,AGG-26-TRANSFORMATION
F03.06.A03,F03,F03.06,Benefits Realisation,measure benefits,AGG-02-PERFORMANCE,SGP-PERFORMANCE-TARGET,Benefit / Performance Target,monitor,query,false,false,false,AGG-26-TRANSFORMATION
F03.06.A04,F03,F03.06,Benefits Realisation,validate outcomes,AGG-02-PERFORMANCE,SGP-PERFORMANCE-TARGET,Benefit / Performance Target,review,command,false,false,true,AGG-26-TRANSFORMATION
F03.06.A05,F03,F03.06,Benefits Realisation,report realised value,AGG-02-PERFORMANCE,SGP-PERFORMANCE-TARGET,Benefit / Performance Target,execute,command,false,false,true,AGG-26-TRANSFORMATION
F04.01.A01,F04,F04.01,Opportunity Identification,Identify acquisition/merger/divestment opportunities,AGG-04-DEVELOPMENT,LDI-DEVELOPMENT-OPPORTUNITY,Corporate Development Opportunity,analyse,query,false,false,false,AGG-03-OPPORTUNITY
F04.01.A02,F04,F04.01,Opportunity Identification,screen targets,AGG-04-DEVELOPMENT,LDI-DEVELOPMENT-OPPORTUNITY,Corporate Development Opportunity,execute,command,false,false,true,AGG-03-OPPORTUNITY
F04.01.A03,F04,F04.01,Opportunity Identification,evaluate strategic fit,AGG-04-DEVELOPMENT,LDI-DEVELOPMENT-OPPORTUNITY,Corporate Development Opportunity,review,command,false,false,true,AGG-03-OPPORTUNITY
F04.02.A01,F04,F04.02,Valuation,Develop financial models,AGG-04-DEVELOPMENT,LDI-DEVELOPMENT-APPRAISAL,Investment / Development Appraisal,create,command,false,false,true,AGG-19-LEDGER
F04.02.A02,F04,F04.02,Valuation,estimate synergies,AGG-04-DEVELOPMENT,LDI-DEVELOPMENT-APPRAISAL,Investment / Development Appraisal,execute,command,false,false,true,AGG-19-LEDGER
F04.02.A03,F04,F04.02,Valuation,value businesses/assets,AGG-04-DEVELOPMENT,LDI-DEVELOPMENT-APPRAISAL,Investment / Development Appraisal,execute,command,false,false,true,AGG-19-LEDGER
F04.02.A04,F04,F04.02,Valuation,assess scenarios,AGG-04-DEVELOPMENT,LDI-DEVELOPMENT-APPRAISAL,Investment / Development Appraisal,review,command,false,false,true,AGG-19-LEDGER
F04.03.A01,F04,F04.03,Due Diligence,Review finance,AGG-22-LEGAL,LEGAL-MATTER,Due Diligence Matter,review,command,false,false,true,AGG-21-RISK|AGG-04-DEVELOPMENT
F04.03.A02,F04,F04.03,Due Diligence,operations,AGG-22-LEGAL,LEGAL-MATTER,Due Diligence Matter,execute,command,false,false,true,AGG-21-RISK|AGG-04-DEVELOPMENT
F04.03.A03,F04,F04.03,Due Diligence,technology,AGG-22-LEGAL,LEGAL-MATTER,Due Diligence Matter,execute,command,false,false,true,AGG-21-RISK|AGG-04-DEVELOPMENT
F04.03.A04,F04,F04.03,Due Diligence,people,AGG-22-LEGAL,LEGAL-MATTER,Due Diligence Matter,execute,command,false,false,true,AGG-21-RISK|AGG-04-DEVELOPMENT
F04.03.A05,F04,F04.03,Due Diligence,legal,AGG-22-LEGAL,LEGAL-MATTER,Due Diligence Matter,execute,command,false,false,true,AGG-21-RISK|AGG-04-DEVELOPMENT
F04.03.A06,F04,F04.03,Due Diligence,tax,AGG-22-LEGAL,LEGAL-MATTER,Due Diligence Matter,execute,command,false,false,true,AGG-21-RISK|AGG-04-DEVELOPMENT
F04.03.A07,F04,F04.03,Due Diligence,commercial and risk information,AGG-22-LEGAL,LEGAL-MATTER,Due Diligence Matter,execute,command,false,false,true,AGG-21-RISK|AGG-04-DEVELOPMENT
F04.04.A01,F04,F04.04,Transaction Management,Structure transaction,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.04.A02,F04,F04.04,Transaction Management,negotiate terms,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.04.A03,F04,F04.04,Transaction Management,obtain approvals,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,true,true,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.04.A04,F04,F04.04,Transaction Management,execute agreements,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.04.A05,F04,F04.04,Transaction Management,complete transaction,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,close,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.05.A01,F04,F04.05,Integration,Develop integration plan,AGG-26-TRANSFORMATION,TRANS-INITIATIVE,Integration / Transformation Initiative,create,command,false,false,true,AGG-01-ORG-STRUCTURE
F04.05.A02,F04,F04.05,Integration,integrate organisations,AGG-26-TRANSFORMATION,TRANS-INITIATIVE,Integration / Transformation Initiative,execute,command,false,false,true,AGG-01-ORG-STRUCTURE
F04.05.A03,F04,F04.05,Integration,consolidate systems,AGG-26-TRANSFORMATION,TRANS-INITIATIVE,Integration / Transformation Initiative,execute,command,false,false,true,AGG-01-ORG-STRUCTURE
F04.05.A04,F04,F04.05,Integration,harmonise policies,AGG-26-TRANSFORMATION,TRANS-INITIATIVE,Integration / Transformation Initiative,execute,command,false,false,true,AGG-01-ORG-STRUCTURE
F04.06.A01,F04,F04.06,Divestiture,Define separation perimeter,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,create,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.06.A02,F04,F04.06,Divestiture,prepare carve-out,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.06.A03,F04,F04.06,Divestiture,transfer assets,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.06.A04,F04,F04.06,Divestiture,separate systems,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.06.A05,F04,F04.06,Divestiture,complete disposal,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,close,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.07.A01,F04,F04.07,Strategic Partnerships,Identify partners,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,analyse,query,false,false,false,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.07.A02,F04,F04.07,Strategic Partnerships,assess fit,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,review,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.07.A03,F04,F04.07,Strategic Partnerships,negotiate alliance,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,execute,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
F04.07.A04,F04,F04.07,Strategic Partnerships,establish governance,AGG-04-BUSINESS-CASE,LDI-BUSINESS-CASE,Investment / Transaction Business Case,create,command,false,false,true,AGG-22-LEGAL|AGG-19-LEDGER|AGG-27-DECISION|AGG-04-DEVELOPMENT
